,Topic 1,Topic 2,Topic 3,Topic 4
ADAMTS19,0.0,0.0,0.0,0.0008382315568562832
ADAMTS4,0.0,0.002281802765603504,0.0,0.0
ADAMTS8,0.00047596168697879677,0.0,0.0,0.0
ADAMTSL4,0.0007430037453323033,0.0,0.0,0.0
ADCY4,0.0006244468334225936,0.0,0.0,0.0
ADCYAP1,0.0002335815214602461,0.0,0.0,0.0
ADH1B,0.0007482058633521768,0.0,0.0,0.0
ADH4,0.0,0.0,0.0007626486728719302,0.0
ADH7,0.0,0.0,0.0,0.005929104875269505
ADIPOQ,0.0,0.0,0.00013131699003092836,0.0
ADIRF,0.0009176921529132407,0.0,0.0,0.0
ADM,0.000841394421955096,0.0,0.0,0.0
ADRA2A,0.00044982264952091384,0.0,0.0,0.0
ADRB1,0.000432161137725047,0.0,0.0,0.0
ADRB2,0.0005625994302974308,0.0,0.0,0.0
ADTRP,0.0005422405239727407,0.0,0.0,0.0
AF165138.7,9.710620303763873e-05,0.0,0.0,0.0
AFM,0.0,0.0,0.0,0.0001352647500061484
AFP,0.0,0.0,0.0,0.0020166744546371218
AGER,0.0,0.0034263016410769156,0.0,0.0
AGR2,0.0010269366313305842,0.0,0.0,0.0
AGR3,0.0008284212387450411,0.0,0.0,0.0
AGRP,0.0,0.0,0.0,0.004269037488830411
AGT,0.0004937516461331789,0.0,0.0,0.0
AGXT,0.0,0.0,0.0,0.0007193625341236074
AHCYL2,0.0,0.0029821973733341438,0.0,0.0
AHNAK2,0.0,0.0028132392692375922,0.0,0.0
AHSG,0.0,0.0,0.0,0.0016375232614380692
AIF1,0.0009210960079138986,0.0,0.0,0.0
AIM1,0.0006797434212634712,0.0,0.0,0.0
AIM2,0.0005214962755725044,0.0,0.0,0.0
AIRE,0.0,0.0,0.00034895423924302644,0.0
AK1,0.0,0.0,0.006929496550862836,0.0
AK4,0.0,0.0025172524583900353,0.0,0.0
AKAP12,0.0,0.00242595057541275,0.0,0.0
AKAP14,0.0002975483060009129,0.0,0.0,0.0
AKAP2,0.0,0.0030065114617357034,0.0,0.0
AKNA,0.0007165435894781318,0.0,0.0,0.0
AKR1B1,0.0009548776632034476,0.0,0.0,0.0
AKR1B10,0.0,0.0,0.0,0.009098603903822665
AKR1B15,0.0,0.0,0.0,0.004614372494527926
AKR1C1,0.0009258485601789683,0.0,0.0,0.0
AKR1C2,0.0008779376954527259,0.0,0.0,0.0
AKR1C3,0.0009343260858409844,0.0,0.0,0.0
AKR1C4,0.0,0.0,0.0,0.0017338481591697204
AKR7A3,0.00039176444347195524,0.0,0.0,0.0
AL022328.1,0.00017873449937417236,0.0,0.0,0.0
AL049829.1,2.8964879345221607e-05,0.0,0.0,0.0
AL117190.2,0.00010937292577585898,0.0,0.0,0.0
