Topic 1,Topic 2,Topic 3,Topic 4
HBA2,TACC1,GPX2,CALCA
CCL2,VCAN,GBP4,CERS3
AKR1B1,BASP1,RHOF,UGT1A1
ODC1,DPYSL2,BIRC3,TENM2
HLA-DRB5,GBP1,RGS16,USH1C
HLA-DMB,CUL4A,PTPRE,CD300LG
C10orf10,METTL7A,MYO1F,TP53AIP1
SFTA2,PIM2,CYFIP2,AGRP
LCN2,CP,AXL,MAGEA3
ITGB2,DSP,KDM6B,IL36RN
TFRC,DRAM1,DPYD,GDA
BTG2,MZB1,PDGFRA,ZIC2
MFAP4,SRD5A3,ASRGL1,C8B
SCGB1A1,FXYD6,TSPAN8,DEFA3
C4A,CCDC58,CYP1B1,HTR3A
AKR1C3,UCHL1,EDIL3,LY6G6C
ALDH1A1,ANKH,ALDH3A1,KLK14
GADD45B,TMEM132A,KLK11,CALB1
SCGB3A1,TSKU,FGG,MAGEA4
EFEMP1,UBE2C,IL6R,DLX6
NR4A1,GCLC,RASGEF1B,WFDC5
C4B,FGFR1,BCAT1,TMEM213
GAS6,GGT1,IFI44L,MAGEA6
FURIN,AOC3,ANXA8L2,NELL1
AKR1C1,SLC7A5,KLK10,CXorf61
PPP1R15A,RDH10,KRT13,TGM3
POSTN,ITGB6,RSAD2,IGFL1
RGS1,PLOD2,KRT16,ATP12A
SLC9A3R1,ABCC3,FAM83A,SLC6A3
HIST1H1C,CPD,S100A12,C10orf99
GJA1,PDPN,SOX2,IL37
AIF1,SLC7A8,TP63,WFDC12
MIEN1,CPM,ANXA8,RP11-169F17.1
S100A2,CFI,MUC5B,UGT1A10
ADIRF,NFIX,SPRR1B,UGT1A7
SELENBP1,PAPSS2,S100A3,GABRA3
CCL21,PLAC8,HIST1H2BJ,MAGEA9
KRT17,LDOC1,IGF1,TAGLN3
DUSP6,THBS2,APOBEC3A,B3GNT6
CD53,ATP11A,FABP6,PADI1
ALOX5AP,CADM1,PCSK9,PADI3
FSCN1,FAM84B,BPIFA1,HMGCS2
SFTPD,DERL3,NTRK2,TRPM8
FCGR3A,MSR1,HCAR3,CHGA
RGS2,CLEC3B,TGM1,CSAG1
CHI3L1,SLC38A5,LY6D,MYOC
ERBB2,HILPDA,PADI2,CHP2
FBP1,MYH10,CST1,HOXD11
TPSAB1,LHFP,PRR15,UGT2B4
STARD3,RAMP1,SERPINB5,BPIFA2
GMFG,CSRNP1,CYP24A1,BPIFB2
SLC40A1,TYMS,SPDEF,CRISP3
SMIM22,COL12A1,PSCA,CALY
CD97,RHOBTB2,MS4A1,SOST
IFT57,MS4A7,GPR87,GNGT1
PKIG,AKAP2,HIST1H3H,CDH17
S100P,TOP2A,DAPL1,ITIH2
PLAU,EGLN3,FGA,HIST1H4D
CD163,KCTD12,HIST2H2AC,TKTL1
LSP1,DDHD2,MMP10,SLC5A12
MLPH,ERLIN2,TNNI3,TMPRSS11A
EGFL7,FCN3,ORM2,HIST1H4C
