Topic 1,Topic 2,Topic 3,Topic 4
CRTAC1,,,
CXCL3,,,
LRMP,,,
STC2,,,
SERPINI1,,,
ESPN,,,
MME,,,
CSF2RB,,,
CLDN18,,,
CPXM2,,,
ATP8A1,,,
C9orf116,,,
CEP112,,,
CD300LF,,,
RAB6B,,,
REEP6,,,
FOXF1,,,
LYNX1,,,
ABLIM3,,,
IL1R2,,,
ESM1,,,
VILL,,,
ZFAT,,,
STXBP6,,,
GIMAP8,,,
LILRA6,,,
ARHGEF4,,,
KCNK5,,,
SIGLEC1,,,
SORBS1,,,
COL27A1,,,
C19orf59,,,
CCL4L1,,,
PTPN21,,,
MFSD4,,,
LGALS7B,,,
MYRF,,,
ERP27,,,
FAM107A,,,
FNDC4,,,
SDS,,,
APOBR,,,
FAM189A2,,,
FBXO27,,,
AQP9,,,
BATF2,,,
SNED1,,,
ABCC6,,,
EPHB6,,,
CKMT1B,,,
CGNL1,,,
RORC,,,
C1QTNF3,,,
CCRL2,,,
ARHGAP31,,,
GOLT1A,,,
GZMH,,,
COBL,,,
DHRS9,,,
HIST1H4H,,,
TGFBR3,,,
ARHGEF15,,,
SVEP1,,,
AMY1C,,,
EFHD1,,,
FERMT1,,,
TLR4,,,
ORM1,,,
RGMA,,,
HIST3H2A,,,
PLA2G4F,,,
GRAMD2,,,
RTKN2,,,
CLEC4E,,,
SOX7,,,
RNF128,,,
CD79B,,,
CNFN,,,
ALG1L,,,
ARHGAP44,,,
PIFO,,,
SLAIN1,,,
INHBB,,,
CYP4X1,,,
SELP,,,
SYT7,,,
APLP1,,,
WFDC1,,,
AL163636.6,,,
CSPG4,,,
GPR110,,,
LEPR,,,
PRAM1,,,
BCL11A,,,
ROS1,,,
BTNL9,,,
FIBIN,,,
CPXM1,,,
GREM1,,,
MYCL,,,
SCIN,,,
EYA2,,,
DPEP2,,,
IGSF9,,,
CKMT1A,,,
PHACTR1,,,
PCP4L1,,,
FCGR1B,,,
SHE,,,
TMEM108,,,
CFP,,,
CLIC5,,,
GATA6,,,
SLC7A2,,,
PLA2G2A,,,
MT1A,,,
VNN2,,,
STK33,,,
TGFB2,,,
TNFRSF10C,,,
PDZD2,,,
SPOCD1,,,
TMEM88,,,
APLN,,,
FCGR3B,,,
WIF1,,,
TNS4,,,
C14orf132,,,
FAM46B,,,
PLA1A,,,
SIRPB1,,,
SCUBE2,,,
VEPH1,,,
SLC22A3,,,
AQP5,,,
BAALC,,,
FOXJ1,,,
BMP7,,,
ADRB2,,,
KRT14,,,
CLEC12A,,,
TFAP2A,,,
TRPC6,,,
HOXB2,,,
RGN,,,
COLCA1,,,
WFDC3,,,
WNK2,,,
C7orf10,,,
CCDC78,,,
HGF,,,
PLCXD2,,,
OSR1,,,
FGF11,,,
CXCR6,,,
GPRIN2,,,
ZMYND10,,,
ITGA11,,,
ANGPT1,,,
VSNL1,,,
PIP5K1B,,,
CCL4L2,,,
PITX1,,,
SLC47A1,,,
NRCAM,,,
PRSS21,,,
FAM183A,,,
PLN,,,
SEMA3G,,,
HIF3A,,,
MEDAG,,,
TMEM150B,,,
PRSS12,,,
B3GNT3,,,
MATN3,,,
TMEM139,,,
SYT8,,,
SLC4A11,,,
C5,,,
TNNI2,,,
COLCA2,,,
B4GALNT4,,,
SHROOM4,,,
FOXA2,,,
RETN,,,
MB,,,
MACC1,,,
MACROD2,,,
TUBB2B,,,
FAM184A,,,
SLC29A4,,,
SCTR,,,
HLF,,,
NPR3,,,
CD8B,,,
ADTRP,,,
NLRP2,,,
CLEC1A,,,
CD22,,,
RNF212,,,
CA9,,,
MS4A15,,,
C1orf192,,,
CABYR,,,
ZDHHC11B,,,
TMEM40,,,
PTPRZ1,,,
NELL2,,,
LYPD6B,,,
IGSF10,,,
MAMDC2,,,
AATK,,,
DNAJC12,,,
CRYM,,,
GNA14,,,
ESYT3,,,
GSTM5,,,
GJB3,,,
ATP10A,,,
ALDH3B2,,,
PLA2G10,,,
LRRC4,,,
GSTM1,,,
PCDP1,,,
CCDC68,,,
ICAM4,,,
SULT1A2,,,
DKK1,,,
CD101,,,
SCG5,,,
CDHR3,,,
SLC26A9,,,
SYNPO2,,,
SAP25,,,
TCF21,,,
METTL7B,,,
SCNN1G,,,
APOM,,,
GKN2,,,
CRISPLD1,,,
MUC15,,,
MAP6,,,
LRRC48,,,
SOX15,,,
FA2H,,,
AIM2,,,
ZNF385B,,,
SYT15,,,
BMP6,,,
DNASE1L3,,,
RSPH1,,,
TM4SF19,,,
COL11A1,,,
SPTLC3,,,
SPINK5,,,
PLCH2,,,
SOSTDC1,,,
GPR171,,,
ANXA8L1,,,
AOX1,,,
PLA2G1B,,,
HIST1H2BG,,,
CA4,,,
CCL23,,,
HPGDS,,,
C9orf24,,,
ARTN,,,
ALDH1A2,,,
LIPG,,,
TMEM158,,,
LILRA2,,,
C17orf72,,,
KRT4,,,
TMPRSS3,,,
FIGF,,,
LGALS2,,,
EEF1A2,,,
VSIG10L,,,
RASGRF1,,,
COL4A3,,,
C9orf152,,,
ZG16B,,,
SHISA2,,,
SCHIP1,,,
ABCA8,,,
CCL15-CCL14,,,
LYPD1,,,
CCL17,,,
NRG1,,,
IL20RB,,,
HIST1H2AE,,,
C2orf40,,,
SPATA18,,,
FNDC1,,,
CCDC19,,,
DEGS2,,,
ACHE,,,
TMEM130,,,
FLNC,,,
DNAAF3,,,
OMG,,,
ATP6V1C2,,,
BCHE,,,
FAM3D,,,
POU2F3,,,
SBK1,,,
PHACTR3,,,
MGAT3,,,
SEMA5A,,,
CGREF1,,,
AGT,,,
C6orf141,,,
CCNO,,,
F5,,,
ARSE,,,
CXCL11,,,
MRC1,,,
SCN7A,,,
SEMA6D,,,
SCN4B,,,
CYP27B1,,,
GATA3,,,
PTX3,,,
C15orf59,,,
AC008948.1,,,
LRRC46,,,
NMU,,,
WNT11,,,
EDN2,,,
BMP5,,,
ELF5,,,
KRT6B,,,
NTS,,,
ZNF486,,,
S100A1,,,
FAM150B,,,
PAX8,,,
PAX9,,,
FAM154B,,,
GCNT3,,,
GLDN,,,
ADAMTS8,,,
FAM132A,,,
HLA-G,,,
KCNK3,,,
DNAAF1,,,
RASAL1,,,
KIAA0408,,,
ZBTB16,,,
COL9A3,,,
PROM1,,,
SLC16A9,,,
C20orf85,,,
PLEKHS1,,,
STRA6,,,
EIF1AY,,,
HHIP,,,
FPR2,,,
DDX3Y,,,
SLC4A4,,,
SPRR1A,,,
C1orf194,,,
LRRN4,,,
GPIHBP1,,,
MUSTN1,,,
C9orf117,,,
FCGBP,,,
SPRR3,,,
C5AR2,,,
HR,,,
ATP6V1B1,,,
THBS4,,,
MUC3A,,,
NGFR,,,
CARD14,,,
PRAME,,,
OGN,,,
SMKR1,,,
CDH6,,,
LRRC36,,,
TDRD10,,,
FMO1,,,
BCAS1,,,
CA3,,,
GPD1,,,
CALB2,,,
DYNLRB2,,,
RP11-664D7.4,,,
DCSTAMP,,,
CCDC17,,,
CHRDL2,,,
ANKRD1,,,
ADRA2A,,,
ACADL,,,
C2CD4B,,,
VPREB3,,,
DIO2,,,
MYEOV,,,
C5orf49,,,
BHMT2,,,
NME5,,,
ABCA4,,,
HIST4H4,,,
DUOX2,,,
CXCL6,,,
CFTR,,,
BARX2,,,
FAM166B,,,
UBXN10,,,
TNNC2,,,
NSG1,,,
RSPO3,,,
CCL24,,,
FHL5,,,
GPER1,,,
NKD1,,,
PRG4,,,
ITPKA,,,
SEC14L6,,,
LGR6,,,
TMEM190,,,
VIL1,,,
FXYD2,,,
ADRB1,,,
CCL26,,,
TMEM59L,,,
POMC,,,
GTSF1,,,
FGFBP2,,,
HSD17B2,,,
SLC19A3,,,
KLHDC7B,,,
ROPN1L,,,
CCDC114,,,
KDM5D,,,
ANGPTL1,,,
LAMA1,,,
VGLL1,,,
ACE2,,,
PCP4,,,
COL6A6,,,
VNN1,,,
CEL,,,
NOTUM,,,
S100A7,,,
PKHD1L1,,,
SLC46A2,,,
SMIM6,,,
C11orf88,,,
FAM81B,,,
KIF12,,,
HIST1H3D,,,
SFRP1,,,
TMEM27,,,
GDF10,,,
MS4A8,,,
HRASLS2,,,
SNTN,,,
DIRAS3,,,
KRT23,,,
TNIP3,,,
TCEAL2,,,
IGFL2,,,
RSPO4,,,
TCN1,,,
CPS1,,,
GRP,,,
PPBP,,,
LUZP6,,,
SHISA3,,,
WDR96,,,
KLK1,,,
BMPER,,,
VTCN1,,,
SCARA5,,,
TEKT2,,,
VSIG1,,,
TG,,,
GNG4,,,
AOC1,,,
GFRA3,,,
MYOZ1,,,
TMPRSS11E,,,
DLEC1,,,
GPM6A,,,
FAIM2,,,
LDLRAD1,,,
SMOC1,,,
AKR7A3,,,
SCG2,,,
LRRC10B,,,
SERPINB2,,,
NCCRP1,,,
CST2,,,
CD207,,,
SELE,,,
GJB1,,,
TMED6,,,
RHCG,,,
DYDC2,,,
PROC,,,
AMY1B,,,
TNNT3,,,
RBBP8NL,,,
NPTX2,,,
PI15,,,
GAL,,,
RUNDC3A,,,
NTNG2,,,
SLC14A1,,,
C2orf82,,,
SBSN,,,
SPAG6,,,
NNAT,,,
RYR2,,,
PACRG,,,
SYT12,,,
MAP1LC3C,,,
ASGR2,,,
PAEP,,,
CAMP,,,
GGTLC3,,,
ENKUR,,,
HHLA2,,,
CAPSL,,,
NOS2,,,
GHRL,,,
EREG,,,
SCGB2A1,,,
DEFB4A,,,
DNAH9,,,
MORN5,,,
ZNF812,,,
HPX,,,
IL13RA2,,,
NPTX1,,,
WDR16,,,
HIST1H2AM,,,
ITLN1,,,
RSPH4A,,,
HABP2,,,
TSLP,,,
VWA3B,,,
SERPIND1,,,
DAW1,,,
BARX1,,,
NMNAT2,,,
SSTR1,,,
RIIAD1,,,
PIP,,,
C9orf135,,,
FAM92B,,,
DHRS2,,,
HSPB3,,,
MTMR7,,,
CCDC42B,,,
KRT6C,,,
KRTDAP,,,
TRIM31,,,
CLDN2,,,
ABCC8,,,
PI16,,,
DNAI1,,,
CHAD,,,
PRSS50,,,
MUCL1,,,
TRPA1,,,
HIST1H2AI,,,
LY6H,,,
TEKT1,,,
RSPO2,,,
INHA,,,
KRT1,,,
WDR38,,,
CDHR4,,,
SH3GL3,,,
TCL1A,,,
COL11A2,,,
PCSK2,,,
RELN,,,
RERGL,,,
LAIR2,,,
KRT86,,,
PITX2,,,
ZBBX,,,
ARC,,,
CCDC37,,,
HOXC10,,,
DNAH12,,,
GAS2,,,
FAM216B,,,
CUZD1,,,
C6,,,
ALPP,,,
TSPAN19,,,
NPW,,,
C19orf77,,,
MAPK4,,,
AKAP14,,,
PGAM2,,,
A2ML1,,,
ODAM,,,
SFRP5,,,
NIPAL4,,,
FBN2,,,
ALB,,,
RET,,,
PRSS1,,,
RPRM,,,
ABCC2,,,
AL353354.2,,,
PTCH2,,,
MYH7B,,,
HBG2,,,
PTPRN,,,
THEM5,,,
HSD17B13,,,
KRT81,,,
DNAI2,,,
PRPH,,,
TM4SF4,,,
FCER2,,,
AZU1,,,
HHIPL2,,,
GPR15,,,
SLC22A1,,,
CKM,,,
FAM129C,,,
HAS1,,,
BRINP1,,,
HIST1H2BO,,,
ALDH8A1,,,
CLC,,,
HIST1H4E,,,
APOA1,,,
HPD,,,
KEL,,,
C6orf118,,,
C1orf87,,,
HIST1H2BF,,,
DCDC2B,,,
SPSB4,,,
SLC38A11,,,
CYP2F1,,,
SLC5A8,,,
HIST1H1D,,,
EPGN,,,
DUSP13,,,
ST6GAL2,,,
ELANE,,,
AREGB,,,
LYPD2,,,
CATSPERD,,,
KCNE2,,,
FAM177B,,,
CACNG6,,,
KISS1,,,
WT1,,,
FTCD,,,
HIST1H2AD,,,
C1orf189,,,
HIST1H2BE,,,
HAPLN1,,,
ABHD12B,,,
CPA4,,,
HOXC13,,,
KLK5,,,
MTRNR2L2,,,
UCN3,,,
CEACAM7,,,
ADCYAP1,,,
AMTN,,,
CLDN6,,,
HOXB9,,,
OLFM4,,,
UMODL1,,,
MUM1L1,,,
HIST2H3D,,,
KHDC1L,,,
UPK2,,,
MSMP,,,
BTBD16,,,
ACTA1,,,
HIST1H2BL,,,
CYP2A6,,,
IBSP,,,
DIO1,,,
ANXA10,,,
SLC7A10,,,
HPR,,,
LHX9,,,
DLL3,,,
INA,,,
MYBPH,,,
NPPA,,,
SLC22A16,,,
ZCCHC12,,,
VIT,,,
PSORS1C2,,,
KRT79,,,
ARL14,,,
HHATL,,,
LBP,,,
AMY1A,,,
HOXC11,,,
SOHLH2,,,
NPB,,,
SLC39A5,,,
REG1A,,,
PGA4,,,
APOC4-APOC2,,,
KLK4,,,
PGA3,,,
LEFTY1,,,
WNT16,,,
TPO,,,
BCAN,,,
AL022328.1,,,
PNLDC1,,,
KCNE1L,,,
UGT2B7,,,
TAS1R1,,,
NOX5,,,
SYCE1,,,
AC104534.3,,,
FOXH1,,,
CYP1A1,,,
AQPEP,,,
EFNA2,,,
RHOXF1,,,
SCN3A,,,
ST18,,,
IL17C,,,
GOLGA7B,,,
C1QTNF9B,,,
RP11-685N3.1,,,
VGF,,,
ENPP6,,,
NPC1L1,,,
HIST1H3C,,,
NLRP7,,,
TDGF1,,,
UTS2B,,,
C4orf26,,,
GUCA1A,,,
DEFB4B,,,
SUN3,,,
CPA1,,,
SLC13A2,,,
MYL2,,,
SPINK6,,,
LRRC55,,,
GLP2R,,,
CDC20B,,,
CGB5,,,
DEFA1B,,,
DPEP3,,,
HIST1H3A,,,
AP000349.1,,,
GDF6,,,
CDK5R2,,,
TH,,,
TAF7L,,,
PRH2,,,
CDH16,,,
CRYBA2,,,
AC040977.1,,,
AC025262.1,,,
PRND,,,
MANSC4,,,
AC117834.1,,,
AL117190.2,,,
SERPINA9,,,
MSTN,,,
CEA,,,
RASGEF1C,,,
MARCH4,,,
FGF19,,,
NTSR1,,,
LY6G6D,,,
MEP1A,,,
GDPD4,,,
AF165138.7,,,
KRT222,,,
SOX10,,,
KIR2DL1,,,
NMRK2,,,
A4GNT,,,
ZPLD1,,,
TEX19,,,
CTRB1,,,
AC142381.1,,,
ASIC2,,,
CYP2A7,,,
AMY2A,,,
P2RY4,,,
HAND1,,,
LOR,,,
PLA2G2F,,,
DPPA4,,,
BRINP2,,,
PYY,,,
CELA2A,,,
AQP2,,,
HS3ST4,,,
C6orf58,,,
RP11-77K12.1,,,
PROK1,,,
GSG1,,,
AC009065.1,,,
AC110615.1,,,
LHX1,,,
ASB11,,,
MAGEC3,,,
GKN1,,,
CELA3B,,,
RP11-603J24.9,,,
FGF5,,,
GPR128,,,
LIPF,,,
PNLIPRP3,,,
POU4F3,,,
TNMD,,,
AC018867.2,,,
WNT1,,,
IGSF23,,,
AP001579.1,,,
KLK3,,,
HFE2,,,
PNLIP,,,
EPHA5,,,
P2RX3,,,
RBM46,,,
GYPA,,,
SYCN,,,
PGA5,,,
C8orf87,,,
NAT16,,,
ODF1,,,
AL049829.1,,,
PNLIPRP1,,,
MYPN,,,
AL158147.2,,,
RP11-389E17.1,,,
SLC35F4,,,
AP001350.1,,,
KRTAP1-1,,,
KCTD4,,,
RNF113B,,,
REG3G,,,
INS,,,
AC016559.1,,,
PTH,,,
C20orf166,,,
NXPE1,,,
CTAGE15,,,
AC092291.2,,,
DEFB119,,,
C20ORF135,,,
