,Topic 1
ANGPTL4,0.0005115806369475568
ANKH,0.0005607127692478205
ANKRD1,0.00030810856847687665
ANKRD29,0.00047013913358516995
ANKRD33,4.812136392557123e-05
ANKRD36C,0.0002797191610833433
ANKRD37,0.00048701457079742503
ANLN,0.00043722324173105774
ANO1,0.0004559004834373297
ANPEP,0.0004964191113271714
ANXA10,0.00014247439438054972
ANXA13,9.808847879623287e-05
ANXA3,0.0005966170197749362
ANXA8,0.0003923099687338579
ANXA8L1,0.0003530218414740765
ANXA8L2,0.0004377945455950143
AOAH,0.0004435075842345798
AOC1,0.00027123749602614216
AOC3,0.0005539889622335625
AOX1,0.00035289000212085576
AP000349.1,8.516822218060004e-05
AP001350.1,1.5073632718238296e-05
AP001579.1,3.186117702834625e-05
AP3M2,0.000476950833501575
APBB1,0.000489739250763987
APCDD1,0.0004833670153583178
APCS,1.7622526880505996e-05
APLN,0.0003899808068269581
APLP1,0.00040035216928032324
APOA1,0.00018132305712959535
APOA2,9.470460206356714e-05
APOA4,1.3843132088178026e-05
APOA5,4.104598530272469e-05
APOB,3.427823183739321e-05
APOBEC3A,0.00037921392631393077
APOBEC3B,0.00042834605861419436
APOBR,0.00041243744332555805
APOC1,0.0007759624866062204
APOC2,0.0005037142222053859
APOC3,5.33070451522538e-05
APOC4-APOC2,0.00012656577909191338
APOD,0.000570205202679714
APOF,1.1601863083425393e-05
APOH,0.0002545378446181814
APOL1,0.0006448702230537281
APOL3,0.0005429584030140937
APOLD1,0.00042232539481711377
APOM,0.00036049273815658524
AQP1,0.0006987925185210121
AQP12A,1.85454023530512e-05
AQP12B,1.7974098489094644e-05
AQP2,4.592404137189218e-05
AQP4,0.00045726282342061067
AQP5,0.0003864650907410716
AQP9,0.00041098721044012987
AQPEP,0.00011333789731876549
ARC,0.0002110748045064097
AREG,0.0005273574128829725
AREGB,0.00017183062369770184
ARG1,0.00015328522134465066
ARHGAP29,0.00045924041371892183
ARHGAP31,0.0004080867446692735
ARHGAP36,2.069877845565667e-05
ARHGAP44,0.0004025494918340023
ARHGEF15,0.00040751544080531695
ARHGEF26,0.00044645199645650975
ARHGEF4,0.00041648051682432747
ARL14,0.0001344321938340844
ARL4D,0.00048191678247288964
ARMC9,0.0004647337201031195
ARNTL2,0.0004221496090128194
ARRB1,0.0005240614290524539
ARSE,0.00033689349393007225
ART3,0.00012177561592489306
ARTN,0.00034950612538819
ASB11,4.1661235617754826e-05
