i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
10,c56cda8a-0755-4715-9c46-5bc6280a5bf0.FPKM.txt.gz,0.04983369379540884,0.025804925318666766,0.037666095018892225,0.0389035477196001,9.673595423806015e-05,0.016595250308479605,0.0431394447901413,0.016114550401346114,0.026161835421782405,0.09589780783144962,0.023868893058656828,0.07584875434108897,0.02878558147099558,0.0713531744491288,0.028892271453420562,0.024763138760755397,0.024794520149039188,0.018641610632745175,0.041411967942169066,0.004517746759710802,0.023877726153733205,0.002631757000524197,0.025767989086930183,0.020082623804165613,0.19408670608770662,0.0404616522892249
11,8970e6da-5904-483d-8770-0ede67f98cf4.FPKM.txt.gz,0.04973132541146587,0.0391702055958484,0.19350292868986574,0.023950953772185965,0.00012428258984074713,0.02482683954733261,0.03350161807698124,0.023136767156457433,0.05736489965096196,0.00443713413271811,0.041603409461626696,0.02992905787918313,0.024876433958138804,0.01917532699247218,0.06514029934927473,0.016857243965732426,0.03885230224220251,0.04373984866902516,0.041660955345987516,0.02885057843252267,0.0406171699940428,0.021907989453652528,0.029288010792660926,0.04040912222622879,0.01923950011898998,0.04810579649460097
12,74dfc8ec-405b-4ffa-a282-daac57bf4d01.FPKM.txt.gz,0.02611133157127783,0.05260478297728629,0.006539062218340909,0.036290650726285005,0.00134830696775364,0.06859590428152998,0.02507995471610717,0.07154813898930087,0.03643346474127031,0.0268836519097106,0.05984298245111627,0.010035682358469642,0.03759107529904149,0.01706849827762504,0.03245933902018315,0.045069730798990064,0.0440800666732593,0.07115283477988764,0.02535413503882879,0.1228596174960123,0.02563413584243635,0.0028804499416218493,0.04991529778513435,0.06837054086416332,0.0032385089165627764,0.03301185535780494
13,ec27c2ca-312a-4e06-bc8f-ca8cb085ab3e.FPKM.txt.gz,0.013076398088444836,0.012209829764860616,0.006532872348648281,0.009749914337568503,5.08799834273619e-05,0.014425496977433295,0.010637546716110736,0.01350653306396464,0.01731065210032691,0.002278728429846412,0.015557223564903376,0.0055410266478395755,0.009688686471498573,0.006076076710993903,0.011909893137246393,0.008540881036679979,0.013187316509245098,0.014042408238822244,0.01092116092901385,0.7412838212862976,0.01161625514753393,0.008017933017287504,0.013054139690633543,0.015934280001590712,0.0007996441591020673,0.014050401640680246
14,78e16228-2d9f-4e19-bbd2-b0bb85e8faa2.FPKM.txt.gz,0.047917261749114044,0.056424097988717004,0.0237440029551695,0.03205567666158005,0.0005287191402915374,0.049348806184620474,0.034736618269237844,0.04388647300914942,0.06942510142375775,0.003744463949725652,0.06291070605163615,0.019687734495836814,0.0285450870564125,0.017865026143105582,0.04930001592489319,0.027405321971222862,0.04794616108729346,0.060404559210776664,0.035534281649867314,0.03857886943710039,0.061597082973638265,0.01862336700717019,0.052307860788073396,0.06731367823808848,0.004434211620381179,0.04573481501314031
15,512b0f65-4ee9-4d01-b453-075499fe9d83.FPKM.txt.gz,0.06344625099420004,0.05441111678841172,0.12766796146463727,0.023821496751205352,5.188120948694878e-05,0.02497752480868719,0.05830766371288537,0.02432156154387745,0.04317157812977117,0.004685341003086534,0.02803115588455826,0.061513526475548815,0.02785942680709296,0.037952584274932276,0.051764844776375926,0.020821036385253535,0.032336118650584354,0.035060725409753316,0.05505286988360092,0.04274496952774457,0.036864654001505445,0.006374540735500721,0.036630656255397305,0.02961986450737206,0.030534633037750673,0.041976016980779775
16,6632e6de-5170-4096-a298-078b6bfd3760.FPKM.txt.gz,0.03343449031453682,0.03571716027295069,0.03991761751286903,0.06131346775158255,6.17779002980475e-05,0.04159531330397995,0.041663625176759825,0.058095770924658785,0.038823535970004965,0.015908399906827783,0.043984766116264146,0.05031259408274456,0.08105190394460211,0.033242721776045564,0.027472790235187224,0.04449525379915113,0.04144600613428094,0.04283510959112718,0.04148822809447071,0.020795407834959385,0.03247361161673625,0.001862720349496219,0.03789706485959344,0.04597686620318643,0.03853938371424014,0.049594412613445917
17,b44cdb13-1812-4bf6-825e-edae5bc5376a.FPKM.txt.gz,0.028901213066602035,0.01759763690432936,0.010747873921916002,0.03787610351228971,0.00018732615433709744,0.02284194492045534,0.04014403020981449,0.028242182872614985,0.013545477868314674,0.03494214458493764,0.021695880663220028,0.13367121916997718,0.06840626077947475,0.09525525743108382,0.012347776051718336,0.074665403793877,0.026156056585952936,0.019508385957671896,0.04880395295240863,0.004291853200575846,0.01727341515330126,0.0004970935894524597,0.027764318205427577,0.019597726214953596,0.1611079248883112,0.033931541346982175
18,e54638eb-8b35-4cf1-af4e-3411dfbd1ba2.FPKM.txt.gz,0.02524200869775758,0.01373387099639074,0.03211637427757517,0.049065329828886,2.17476405587486e-05,0.012716955264300686,0.0186654140427175,0.021011917964999044,0.05273055603382346,0.5570753912605981,0.0084933627189226,0.007141130541471057,0.02210648533389089,0.03715436720866813,0.009568118634614682,0.013785078720115623,0.015042443923161052,0.020255610067974123,0.013626494038114879,0.005304010677091915,0.025931682868565398,0.0006909802892065017,0.00912620637004974,0.011511213412700762,0.001549551660437654,0.016333697527408077
19,c8c58445-3c7f-4c98-85b0-6a707c3d8473.FPKM.txt.gz,0.040475994133807924,0.042419653705917534,0.1302474819482177,0.03968705299386601,0.00011704467125719153,0.0390560050135258,0.0519515338728816,0.04397064893193193,0.058883862466550446,0.006938635241415408,0.045482191029097695,0.02718831044484913,0.044739164450861124,0.02659715828299735,0.02981966355620171,0.031695395256546584,0.04008847257863572,0.04564533217816797,0.04764695297225412,0.021206061208353576,0.0341461814208039,0.004891962851010231,0.04270408725222632,0.05241454496315389,0.008372212785078366,0.04361439579039077
