0,Topic 1,Topic 2
ENSG00000011465,44205.56899552225,31608.65242867245
ENSG00000011590,189.33598324102894,204.8980374668125
ENSG00000011600,22649.105703702397,41110.395005971906
ENSG00000012124,611.8803974163167,1560.928530861002
ENSG00000012171,3662.1578737531695,4066.0892301529466
ENSG00000012660,65532.82596955753,56409.530550164855
ENSG00000013297,1128.9841890088207,1385.2330070145765
ENSG00000013583,19302.639280533534,15070.385182950155
ENSG00000013588,22186.892274645594,26981.185168397482
ENSG00000015479,601.27350335801,211.66601398251777
ENSG00000018625,1135.5327378668728,1250.7808551423395
ENSG00000019102,2369.0272446582894,2523.5389254440956
ENSG00000019169,1017.8589141635706,3571.1163695332743
ENSG00000019549,5675.396614272103,7611.740662844459
ENSG00000020633,1683.832124852964,4097.052024267426
ENSG00000021300,2857.5999313225316,4751.222604532188
ENSG00000021826,328.35346087927854,407.1412656164281
ENSG00000023171,216.22255163404688,373.084726940073
ENSG00000023445,2328.458626750302,4051.1582401492633
ENSG00000023839,151.23348396778027,416.6622402647414
ENSG00000024422,18404.20542184389,20060.3983427182
ENSG00000025039,1437.381213661286,3082.6551969216653
ENSG00000025708,9758.920615089213,26845.775815979334
ENSG00000026297,3320.3201820433846,5576.184962142972
ENSG00000026508,35012.58825223249,25959.28699974364
ENSG00000027869,506.49916403243566,1683.7728191669758
ENSG00000028116,4947.004533603724,5165.050430989161
ENSG00000028137,4792.6914141470215,9895.668956921043
ENSG00000029153,929.0574857329104,1638.5204827232292
ENSG00000029534,403.22405963860814,431.9491681787426
ENSG00000033170,6226.600848309798,7634.044018777723
ENSG00000033327,4936.791752149548,5593.617951183069
ENSG00000033867,5468.519488370525,3512.9770790609437
ENSG00000034510,664582.464478985,1892993.4192010192
ENSG00000034971,1388.633851750161,1104.806737164983
ENSG00000036448,53.132504698281124,976.87296838844
ENSG00000038427,19449.725326180083,16066.23139452231
ENSG00000038945,2680.2382654410653,4630.1808709422085
ENSG00000041982,17675.111675754968,22847.444303867855
ENSG00000042062,1079.186154831286,630.2695107831048
ENSG00000042286,2544.205294042805,3627.11902805989
ENSG00000042445,16362.029012949153,22420.346836424353
