i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
740,d6608d24-28bc-4d51-b6d8-8fec450a858f.FPKM.txt.gz,0.06893278595973217,0.059848120672405185,0.05653809477067812,0.0035966843685923938,0.0005226130901481554,0.09719864728520489,0.09564592893726977,0.021621882689770524,0.06333205954986484,0.10107261727938993,0.04718109402781683,0.14229080711760525,0.1815062459054813,0.06071241834604054
741,27a9c6bd-6e26-4055-867c-ab7276492464.FPKM.txt.gz,0.09885591484061088,0.07076796933212305,0.08792867786248133,0.00842147987818143,0.0015870097786966776,0.08977529629528955,0.1032952134568353,0.020906793812935535,0.051688789613034955,0.07503694315504242,0.06252780740733924,0.1194541939994762,0.14450455826397654,0.06524935230397692
742,b06fbfec-fe8f-400a-b5be-664ac3958de4.FPKM.txt.gz,0.1150222168134702,0.09944663110788676,0.10065381828760046,0.011136858889330362,6.559087087761702e-05,0.0836478628498455,0.10811114598391014,0.1566652433112422,0.10272806966288041,0.009325564845927118,0.08969020902627337,0.03142145255232859,0.059440981032415234,0.032644354766011976
743,6cb1791d-bda0-44de-ac3f-5405ba1ac5ec.FPKM.txt.gz,0.07190671425278453,0.044539645457207254,0.08332104416251125,0.008194330380766874,0.0001828456159852418,0.08193298433763417,0.07482639235647225,0.024589007820830733,0.04155862220613798,0.09131975357696881,0.05867835465161818,0.08505603790951667,0.2685606241786166,0.06533364309294935
744,17be1b8a-4b2d-499a-9847-37656dea85a8.FPKM.txt.gz,0.15732291711765664,0.04376663786793378,0.05265988017471679,0.09515588486945385,0.0003489462080405645,0.041554889765707884,0.06128515540642427,0.016618494411744008,0.2668161468159921,0.014323642094944833,0.03714427887784144,0.03829406523110431,0.029992598284274898,0.1447164628741645
745,86d12b04-9652-4ddf-8e7f-056501d112d5.FPKM.txt.gz,0.08982554686668787,0.08649068034127663,0.09531527949872722,0.014665516604182248,5.3933240345583246e-05,0.10105253958364889,0.12681566051335458,0.04455562545488783,0.08479395417928938,0.030982693193912954,0.08094013826028015,0.06464077021822116,0.11243577199028208,0.06743189005490345
746,c7e9dae6-ed90-4736-8f84-387550fb8bff.FPKM.txt.gz,0.0987594365828256,0.07707852923208161,0.10867854390423232,0.011181111816700055,0.0009704863710654342,0.07851030697362753,0.09217060267166668,0.10207139192795368,0.07562933188601874,0.030692977211500945,0.1046652057778128,0.05690451377972031,0.1023661524790231,0.060321409385771046
747,9350b57b-9f7b-43c6-a42b-9ddae857af0a.FPKM.txt.gz,0.11803815592915855,0.07752174606763979,0.10798812745803074,0.0535704433486135,0.00020881859323267372,0.060548680554955055,0.0812605107786044,0.061796661598112,0.09693845102264706,0.08244786524459406,0.1270963800560907,0.019216696549958227,0.046849401960651585,0.06651806083771163
748,4fe7951d-87fd-49b7-91d6-1d455415daa1.FPKM.txt.gz,0.04497773224550021,0.09692200594263979,0.08236679181141436,0.018527900798525312,0.00016777306575523459,0.12694724725701761,0.08360099329533177,0.1058724121816642,0.03026026550329827,0.02140717424081584,0.09937756339863237,0.028594397329818395,0.10305991986623982,0.15791782306334698
749,a9f75c82-3489-4b20-bf60-59fe5ef83f21.FPKM.txt.gz,0.09864237061997211,0.10281474340781978,0.11429709724978968,0.016064098295963055,0.00014608986974810098,0.09519263820206116,0.10623653990338838,0.07123525487316876,0.05352857921317075,0.021954346907418095,0.10484264869238985,0.04890682987952029,0.1026952665997545,0.06344349628583552
750,83ae9156-437f-4ca1-b66b-43f8559ff592.FPKM.txt.gz,0.03565207988508778,0.04205416758310791,0.043790332921946534,0.03738277218970502,6.901449397792787e-05,0.06496556179528302,0.06838635903062086,0.018815085754062898,0.04387967696769509,0.19045656747614462,0.03629840130689351,0.03220197211982085,0.07749786138296652,0.3085501470926874
751,1cbb4ac2-5588-441a-85f9-59deffb16a22.FPKM.txt.gz,0.15503518856285323,0.03180827817166789,0.03212578054329886,0.009497499537869776,8.660836881851472e-05,0.02721808957900661,0.06759204492083207,0.008035619035119432,0.24338645225958178,0.039290725382331415,0.019306374078534173,0.07518731574099084,0.02079349604407678,0.27063652777501873
752,c9719194-63d1-4e32-8ce4-7f0a62319025.FPKM.txt.gz,0.08578821319254026,0.08429785915238346,0.10657041774658726,0.05559490486542179,9.719903544710395e-05,0.0886547781364445,0.10914519159572583,0.08976487048248218,0.07835548942115235,0.021860275603571556,0.1258698711857819,0.051780661136372384,0.07007441664148549,0.03214585180460402
753,883728dd-ee8e-41ff-9507-1893977ad754.FPKM.txt.gz,0.05399260884644962,0.1261543627720766,0.10256747210128189,0.010640789322070849,0.00012981295798272408,0.09076744014272592,0.07660002814557017,0.19095160411985884,0.013469150249900827,0.021902718687504288,0.1587081672539545,0.03993113184999037,0.08782169198846175,0.026363021562171508
754,b64a6c9f-29af-4af8-a4cc-045a03354fac.FPKM.txt.gz,0.023743827281777825,0.06516618563408295,0.05989505802261744,0.34929649020651804,4.394906701428222e-05,0.04614703830635076,0.027713060738220774,0.2956922413212823,0.0038964336549317073,0.0028089113250098453,0.06686924351008174,0.010486005834080188,0.035085718948927265,0.013155836149104956
755,e4698729-7951-474d-b2d2-d0fbf6d5793f.FPKM.txt.gz,0.08514963572219501,0.08851648332120321,0.15959180685792515,0.08465133925593232,0.00043152218795154386,0.07376090618079874,0.08633702632002349,0.07681791923084641,0.04312617438727899,0.006949725313162948,0.1482789500021776,0.021417524685373324,0.08215644474193529,0.04281454179319589
756,be43daa7-9c1e-4721-9f25-3131e81fd25d.FPKM.txt.gz,0.047547040760343606,0.07625972373692388,0.08070497356834343,0.026597494140282295,0.00011052684487996957,0.09424326847546487,0.065644355949026,0.07962476361995804,0.015654409926686215,0.09923015429614336,0.10761596441942187,0.13801146271454087,0.128772167318366,0.03998369422961961
757,fced57a8-570a-4f05-aa10-4e16aa7ecc85.FPKM.txt.gz,0.047798834106753216,0.08203801824790442,0.07744790497912718,0.006261142076115838,0.00010728406760720983,0.09083593415824133,0.07868603312143263,0.09075878482675984,0.014114361801731116,0.06499547621936815,0.07526985119227217,0.1227877674381748,0.19629471565552722,0.05260389210898483
758,aa256c1a-55a8-43b1-a553-26444a950087.FPKM.txt.gz,0.05656628967124616,0.09663441570306694,0.11859389927722892,0.013672767402196155,0.0014643359933112206,0.11384395665720427,0.07181309413383852,0.1159885936194714,0.014318086088040381,0.012277575142266023,0.12808893402953161,0.03632972615987495,0.17691581861783506,0.043492507504888346
759,05862db6-8464-4336-9e34-e9b5ee863829.FPKM.txt.gz,0.06721380662807284,0.0786635279601273,0.07164687098310424,0.10920375994422803,0.00017968684940571224,0.0706923387786588,0.0632064013872924,0.07817661448156822,0.028225547169330418,0.09820705841221536,0.12518802738860563,0.11219424710763364,0.06408755528479906,0.033114557624958366
760,39d6716f-d898-494e-9f41-7972de1e6670.FPKM.txt.gz,0.03828314899347621,0.10016299874158117,0.10216671456838963,0.01904412650096658,0.00021479363534292436,0.09714110792703978,0.06405099781221073,0.2510059559289762,0.010848808814423076,0.009681135035581509,0.13503138034493772,0.028841673357238286,0.11271329174064831,0.030813866599187934
761,20ff57b5-eeb2-4312-a5e0-11ac8c8d573a.FPKM.txt.gz,0.06696016722476775,0.0789611023065236,0.09743269234085719,0.01847676320011214,0.00015996608419170723,0.2222580278267159,0.10694275630173708,0.04484289948299612,0.01964497931239084,0.028384345489660696,0.15079750251378207,0.027396972010408534,0.07670815581595591,0.061033670089900426
762,3c99f021-2d9a-4322-96d1-27329c4abee3.FPKM.txt.gz,0.08510986924228789,0.06357866025575158,0.06022439150364222,0.004692662145911577,0.00020167581541493253,0.08718746579609697,0.12795655059015307,0.017818397315786088,0.049894179799451516,0.14202333911857268,0.0440666437253571,0.12184627504091965,0.12045503680797359,0.07494485284268108
763,5fa88a87-e100-4fc5-bc26-995ad8191c8f.FPKM.txt.gz,0.0679216662884312,0.10457854286221817,0.09487679160695398,0.015012065322444593,9.130910109127529e-05,0.16295213484811266,0.0990189715351854,0.07517461110540989,0.025731714667418533,0.05419257884501,0.14586377151397792,0.0372675177633788,0.07579810633554554,0.041520218204822025
764,b6a39fab-afc2-4498-bb4c-95adeb388c6f.FPKM.txt.gz,0.0663063434300299,0.11944163387827707,0.11036288073155098,0.013239406063612779,0.00026007243450713223,0.09722717674929898,0.07073241020234468,0.23110240569536136,0.042616571968079366,0.015426601370406108,0.12821361297694042,0.023700312285827686,0.05828267884555348,0.023087893368209995
765,4eecfe47-e618-4f17-8a74-a91ebd259c88.FPKM.txt.gz,0.01867742630436406,0.023843120145715605,0.021033771506214296,0.0021535024639981067,0.000303414618476558,0.022635491422690376,0.02576703378331762,0.8088382737946496,0.00921851404796704,0.0058258551579051035,0.02136296992975628,0.010804502861399137,0.019327332422060254,0.010208791541485924
766,13ead835-a0c3-409c-a651-2256e57ebbb2.FPKM.txt.gz,0.10933220540867085,0.06642717817226325,0.0708348669940464,0.0038909757850124293,4.0498878920487407e-05,0.0701801682875326,0.12350006112175993,0.018832016993852053,0.3540603302087552,0.01198519680106889,0.0393340301460527,0.03673170735709707,0.06604314337780406,0.02880762046716402
767,f125d4a1-cb15-4729-9318-433c39c685d7.FPKM.txt.gz,0.07300414953026789,0.1143128330113615,0.0892574187335616,0.04164852855611658,0.0001292248506999248,0.11858049344718591,0.07487339812360963,0.11976361213616678,0.026590338396620773,0.02197598214764571,0.13651390891686335,0.0446475606337653,0.09662106998787735,0.042081481528257726
768,4a0d9b7a-427c-4446-9fbd-ebb4b55b0469.FPKM.txt.gz,0.1568338456680551,0.08202271116428506,0.10200294732587994,0.02045760211698248,0.0001188431806397781,0.08041689261394738,0.10345190405917543,0.06062183085950628,0.08975233940014875,0.025152069043449986,0.11610093700493973,0.054778889405886,0.06091549650550869,0.04737369165159541
769,9570c964-8d26-4280-97b7-43ebc45a3b58.FPKM.txt.gz,0.04455405444595863,0.01933467786481971,0.030671429046531723,0.028186200909665234,3.9964914017064955e-05,0.02254456785483075,0.030486407945351277,0.01906471276406357,0.7238782711690689,0.0070434313828743106,0.02089830654556577,0.012626810454894615,0.021081045356416344,0.019590119345941997
770,da8cb4c3-4599-41d8-9f1e-6854d9996435.FPKM.txt.gz,0.04942962985954474,0.12345112161872787,0.10217745120089672,0.009889478802611207,8.700545350003256e-05,0.11706328809847644,0.0740823592078999,0.12021037360917268,0.0081189005105921,0.050400571389679356,0.1227063529718474,0.07658973360284108,0.10846977809124886,0.03732395558296161
771,086a6348-e87d-44bf-96f3-71a42af960ff.FPKM.txt.gz,0.10421735148318778,0.06159746384332765,0.06965287224181967,0.005375795720142505,0.00010212090768371896,0.0888785909270545,0.11180421191306279,0.01715085776569522,0.06657127459280612,0.06624563105801849,0.057862915840347355,0.1545546724723494,0.14179178488067046,0.05419445635383425
772,ecfae4ac-1c9e-403b-8ff2-cff2609a1329.FPKM.txt.gz,0.05660360452941044,0.04765166969196314,0.04154289903952491,0.005813267346699848,0.0001865202293788329,0.0705736535404201,0.05627639077872046,0.021685531453364788,0.08382206113935081,0.29608938798158063,0.042041739998931654,0.1854010178083566,0.0469178079991745,0.04539444846312313
773,087227b4-113f-4319-964c-ff20c789038f.FPKM.txt.gz,0.1085417094789135,0.08635970323822306,0.11684525954223651,0.03128275143671663,0.0006711763845814664,0.09317908343589239,0.11376810601849842,0.06510059113364237,0.04790057997886488,0.025491451927859447,0.12492696079857989,0.07291815485594913,0.08072554589790736,0.03228892587213493
774,aaec9256-9b45-4208-8eed-29e590c34c09.FPKM.txt.gz,0.014990585441799216,0.01903294021963536,0.017020632073526734,0.3262636769880429,0.00010501519993969263,0.021109474764995938,0.015960631279572115,0.011896168969834255,0.00861668604878075,0.038733079890978066,0.018768671502721462,0.03200884180694977,0.024603232173189066,0.45089036364003465
775,9f0d673f-ff69-4d01-910c-f04921b538a2.FPKM.txt.gz,0.07420650041137672,0.05470955964159241,0.07024160426450882,0.011886008534937025,0.0003040455452509362,0.07485389739554078,0.07683681677602405,0.02989502513508746,0.09531111068723713,0.1343456668917366,0.050735102121347866,0.10387662859292868,0.12801529322243863,0.09478274077999284
776,e4544c39-bf5a-4f95-8853-6a59eae4c262.FPKM.txt.gz,0.07812603105037344,0.042808990254565624,0.07535789210956312,0.023229618757105417,9.537969162631859e-05,0.04972085087424232,0.06113263602015213,0.040957376792050665,0.04513466681320674,0.08740026425762443,0.05644395366702504,0.17651189001233986,0.1610606825262935,0.10201976717383138
777,56451515-b448-4c8f-837a-8a78ac630d8d.FPKM.txt.gz,0.07608863545150842,0.052474882741515363,0.07039111269375807,0.00438986063509051,0.00014807625477248823,0.08241391857815142,0.09215333603224901,0.016350660030031345,0.030453699512682873,0.12757485648038316,0.04752919188492474,0.1775600249087076,0.1582449682246399,0.06422677657158517
778,3840477f-a5a6-4420-8d06-18f61b313ec1.FPKM.txt.gz,0.12854019824201712,0.08898717008180902,0.10027962276177904,0.06569633393937299,0.00014585436692047626,0.07862471869828515,0.08691504815156266,0.0725636603545246,0.06836326972698352,0.050269060654162825,0.09124948636780116,0.052204444707385216,0.0565463648638853,0.05961476708351108
779,47af78ae-c41a-401f-a88b-d7e35831f816.FPKM.txt.gz,0.08677158624268991,0.09990957315703916,0.11531295361488425,0.04013698312276059,0.0002156475096880525,0.09754244257120644,0.10688183187804913,0.05501094174850208,0.0375040411383867,0.09818050398619918,0.10530208063979961,0.02677235185661382,0.08398841183363515,0.046470650700545964
780,51f23908-2796-4c07-82a8-21b8a717f84e.FPKM.txt.gz,0.09054880056856532,0.0579152288479155,0.07648475838107982,0.03240629431752765,0.0005155144673517822,0.05825048149991171,0.07427005894353167,0.059434546573233826,0.24346451167934358,0.044005893764970064,0.05181379840979957,0.08868460775743003,0.07063931887928013,0.05156618591005941
781,8f446b76-1d90-4ae6-9f05-db1a0e441ce0.FPKM.txt.gz,0.14884808458625973,0.08209817940787134,0.10392794040222265,0.01570943526241232,0.0001607686693665654,0.08826412201295204,0.1170230011369057,0.038922372146660444,0.051453036700278586,0.03206099576895983,0.08991293446048614,0.08394340480433705,0.08502002903515131,0.06265569560613626
782,28973531-fd03-4f86-8cf5-4c6941560c37.FPKM.txt.gz,0.11730420080589318,0.060949844154210855,0.08884074907537026,0.047244946911243646,0.00012477440539590168,0.05941240174298565,0.08033667018882236,0.03260953243919172,0.3264964865070957,0.010703953735743194,0.06964599197462219,0.02805435072431568,0.04105117505804804,0.03722492227706161
783,7133f91c-4128-4578-a1cd-2c1ee81b3f16.FPKM.txt.gz,0.07084772483632176,0.01988248772739269,0.031428649168558226,0.014826454788297977,2.942390774729523e-05,0.023513220504035322,0.03549282488716939,0.006474155279487985,0.6813015122405329,0.023158505878897964,0.020653463770603796,0.03234083323715224,0.017726643256592258,0.022324100517210052
784,8b26a752-d1fa-4a0d-8600-9f7bf97cc94b.FPKM.txt.gz,0.07298419675681735,0.10521551105434802,0.10185998947609438,0.00845601172489283,0.0005185248419319795,0.10278723113134412,0.09109592550800774,0.16133123257588744,0.03896774469867944,0.03694056580956681,0.10216176987842726,0.05105364139846566,0.09072240670564995,0.035905248439887086
785,25de1c24-bb1d-40a7-b62f-b54d6184426c.FPKM.txt.gz,0.07167380026546123,0.06292029438753653,0.06591615172932398,0.004277664886760509,8.649162323137609e-05,0.08801513514894538,0.09966460315790407,0.025746114524680938,0.046183415762015095,0.12082571989633664,0.055613282701922215,0.12020713013682612,0.16295915906655867,0.07591103671249726
786,f12fbfdf-efd4-462a-a34c-8c01947bfb78.FPKM.txt.gz,0.04967773914733709,0.050538635025978655,0.0844878611114975,0.008406048138255198,0.0003170611701935698,0.05452328879472685,0.039638933616450246,0.2107309674422389,0.01419360618483256,0.0019515523244719379,0.4454454111531608,0.006604465411048835,0.02559109841765928,0.007893332062148496
787,677dde68-3c06-4e1d-9250-8a99c84643c3.FPKM.txt.gz,0.1093182419519093,0.07567379455883731,0.11974120503167628,0.047469768863422614,0.00014005849009635524,0.08958529064519748,0.15244394526162514,0.03314897638953755,0.07080758931289426,0.01736677367200884,0.08926536186948555,0.04757629014167213,0.09077309054629695,0.0566896132653402
788,7e450615-1252-4b4c-bebb-0f292dec3ceb.FPKM.txt.gz,0.06787159970869196,0.025959440121030547,0.03685106176698004,0.06434456369322365,0.0003381180999705058,0.032611979118057785,0.04708488939921644,0.013497948494317468,0.5493207325955616,0.02538834577145397,0.026514885951010553,0.03641598124970596,0.02947999600845626,0.044320458022323206
789,00b24800-9f29-47e9-99c9-eba03186adf4.FPKM.txt.gz,0.07061214975081283,0.10232901564752336,0.1043797582386207,0.035065617059234847,5.339265422839601e-05,0.09668346923871418,0.08920078864679935,0.09053236585583883,0.03903135917642667,0.030401665580298626,0.1045351434959826,0.07099088452421803,0.1253346795033694,0.0408497106279322
790,5f615a4b-f0c6-4313-88f3-a2a8f4a713c4.FPKM.txt.gz,0.09284371324245728,0.07875850919473516,0.08212274318886281,0.01351616558160508,0.00011532918555275962,0.10675748664974309,0.08338817090151465,0.046725516385586474,0.04949392503920782,0.07433009372419808,0.11686479598982216,0.12963306029379185,0.08334059551133685,0.04210989511158615
791,2c87e676-6601-4d73-ad4b-9a0fd68ae0e4.FPKM.txt.gz,0.05346973704460563,0.07603776508861461,0.10369904344630312,0.3078439401689867,0.0008874629204860008,0.06529455510304988,0.05037115742387942,0.10038786584863961,0.016270357462503927,0.00915638209686175,0.11603246162267608,0.01113237265199889,0.061591963284500874,0.02782493583689371
792,3a7a0c28-6d64-4f3e-bfa8-750d464b0b4a.FPKM.txt.gz,0.11082345830723143,0.1504299038109599,0.09536117539368369,0.03205187860680841,0.0010019579879903039,0.07953232991422313,0.08862482035747495,0.0562534716420712,0.13258649784179077,0.009251983774921396,0.08606531147674701,0.03166065062703347,0.0653624484015283,0.06099411185753592
793,1fb17947-620e-4655-8b19-7adef7238ab5.FPKM.txt.gz,0.083314736870295,0.05503582174014668,0.055681655739010585,0.002948475951249819,6.548943852920444e-05,0.07432889556668115,0.11239370435219893,0.018636745823380412,0.14151797306820896,0.08438329497655236,0.03657038149924515,0.13084381844216056,0.14231165557219674,0.06196735096014423
794,8b7009e8-9021-48d7-a603-3c6038635252.FPKM.txt.gz,0.07181722715983381,0.05741309117327491,0.07120319022691024,0.006842761264503727,0.0009810761154794682,0.0794868453460452,0.10154116551458733,0.02444218558101317,0.03933961466964994,0.09259312019573367,0.047682017550794945,0.19213842602259473,0.16344170533127506,0.05107757384830398
795,c7169e06-bce9-4524-ab91-84c24205814c.FPKM.txt.gz,0.050442139630033536,0.11012117905331908,0.09912241337574502,0.022553035900598133,0.0003352754229772268,0.15119417687721964,0.08486220093211418,0.08858044821031995,0.010348746600306729,0.02665169304154383,0.12727602428801035,0.04992819347303105,0.11969528648294409,0.05888918671183716
