0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
ENSG00000233351,7.661525810364575,5.723095772541096,6.519155498301159,4.439815712949548,29.976709254120642,6.1694139286742224,6.6679880109801015,5.8302822277227175,9.433781641140657,9.938631521831125,6.016267580626228,10.043645718848548,6.668567735650561,7.4633400522999445
ENSG00000233461,413.6961519000274,538.4232020250531,523.4905037301629,344.30305573933254,49.01652350362255,624.079392941683,529.3523089822721,575.3124346644028,178.46297873982607,1122.4020195146215,602.0128526210356,501.61837299057873,607.7471699412773,585.6438608982903
ENSG00000233476,1170.7078101831926,741.2358993589252,818.7241424047139,402.3071300795023,119.51522728708382,706.3789804332473,907.72638131381,646.1076207897382,1187.2453389104774,432.2062992382029,624.5475540630165,672.8048765130521,676.2030840494083,431.9517679787303
ENSG00000233493,283.0673946927794,512.6268132541479,793.1047361566327,301.9999756917238,13.000843057571483,380.44029197753997,347.74426839183263,825.5065087668053,114.34134349762405,416.5292243590186,487.7111686300253,591.3296000972426,573.7475958291126,423.7610505752382
ENSG00000233578,24.790099493110176,22.758703984249095,22.445557589457735,23.9647826416981,99.33971352280102,26.34729648889259,31.32353481265689,17.4519158745405,39.01565898797718,25.515409658247897,30.28329780336126,15.653309431607685,17.336382365836847,26.08262646929473
ENSG00000233622,3666.438947586892,6164.042160956633,6502.491016978472,1329.8668404355972,309.22816435636236,5189.729643057971,3418.3079492762117,5163.738505994565,980.5828780384223,501.3097462547401,9387.351958868649,1195.9368234602634,2098.3010496491947,1334.036718653982
ENSG00000233762,712.6690731299052,704.3695718213966,914.3105317364387,416.82762569433925,9.840294256526894,876.7931463307128,865.5747871202477,674.9295177014285,501.7677133666358,479.3454989600181,726.6856980705774,833.9069351400283,804.171370674582,1039.365498342688
ENSG00000233806,107.8037349698091,79.53987988389837,99.04276214869985,69.57731412251947,79.14136448444518,84.61237145946652,93.54440144284148,68.37128270690945,66.68557950411522,34.97631478162149,117.9585044082683,36.015672097888036,71.48706352135983,51.64027847635364
ENSG00000233893,20.211132887258444,15.94329690650952,22.618348216986842,18.082412353645104,54.38110196547625,15.120741922236999,15.8258339389251,19.879451705116235,14.247768489325436,11.347945742724246,22.52701916256106,11.041867480986271,17.03157126226814,17.08206584682354
ENSG00000233912,42.822385443206954,27.720717505743423,36.327974279017745,43.60576678293343,83.93036392478271,32.62555934551421,31.195206958499924,36.30660080065698,32.98350006816948,46.73354463435679,47.605680753789834,50.326426213584206,32.31468624474777,33.35807787129897
