i_doc,doc,Topic 1,Topic 2
103,6cef5fb7-2c60-4ece-87e8-4acff9374fb2.FPKM.txt.gz,0.47338018581763,0.5266198141823701
104,2b5c518f-8327-478a-a282-01bfe59aca4c.FPKM.txt.gz,0.24135788853772538,0.7586421114622746
105,52fe6ec2-36d3-413b-81c7-b79870d74450.FPKM.txt.gz,0.02770988666033518,0.9722901133396648
106,906456e9-96d6-4be0-9d61-73647f6684d9.FPKM.txt.gz,0.7028545190695469,0.2971454809304532
107,e26f2b4a-ca55-4a0c-b8e7-4f1e21aa6dae.FPKM.txt.gz,0.4424471155587156,0.5575528844412844
108,e740e34f-31fe-4fe4-8965-4e9ec5ec50fd.FPKM.txt.gz,0.6061329834474163,0.39386701655258366
109,98da76dd-0fb5-4313-a277-a122c205e843.FPKM.txt.gz,0.45237692845877264,0.5476230715412274
110,3f500570-271f-4da1-90d5-d60f353521e1.FPKM.txt.gz,0.4812361456284285,0.5187638543715715
111,0632152a-63d4-422f-a105-de29b83e3523.FPKM.txt.gz,0.2887872364029733,0.7112127635970266
112,944b1e8d-7219-40a4-ab27-385192062cbf.FPKM.txt.gz,0.28259243962825964,0.7174075603717404
113,019a5486-ad80-44b4-a9e3-7e7f93e8e6fa.FPKM.txt.gz,0.4990740096911652,0.5009259903088348
114,1294d2f0-3a01-45b8-9e18-f5da4fbe8223.FPKM.txt.gz,0.4539025019486459,0.5460974980513541
115,f5e4c398-d9db-4cd0-bd12-3751a624d377.FPKM.txt.gz,0.43915110636745974,0.5608488936325403
116,ea1b4005-545a-4fa3-a3d7-a2dbd1bcc744.FPKM.txt.gz,0.31844704288075387,0.6815529571192461
117,a4c7b6e8-ed30-42b2-9daa-0cf0b9d59259.FPKM.txt.gz,0.060302617339659456,0.9396973826603405
118,d65401e7-2bde-4b7e-b901-c173dd3cd33d.FPKM.txt.gz,0.244150052520069,0.7558499474799311
119,4b19c0e2-2a61-4f0a-9257-4a528e6b320e.FPKM.txt.gz,0.14553466851998864,0.8544653314800115
120,7acdfb7e-882e-43cb-a449-e1bff9869637.FPKM.txt.gz,0.8543009386232641,0.14569906137673594
121,c22879b5-4183-4c3c-804b-f6cef1df617e.FPKM.txt.gz,0.9999864715223468,1.3528477653251982e-05
122,ecefab08-36f5-4a49-9e4d-9e6def0d747e.FPKM.txt.gz,0.28720232483495145,0.7127976751650485
123,754aad86-ccb1-4716-84fc-abe77e4b3e2d.FPKM.txt.gz,0.5333671655393772,0.4666328344606228
124,6b59b355-7581-426d-98c1-36e132a77c4e.FPKM.txt.gz,0.7723653100814748,0.22763468991852517
125,abd58426-924c-47c2-99f3-102e93a3d341.FPKM.txt.gz,0.39780962284626326,0.6021903771537368
126,b033c85a-2395-4ced-a84d-ac1fbce674bf.FPKM.txt.gz,0.3680461003851797,0.6319538996148204
127,4d8ca8d3-eec4-4dee-9805-4a84fa1f1716.FPKM.txt.gz,0.4056762545324405,0.5943237454675594
128,4ce949d4-55e1-4e4b-a6d3-d2910ae3b448.FPKM.txt.gz,0.15458978848530158,0.8454102115146984
129,64262505-9f17-4989-94c9-fc6db56ca676.FPKM.txt.gz,0.5858941840914106,0.4141058159085894
130,c0838214-75ee-4668-85fe-4247b8e5ea1c.FPKM.txt.gz,0.10647940045492894,0.893520599545071
131,7403bf3f-1678-4b86-b094-c87c993e583f.FPKM.txt.gz,0.5232630585134584,0.47673694148654144
132,a32c6a56-997e-46b6-8da9-fcfe24aafc08.FPKM.txt.gz,0.38331247744091207,0.616687522559088
133,e023c283-afcf-4334-b741-3dce8e98b0f6.FPKM.txt.gz,0.11464544233285641,0.8853545576671435
134,8cc12fdc-c850-42a3-9aac-eae3ac9b21a0.FPKM.txt.gz,0.3940593705101539,0.6059406294898461
135,4bf2bea7-00ef-485c-b9e5-035f0ea62b1d.FPKM.txt.gz,0.34028732620303787,0.6597126737969621
136,757b49f6-849d-45d9-a182-4caa6c527fc2.FPKM.txt.gz,0.4297320925602746,0.5702679074397254
137,d2ba49d2-5207-495c-97b3-d70ebef30c7d.FPKM.txt.gz,0.5598866281986594,0.4401133718013406
138,e4e0ed55-a9f4-4978-9aa5-7a6f892ebb53.FPKM.txt.gz,0.45356889251118054,0.5464311074888195
139,ce137517-0320-46dd-b4e0-82c02773ba97.FPKM.txt.gz,0.4840065303569286,0.5159934696430715
140,fcdaa827-e263-46e0-8a83-206fa5a009ba.FPKM.txt.gz,0.623799006028387,0.376200993971613
141,801d0a1e-b2c9-4e05-bd6b-15322b0458c6.FPKM.txt.gz,0.47790946438189336,0.5220905356181067
142,fd55692a-cd56-459b-8edb-ba83a735e665.FPKM.txt.gz,0.43322402037142405,0.5667759796285758
143,baa3cdc1-1ee8-4aab-80f9-dafa35cc5fbf.FPKM.txt.gz,0.1391181931301847,0.8608818068698153
144,592f19d7-8afb-4db6-9409-24ded8862985.FPKM.txt.gz,0.6581075394363899,0.3418924605636101
145,dcca8e16-a1d4-48c3-a87a-f409c86104f1.FPKM.txt.gz,0.4090694126740884,0.5909305873259115
146,82bfc74a-cb0f-4966-b53e-c7b535ae7f23.FPKM.txt.gz,0.46694960804646224,0.5330503919535377
147,e6bec4f4-0b51-43ba-b62b-5af777712488.FPKM.txt.gz,0.6757282314632816,0.3242717685367184
148,fb425afa-26e0-4867-aa6a-cfe1d9fc668a.FPKM.txt.gz,0.38665146053389055,0.6133485394661095
149,9d92a96c-a177-469d-b306-5f53aa2fa634.FPKM.txt.gz,0.17741957466629366,0.8225804253337065
150,2e941d7e-cb3d-429b-aeff-328325ec6120.FPKM.txt.gz,0.30904797933876066,0.6909520206612393
151,bc4753f9-5ca7-4bc8-b25a-622e1a4cdf5d.FPKM.txt.gz,0.3696479223836051,0.6303520776163949
152,afe5f01a-b3c1-4d24-94cf-27ec0894e308.FPKM.txt.gz,0.9982994087376411,0.0017005912623588417
153,0211f2ea-a4f6-4a57-8f98-66bf0a327479.FPKM.txt.gz,0.1758263157257642,0.8241736842742358
154,995dbed7-f7be-48fc-be3f-6d24f6639b70.FPKM.txt.gz,0.36362438587218593,0.636375614127814
155,53c56c46-1618-49ad-9155-46f46d6d3613.FPKM.txt.gz,0.4299653149296536,0.5700346850703464
156,6999d309-8502-49ee-8d80-9d0bde00081f.FPKM.txt.gz,0.28178230713491065,0.7182176928650893
157,2edcaaa7-63b4-40b4-abbe-5d7a84012e60.FPKM.txt.gz,0.600861191437789,0.39913880856221107
158,c32272b5-a619-4d25-bf35-71835715a159.FPKM.txt.gz,0.4197224588004421,0.5802775411995579
159,6c60605b-a647-481e-976d-f2945740faf8.FPKM.txt.gz,0.4443497623115599,0.55565023768844
160,e29ce54a-49a1-47a8-82fd-7687cec0d1bb.FPKM.txt.gz,0.40968963570413347,0.5903103642958666
161,cbf61237-f5ba-4fa0-97be-e79e8e75a887.FPKM.txt.gz,0.5800098437170736,0.4199901562829264
162,d578e27f-537c-4aaa-8903-6ffe68346276.FPKM.txt.gz,0.5468690750202959,0.4531309249797042
163,a62f2229-21de-4876-9735-062659ccdcbf.FPKM.txt.gz,0.26393877795849013,0.7360612220415098
