i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38
10,c56cda8a-0755-4715-9c46-5bc6280a5bf0.FPKM.txt.gz,0.02951102891082564,0.019610464133247504,0.0215512784736417,0.001708475339351019,4.957956933048765e-05,0.018146071043768718,0.016217973206557497,0.010569120690206338,0.025502975149034,0.08126263915236621,0.012501117894708817,0.07980899448455533,0.0178858780906234,0.03114864049691075,0.020206737453264397,0.017146472673897795,0.02087381873612122,0.016189840743668343,0.019937735644716806,0.002359370360431733,0.02340151746605077,0.010707350757900984,0.023823218829211408,0.010313155018898495,0.18467315574166213,0.02532856464510126,0.02481993517442091,0.01429169613839634,0.006260299735724749,0.03172851760215028,0.0001247092348279678,0.019055941338924246,0.05505160817264924,0.04925184489044354,0.01167715878423153,0.021127955050281366,0.012636942524015603,0.01353821664788146
11,8970e6da-5904-483d-8770-0ede67f98cf4.FPKM.txt.gz,0.0394943246905551,0.020329513816945737,0.14681791179559595,0.015816761110974836,5.185276587721457e-05,0.02484083717415073,0.017620634514678078,0.01744815361144913,0.04928673251823443,0.002740098714496411,0.028360352755617733,0.021847652499493386,0.013038573833801661,0.014835124913480473,0.03485886542795716,0.011401939814342645,0.027190485826933442,0.03149139677085573,0.023708768825953807,0.016031467063377214,0.03793628303060408,0.03899357057100278,0.03105925824275288,0.02886868108970337,0.0166755824675869,0.04175542925848198,0.012451213485247739,0.014479159784026542,0.009845084592103237,0.034176209511674646,0.00016406122164070241,0.042580263605673865,0.021563521154821658,0.04004998098980306,0.014207564753835738,0.023715524668260046,0.02025445788777627,0.014012705240233719
12,74dfc8ec-405b-4ffa-a282-daac57bf4d01.FPKM.txt.gz,0.020307766918928664,0.03130279587018916,0.004381622850103927,0.0011050875538708418,0.0004564277523890915,0.036923171892288754,0.009940572160862034,0.06261202002721424,0.01376777083508695,0.022444355401656336,0.05032498949037986,0.00652052430234387,0.022424351945699188,0.022837117817894353,0.023000973209749132,0.031773626717945216,0.02858290931394932,0.04046169046673408,0.0299399934175159,0.08274813982672989,0.02420966652066419,0.03014329647572709,0.02347399610309413,0.05300966154079517,0.0018701017694288007,0.02737268820157061,0.02054978549743355,0.025806630177184882,0.005752898906437625,0.021050422005164465,0.0010211210141046663,0.02989531900162456,0.013772192197184126,0.004036379164051149,0.03519629282134414,0.03722808255476496,0.05123327021218327,0.05252228806571174
13,ec27c2ca-312a-4e06-bc8f-ca8cb085ab3e.FPKM.txt.gz,0.01163248497440135,0.008574694366403299,0.004554754562122464,0.008639096539837065,3.4936334753963514e-05,0.010936400797198077,0.00574931196555749,0.010952516725027249,0.009521905129941458,0.0017406134533702446,0.012169026447006633,0.004739378480234326,0.006433964051498848,0.007210991951655074,0.009298873459661275,0.0066176347348667255,0.01022451142806218,0.010397070117541273,0.009038290219433323,0.7031388371458112,0.01121469890864282,0.014121656936753105,0.010206725297507884,0.012339652102849001,0.0004428893972740288,0.012392855635337895,0.005732529887179138,0.009558766338517818,0.0011694222712684574,0.011326319941399661,6.239607617325038e-05,0.013148735044438867,0.007168605530201705,0.0037001948317138956,0.010019465886744447,0.00940035004011934,0.00964124469781066,0.006748198291684753
14,78e16228-2d9f-4e19-bbd2-b0bb85e8faa2.FPKM.txt.gz,0.03995429732773032,0.02989939632798171,0.013422534928761217,0.011830542943452963,0.00018484440213623507,0.036021181941130215,0.03619978552280674,0.0352341803439557,0.03527197895480377,0.00249459899991691,0.050942968984372124,0.010801130222523072,0.013033945241256943,0.01921820888508816,0.03122007597524196,0.019266557531772817,0.03282320934208818,0.04249000552938656,0.02584438658143401,0.020878978573308914,0.03365066464509666,0.0502176469223943,0.036583683794526436,0.048345406485939,0.002745530116796309,0.03987624458831151,0.014893034684879217,0.01732970956895887,0.010616494070920688,0.02923525899189786,0.0004609844474812829,0.049749892368134145,0.018114302949419663,0.02227196929316437,0.03136126915956559,0.032864557030791997,0.03361041265059566,0.02104012967197774
15,512b0f65-4ee9-4d01-b453-075499fe9d83.FPKM.txt.gz,0.040945025252345155,0.0256899009456917,0.0609252234857191,0.0021949889757766853,3.491371974145504e-05,0.025905056309136792,0.024833804787901644,0.015384377322073919,0.04956853284437757,0.002742955085182785,0.016463856637363918,0.02500116397419674,0.013571012463491303,0.019425634421856477,0.0284423131563742,0.015518165090489002,0.022635998935971822,0.027670587824591555,0.022627878617818023,0.036622644453694585,0.03194182508950781,0.019447493192962816,0.03929376852176809,0.016597222032909503,0.025943909585653603,0.03200336445266254,0.019864657905786707,0.012656462005148531,0.012759074803941978,0.03238528739588677,6.840070305536347e-05,0.032467456550143,0.028870503485468206,0.14497496437961985,0.01753026732638327,0.024929509140243472,0.0177980160646103,0.014263783060454015
16,6632e6de-5170-4096-a298-078b6bfd3760.FPKM.txt.gz,0.02460499867247788,0.029309626906046243,0.029490717668553736,0.0009988844307542812,3.789980681934574e-05,0.028215612275694347,0.01402919804886959,0.0382057659070293,0.02727595258980666,0.011309456489427659,0.023596144149449303,0.04109430337865281,0.09022184911490498,0.029402622697464572,0.02287614596247752,0.031085578503599384,0.026625957009098103,0.027442631130866108,0.030641465106260167,0.010738624034019555,0.02782034074776205,0.017120115225936525,0.023963598347321823,0.02925758863389668,0.03334852623367799,0.028664346448434384,0.01981299550406732,0.05657886844547392,0.004904597940274587,0.026279811987088203,7.678710915143212e-05,0.02166849125898461,0.029317956267512,0.01637488655679534,0.0258541477407023,0.031535780392218715,0.02946650268952937,0.04075122458890115
17,b44cdb13-1812-4bf6-825e-edae5bc5376a.FPKM.txt.gz,0.017112225113624323,0.019638535736187204,0.006506552475889932,0.0003065572782915053,8.695763332929396e-05,0.01738543527729894,0.01139287434647606,0.016405911138811985,0.009436528471836224,0.018180955472792696,0.00855648554567775,0.18051212861798827,0.07547947667970978,0.03584941769628042,0.013788236354893242,0.041145673613179924,0.01946289210894502,0.013633935969059884,0.02568574046597259,0.002067842779382477,0.016171190108478388,0.005530208178729269,0.016182535017598965,0.009380520325623988,0.14364813945305144,0.013555023826081956,0.04512854372569416,0.036183354788451465,0.002006060645207452,0.02064318300798732,0.0001917413532738396,0.00950283972862368,0.053959647951372765,0.012206537401964614,0.015077290682974975,0.024087673285047437,0.01741820130659411,0.026492946437616724
18,e54638eb-8b35-4cf1-af4e-3411dfbd1ba2.FPKM.txt.gz,0.009473696739503528,0.012593323037637452,0.01289898300788073,0.00020590118839853026,1.7122188558260107e-05,0.005655907120899262,0.10665843957685993,0.007794263807532774,0.03935010398935869,0.25709400411771466,0.003311120192357392,0.006495748443275882,0.02245932919537165,0.015011335301089267,0.0067841443723343385,0.009637976048180806,0.006736727494041629,0.006289269466351532,0.007026719516053566,0.0019050645088637653,0.05481756286255585,0.0036565078411031566,0.00646362563161556,0.004683145384489323,0.0008176622765510326,0.005011899040294399,0.014940724807788878,0.21900648668952655,0.0025686936443552726,0.057277784613801806,2.400235588522692e-05,0.00533815430039653,0.018875893923123215,0.009840875071244745,0.008139717288436987,0.006067755642135583,0.03733460489567912,0.0077357244187529215
19,c8c58445-3c7f-4c98-85b0-6a707c3d8473.FPKM.txt.gz,0.03269287462693736,0.030919251863739585,0.11517086172001077,0.0031119101850804395,5.4556823266955446e-05,0.03422144744759279,0.01747588981155961,0.030777903016693666,0.039222574652740386,0.004332879663001859,0.028266606501077277,0.02512224148933894,0.030222679627029295,0.0270819774539202,0.022431002792746135,0.023423778839121914,0.027791771472002656,0.03136856145447444,0.03148337578937027,0.011263116716413136,0.030244144259517283,0.02514955991649766,0.030179384278609812,0.03273521329434823,0.005201168412259549,0.03372075689481285,0.018683243182052844,0.02788542377439371,0.0065408112156527375,0.03068626683821266,0.00013804773348156257,0.03390835418521607,0.029585753837118,0.010961165556595535,0.027305249483033648,0.0326654403591214,0.029117668082104177,0.028857086750854466
