i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54
10,c56cda8a-0755-4715-9c46-5bc6280a5bf0.FPKM.txt.gz,0.020895694711096608,0.014265626449034651,0.01630988927120194,0.014577397587721082,4.0713507375535576e-05,0.012524446071469634,0.018129664369075246,0.010961853395335118,0.009914002131610318,0.04461669266925445,0.012397687153863983,0.09242142059769472,0.012650029993550346,0.005627001724509567,0.013696007411931095,0.010880409714227022,0.012601395588455728,0.011550342890588644,0.018266599103706694,0.0014371129671935092,0.014292320790793735,0.0012597505913364967,0.0165652969802751,0.008174455255491809,0.01962309841126856,0.014084121301187564,0.01788175276019211,0.0036510964946730277,0.09022672566707604,0.02062751918000546,0.05688485138436521,0.011028702265759006,0.08446152604143313,0.020220265567658727,0.006713527236495334,0.008552748429676653,0.008845959555190165,0.012123880990639485,0.015517163679877762,7.897498776776985e-05,0.012835222114584632,0.006860880809474879,0.02755271016753485,0.016506266685542156,0.019565485520959432,0.008687009955613834,0.018786179136558785,0.038079276902717486,0.0099168498658273,5.964035322170306e-05,0.01608345740949093,0.012809805255509572,0.00824776462410208,0.01943172631880319
11,8970e6da-5904-483d-8770-0ede67f98cf4.FPKM.txt.gz,0.02234171297379879,0.012586343316816495,0.08461138173774514,0.016397658389945658,4.2880721149997116e-05,0.012861924661585795,0.014855146023330578,0.015075325469550845,0.02912831764880063,0.0017311232792846883,0.015875882832097555,0.008616123652861619,0.009985429820055413,0.006563470457280195,0.02821391046522984,0.008556873884106845,0.020496605246021343,0.02357682889154206,0.019824811725423268,0.011856373262715906,0.024466898617249853,0.015211000899523734,0.018902012310364993,0.016379482325324622,0.010503751199030225,0.026697280179657456,0.010875090725045862,0.008150908621424096,0.007091965526621792,0.022155661955161752,0.003998702417934855,0.029214075899872786,0.01434016692022796,0.024269627855104378,0.008453369970932005,0.014574004566563627,0.014953153161392606,0.011300664921408993,0.01599258070807553,0.00010068231489924138,0.021949622968185225,0.010345786787571342,0.014164783439349644,0.01704175749369846,0.02915319773665708,0.017689437015994472,0.024000003342595642,0.014425059255205456,0.01522362878813497,8.059531002765605e-05,0.027627034303919846,0.026840694815293407,0.015483406684577665,0.10514578650363038
12,74dfc8ec-405b-4ffa-a282-daac57bf4d01.FPKM.txt.gz,0.01377912785240027,0.023738907427818857,0.004223450209957811,0.01470729089584707,0.00032090245571617484,0.02594569878304727,0.01395021782253261,0.02784099390316444,0.01444577450113991,0.014391112301863587,0.0252470363442388,0.0009698797371248593,0.01560434710419452,0.004244794262573262,0.017077933523755813,0.02418472000353179,0.019813839197334322,0.026489446548818442,0.01602603997807205,0.04056837375330767,0.021144813545611145,0.0007244903884420449,0.018847424627343266,0.03119119856190044,0.012755889149108404,0.025098528434210086,0.01434768018555854,0.06388662748642158,0.002726652979454637,0.01265953836935254,0.014928427104474899,0.02599971294794817,0.004111981148371136,0.012117843278440971,0.02142099239559748,0.04633928575968898,0.03261285756424299,0.02838106395356179,0.022088202144612785,0.0006154438103128954,0.019791468517394457,0.03920917864617072,0.00490366129458991,0.017069993224923023,0.008947009677212734,0.0460666450126906,0.018054185988337062,0.0025977292643697063,0.004523989582458712,0.0004978005612908361,0.025113028514719457,0.018689343761133723,0.03641514858741198,0.0025522769262024806
13,ec27c2ca-312a-4e06-bc8f-ca8cb085ab3e.FPKM.txt.gz,0.007337641524465658,0.005878958709318329,0.0038349909417142287,0.0071984031058110074,3.319515439723236e-05,0.006761421826164191,0.005618596924770865,0.0076846028815504355,0.007046770955847139,0.0011250861449714797,0.007455108481516275,0.0003486421244977964,0.004893599743376706,0.0006155925778751526,0.007748831473315287,0.005025045017893148,0.00745746834709269,0.0074161013418470815,0.006615831625087571,0.6740349080954481,0.008418357185717193,0.0076459512332608046,0.007703091599527599,0.007804781682908238,0.004258612834157644,0.008758804170725432,0.004678566579612216,0.03379721366897959,0.0008209507782606419,0.007637989851081401,0.002120432861441656,0.01142728905303212,0.0024197433513573068,0.007599099927547634,0.006870451694404146,0.007196931679716297,0.0069026175416732225,0.005238065324542819,0.006910626532875075,4.87262864659302e-05,0.007744673506149352,0.00613377753052173,0.0021946424753084065,0.007423988610373842,0.005914072788459711,0.007636183104924138,0.007543985504349179,0.0012946401293025532,0.0033588622941032207,4.3444066752772465e-05,0.009738035985733771,0.008070297221243944,0.007478196422305576,0.003036099526224207
14,78e16228-2d9f-4e19-bbd2-b0bb85e8faa2.FPKM.txt.gz,0.024192161559766855,0.02008629103609983,0.01147997365107481,0.02246358780222772,0.00012955896236066096,0.020564145835303922,0.01706669632984118,0.02491798566091848,0.033823178965619406,0.0015538492882548162,0.024014767244810418,0.0018146041638514702,0.010630622954615265,0.006996293126600036,0.024927989636330534,0.014777657482287203,0.024895412007410234,0.027996620140007675,0.01927636035833002,0.013047862343580586,0.024851397711893427,0.010620096886534642,0.026614325884527636,0.02513349989484123,0.011610096290778981,0.027639936332062544,0.012306546581348414,0.013267008172811796,0.002899638088192915,0.019708680187870125,0.004080400093057385,0.047675426687113776,0.006089967460200251,0.024356804674313334,0.01954391631831669,0.02561594557696401,0.023771143050471892,0.015822364969702695,0.020316385821004427,0.0002701061516653211,0.02569926931626094,0.019966093383902206,0.015621324639460183,0.017834664674936888,0.02480605465877112,0.031528492395543874,0.030345044521959078,0.003571898045077533,0.027410438937064966,0.00022929771211915805,0.037052762667033175,0.023003271058163716,0.025518710815294565,0.010563371791449994
15,512b0f65-4ee9-4d01-b453-075499fe9d83.FPKM.txt.gz,0.026586153986603224,0.017036567131205126,0.044070493813406574,0.015122138989253478,3.2734202272195414e-05,0.013981893355186924,0.022656966805934535,0.016305699955342628,0.018336928966536565,0.0013070496478302276,0.012199946890934786,0.01649119475080163,0.010945190699876544,0.009341468918234959,0.01962177409542369,0.009987478792487122,0.017118661498024615,0.02129342805135729,0.020693405591814127,0.0306146030359744,0.0196571264199849,0.0018522892944589872,0.022669658271200578,0.012054467433013895,0.014903218519746277,0.01699136710677491,0.016803547918647743,0.008826463566208436,0.008666526754424659,0.02358036823701116,0.011714534390024746,0.018793145290391253,0.01575243474776243,0.03060069055109317,0.011212741418836304,0.011952662899809686,0.014063932633093947,0.011875960097608421,0.016617613677920286,5.321932417248268e-05,0.020921562027003435,0.009553618229775287,0.08558939406464326,0.014950727067411166,0.039093406358725234,0.013258852144285072,0.03155467518176145,0.014960674238300768,0.02077169575933351,4.200872815105955e-05,0.019063779912568322,0.016883248206930032,0.011160457884918623,0.06981015246550797
16,6632e6de-5170-4096-a298-078b6bfd3760.FPKM.txt.gz,0.02009524285848848,0.019729006947063615,0.023311575251992615,0.024134298811452747,3.3986558967424514e-05,0.021927568998623605,0.022428048503971166,0.024353277743611113,0.019628256191503136,0.009502231280080578,0.020758553975159924,0.02221997057836016,0.051474548350649386,0.002905214592067457,0.015500476540855167,0.02504785965996153,0.019282276751301213,0.018996084686008347,0.019516501542053328,0.0049201995186586075,0.02324058008301548,0.0006154694081713752,0.016677214961044327,0.022647793616658297,0.02495689956926946,0.020509846053234224,0.01621922760458353,0.037168252305427196,0.017307019603999472,0.023096233903143863,0.006789931575497311,0.013765294994115666,0.02497858494705091,0.019311376832889644,0.015568867656121033,0.029017393338011135,0.023831487858117995,0.02608997394406227,0.020506728218968793,5.721043458138171e-05,0.01851424118586334,0.03222136377845127,0.013594181928901874,0.018011231272503703,0.014977635370738011,0.016844552153186868,0.0186776333700145,0.01392989779499368,0.008503031153522241,4.2822330579787405e-05,0.017329948715850172,0.01496880928896371,0.027487128239180526,0.016776957168457212
17,b44cdb13-1812-4bf6-825e-edae5bc5376a.FPKM.txt.gz,0.01635518722664151,0.01595138807632708,0.004583079609944783,0.013743213091398388,6.773545354871971e-05,0.018287165186646522,0.019953895238251286,0.013381458805349083,0.003755588893870287,0.008958726034261871,0.01349677174157511,0.04841527085614551,0.04572697303417936,0.0014451524025766017,0.008335919121712157,0.02912379208352061,0.010511769204168254,0.0097864686646129,0.01875656386363919,0.001195977639971882,0.011535505952662678,0.00016700179187788042,0.012805186759891942,0.010084245495681807,0.0416420980709795,0.008530326710755544,0.028765326893020905,0.006534244166420457,0.040827028345603866,0.019238019281989836,0.045899752685399586,0.005739973635890197,0.10536928394800563,0.014217482824621817,0.0103125161362142,0.012906483193145928,0.013473773261646758,0.02208486699809817,0.01896124837040418,0.00011786815272717423,0.009721956145024583,0.011928911369368977,0.009782046933214923,0.017550083650798586,0.007700739827121914,0.00770854644562481,0.010590316692863803,0.15320550998338808,0.004468641418002145,8.787451251174307e-05,0.010453638835992467,0.00858708510522729,0.01099203230438556,0.0061782878730959594
18,e54638eb-8b35-4cf1-af4e-3411dfbd1ba2.FPKM.txt.gz,0.005050317447681651,0.0073553496309546685,0.010043435683423507,0.00873170916181575,1.2647981610717251e-05,0.006146976331438787,0.0050947556602349755,0.007182668279871442,0.010750083426948545,0.00943611933439379,0.004313981398550279,0.0005098362598348142,0.013283744938305975,0.0021261826247150023,0.004904213129986366,0.00525804560426815,0.005003582786341698,0.0047451520419251525,0.004489127979596253,0.0016296979492884172,0.0070201542336522866,0.0001703823159548423,0.004370576344361432,0.0062910426703171205,0.005723971442335809,0.00403478345663061,0.004544547279493114,0.021101408514555255,0.001387340097851767,0.0075426531133053285,0.6981351170433302,0.004090316839998811,0.0027618549929876407,0.005686061336533412,0.00551882598646059,0.0062720021552895204,0.006629345089378696,0.007370700383899798,0.005362297663546821,1.3801038463082226e-05,0.004373372047287028,0.007557128273532219,0.0036357520550296036,0.004024448734986595,0.0041505875233220765,0.0038447027470254634,0.004961282985910613,0.0010017617826713313,0.013913372106983627,1.3071067664232874e-05,0.004893707483730276,0.004739855089015759,0.006878499107169161,0.01591764934613985
19,c8c58445-3c7f-4c98-85b0-6a707c3d8473.FPKM.txt.gz,0.02289155588078153,0.021275835285516038,0.08029597534565791,0.020059372579519917,4.531198659601317e-05,0.021781551011404967,0.024611011957041903,0.0251239655973114,0.026361898864028337,0.002872699386119969,0.020505266211700436,0.003750021956644865,0.021111079467393153,0.003964262455815487,0.01648621120158755,0.017410011597852798,0.020697363297782722,0.02206122406424477,0.022716612078475838,0.006501844735869538,0.022939327751028946,0.0024136550935031573,0.02127998246477044,0.022340885120968587,0.01715572154343018,0.021245925549549703,0.015772403648276544,0.014795579508819658,0.00565147357684192,0.024320395741003472,0.005740902570403324,0.024187525106436406,0.014588361951326064,0.02021210399811799,0.01579967472851113,0.02259815863980056,0.022719647873480762,0.02198814712195845,0.022238786124800045,9.645138126931546e-05,0.019916119542564916,0.020425243274276098,0.009557531949178093,0.019604118470057278,0.014060000677301334,0.021469031612378838,0.023984217077019514,0.006560259665929871,0.012049215436103464,6.744446552546772e-05,0.025927919550206683,0.015951623949607585,0.020569430759513622,0.051249659114695506
