i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4
46,f790ef4c-71bf-43a7-a610-4006a4c0a42c.FPKM.txt.gz,0.2193819899857432,0.6074946877042193,0.1715198921934919,0.001603430116545638
47,ee6beadb-79ab-4f2f-87cc-bba566e6bc24.FPKM.txt.gz,0.1504198779056875,0.6670308981522738,0.17129977719089828,0.01124944675114043
48,0d38dab7-b983-4829-9a5b-d79f0fee6f26.FPKM.txt.gz,0.26385757296980483,0.18426068996645945,0.5109760799855233,0.04090565707821246
49,ba65f95e-4a58-4378-925b-60f864c4f5de.FPKM.txt.gz,0.29304336271231013,0.23303606482372513,0.47286210847604976,0.001058463987914933
50,0b5a79f8-be5b-4b72-b5e9-a764a70b2b38.FPKM.txt.gz,0.3636681005427659,0.4299201811532662,0.20457729780988418,0.00183442049408385
51,6f618400-b914-4103-bf46-9c026b470aa0.FPKM.txt.gz,0.3385545385042354,0.33216129398028993,0.31219457439641946,0.017089593119055134
52,609420eb-0650-4187-8b48-cb1ea5fa0d8d.FPKM.txt.gz,0.2532732481517058,0.20620898440774818,0.5390043008263444,0.0015134666142015464
53,05eb3daf-d392-4ede-87d6-8f0aef8b6372.FPKM.txt.gz,0.3712498733750417,0.12042805586920487,0.5065960882386404,0.0017259825171129825
54,27035d6f-4b2d-48ef-ae2b-b3cf52d67903.FPKM.txt.gz,0.18978796237181056,0.13975684360338242,0.444742289661919,0.22571290436288793
55,133909c8-05bc-41ea-97aa-44eb699da75f.FPKM.txt.gz,0.6687398181764779,0.15984835608348336,0.17051979457516067,0.0008920311648780801
56,4dcd18d6-b7b2-4a92-bcbe-361c7278e84e.FPKM.txt.gz,0.23359262214551182,0.17698007164451707,0.5877405412004149,0.001686765009556252
57,26bfd2ed-0d81-48ae-afd5-cf61b249bc14.FPKM.txt.gz,0.1851106497681308,0.275289841686594,0.5362834554410005,0.003316053104274701
58,9ae1330c-a197-416a-9d5f-3ca16b36ec90.FPKM.txt.gz,0.3091799800167598,0.44108948512029295,0.24810031845131048,0.001630216411636868
59,4f6e9a85-31c9-468b-b121-1e235f159010.FPKM.txt.gz,0.29941594762329715,0.3278117063911026,0.37142421300886536,0.0013481329767349934
60,bf78430f-6c70-4e76-ade6-a434e0770d5f.FPKM.txt.gz,0.4384700117697639,0.28342045432269525,0.27693318290837887,0.0011763509991620062
61,8ddc8e8b-d131-4f4e-96ec-078ced613de6.FPKM.txt.gz,0.32899583968049867,0.5341740189856098,0.13460897800006824,0.0022211633338233435
62,ffd7b10e-8c0c-4aeb-81a0-b060108d57fa.FPKM.txt.gz,0.2468406211867159,0.18521471464521397,0.5335274165853386,0.034417247582731444
63,6f2d3476-cfb8-4e9e-abd0-266cc679d0df.FPKM.txt.gz,0.824273144041236,0.1647134750067407,0.010877190360510216,0.00013619059151309665
64,26e8feed-d934-4dbc-8b04-d771b2a65915.FPKM.txt.gz,0.2113766342681694,0.22512614068060366,0.5534041957527636,0.010093029298463469
65,fe07bbb2-6d46-44b4-8363-1e1b8d648660.FPKM.txt.gz,0.32599103884120467,0.2401908668673243,0.4313079730073448,0.002510121284126177
66,fd3c752c-4a40-4ae9-bfb0-b0315eca3d1d.FPKM.txt.gz,0.2754869287337905,0.3663717604085528,0.3518628355335868,0.006278475324069859
67,053e76fc-4063-4039-9bac-bfbe73929d0e.FPKM.txt.gz,0.2978607820103791,0.3664974697638956,0.304853073182418,0.030788675043307248
68,ee7d6b4b-a341-4a9b-9a3a-38526e749cdd.FPKM.txt.gz,0.4106889899012753,0.3942248373346137,0.1936091562034274,0.0014770165606836148
69,7e89a428-9132-4efa-b119-10241f0ecdcc.FPKM.txt.gz,0.28541582551806755,0.3155753436864797,0.3968681341641985,0.0021406966312541346
70,148d950b-4202-4f3f-be15-84735cd08a48.FPKM.txt.gz,0.5946081541782977,0.30634147758729535,0.09861463270285414,0.0004357355315528074
71,648e4d91-e53f-47c8-b343-e224d2a72956.FPKM.txt.gz,0.3051063048970742,0.4114637641802848,0.2810475415377338,0.0023823893849072683
72,aa42dd76-efb1-4fb7-9922-cf54540844e7.FPKM.txt.gz,0.39424470789730226,0.4211447361780803,0.18322969572248865,0.001380860202128642
73,c1f0e689-1d11-4f7d-8386-616efe367e52.FPKM.txt.gz,0.3134941398810761,0.4138086683994484,0.27048010867873357,0.0022170830407418525
74,d4675ebb-2444-4e2f-ade2-5c5af9882399.FPKM.txt.gz,0.4956149582025718,0.3941195403105313,0.10934783102924805,0.0009176704576489708
75,900a1913-f3b7-46ca-88be-c180a5fb5265.FPKM.txt.gz,0.3572357518684231,0.27591528389794184,0.3646970506225763,0.002151913611058788
76,21feac5d-641f-4802-a910-51b73431de3c.FPKM.txt.gz,0.28500301849248355,0.4510025486482538,0.2597135633599298,0.004280869499332824
77,07858399-2ec0-4d01-b197-b362873e56a8.FPKM.txt.gz,0.6081488198539547,0.3239991289564777,0.0665709797951024,0.0012810713944651766
78,0827bd64-de4e-45bc-9e75-a9bdce41f4a5.FPKM.txt.gz,0.6059150524846415,0.27384593366995336,0.1195633054050446,0.0006757084403604704
79,999edb9e-8a45-4115-84d5-fca75dcfa639.FPKM.txt.gz,0.2715420550183888,0.3179030793173643,0.40887939258075995,0.001675473083487001
80,23393a6a-bfbc-4dec-9ab5-e78a487a095f.FPKM.txt.gz,0.31868051660555596,0.39086042299681956,0.2883824145869083,0.0020766458107161594
81,4a9bb3fd-4e75-4585-82f7-7254889b9838.FPKM.txt.gz,0.2813889025696038,0.24746030343283817,0.4696843138552232,0.0014664801423348115
82,22c16f46-950f-4389-bb16-b5cec4d8b94e.FPKM.txt.gz,0.28665026067726607,0.3980026579422669,0.31231258241377846,0.0030344989666886554
83,90d19c5c-f80b-454b-b776-99d13f01617e.FPKM.txt.gz,0.2721511664395036,0.2151241662360842,0.4458050913999263,0.06691957592448576
84,c443bbe4-b053-47fa-a7a9-97457e44e2a0.FPKM.txt.gz,0.3843714304107191,0.2425169064974988,0.36994597384283057,0.0031656892489512764
85,7bcc02ad-a4c7-44e1-8654-10c4598f936d.FPKM.txt.gz,0.0023438118774832557,0.0018217746037122503,0.004332041520014133,0.9915023719987904
86,acf02cd5-270d-40c0-864d-abebe048f309.FPKM.txt.gz,0.2338172062801415,0.2609781763062876,0.3588155187615997,0.14638909865197114
87,bdc7d527-3905-4905-b245-b282883ea3a6.FPKM.txt.gz,0.2820070109972988,0.28495288731708973,0.398623872342157,0.03441622934345452
88,f31566a9-ffde-40fa-b879-71827a3540a9.FPKM.txt.gz,0.32892227416919056,0.16097880324656555,0.5047474318510808,0.005351490733163021
89,e1f960fc-6efa-4492-9f44-8e645ec8bfc2.FPKM.txt.gz,0.21550947413649485,0.2950352144270995,0.3399526117935909,0.14950269964281473
90,3ec6ccd2-6cd9-4094-8a3d-98ae065ff95c.FPKM.txt.gz,0.32532946135362206,0.3337867074336929,0.33844481182330793,0.0024390193893768742
91,552e9a21-3493-4567-8d55-40e7f8009a5f.FPKM.txt.gz,0.32073233380426325,0.28447443192242167,0.3930580211616977,0.0017352131116174254
92,471d762f-bd20-4665-9e2f-cc7ce8f94001.FPKM.txt.gz,0.4455195835445602,0.390670927887971,0.1630392430328289,0.0007702455346398046
93,90c4dd6e-a5cd-44fb-ad0c-8a27d88429c5.FPKM.txt.gz,0.3256715353545483,0.2946241356710201,0.3783949544844588,0.0013093744899728484
94,e1557786-4586-409f-9c5a-a559535f0aa0.FPKM.txt.gz,0.3243880744233448,0.23624449434804995,0.43799923749537895,0.0013681937332263644
95,5d6adefb-ceda-4ef2-a6b9-8077fd618ae6.FPKM.txt.gz,0.32054294205311207,0.2412300469831023,0.43598275724377966,0.0022442537200057988
96,5c006621-470c-4d58-9c59-804988b955d9.FPKM.txt.gz,0.2597786213515493,0.2613910852525325,0.35006280643225557,0.1287674869636625
97,5ec8fcf2-85bc-4c30-9329-62b1cc47b67f.FPKM.txt.gz,0.4675093453472401,0.4456822390446191,0.08619045485778622,0.0006179607503545112
98,ec83d8bd-7f42-4be1-aa49-18b436bf7cce.FPKM.txt.gz,0.3208837871967575,0.3862225273225434,0.2907865858884784,0.0021070995922206717
99,deaa56c1-8031-4c65-b3bc-1228407e06ea.FPKM.txt.gz,0.21019823540307236,0.4759407613013926,0.30590693136277475,0.007954071932760225
100,7bda3c7f-9e51-4e8a-9398-e9dc1dee8c62.FPKM.txt.gz,0.4041487018832786,0.42346097146197004,0.17180320058071166,0.0005871260740396882
101,b73518ee-287c-4130-9da2-61772aa195fc.FPKM.txt.gz,0.27365417215696863,0.42020104546657944,0.3000244157794085,0.006120366597043404
102,fa49537b-edee-4d4f-823d-b6c574d33900.FPKM.txt.gz,0.19040602898073855,0.41400698045116113,0.32400230455746715,0.07158468601063323
103,6cef5fb7-2c60-4ece-87e8-4acff9374fb2.FPKM.txt.gz,0.31998685847114383,0.36014199674062636,0.3173929965489533,0.0024781482392763642
104,2b5c518f-8327-478a-a282-01bfe59aca4c.FPKM.txt.gz,0.5088324257835284,0.15690307750401794,0.3321883031809459,0.0020761935315078903
105,52fe6ec2-36d3-413b-81c7-b79870d74450.FPKM.txt.gz,0.38921547578928484,0.5743279356626213,0.03223562030636739,0.004220968241726461
106,906456e9-96d6-4be0-9d61-73647f6684d9.FPKM.txt.gz,0.2606318988061708,0.20274388234906668,0.4323387908427866,0.1042854280019759
107,e26f2b4a-ca55-4a0c-b8e7-4f1e21aa6dae.FPKM.txt.gz,0.27100938893400267,0.3963731917382613,0.3310555361403345,0.0015618831874015103
108,e740e34f-31fe-4fe4-8965-4e9ec5ec50fd.FPKM.txt.gz,0.09659703843066615,0.19588529694150436,0.706142220779868,0.0013754438479616558
109,98da76dd-0fb5-4313-a277-a122c205e843.FPKM.txt.gz,0.3298060507424029,0.2945698220078274,0.37263853282506837,0.002985594424701398
110,3f500570-271f-4da1-90d5-d60f353521e1.FPKM.txt.gz,0.26425402266810305,0.3073914142874094,0.4255455704432828,0.0028089926012046774
111,0632152a-63d4-422f-a105-de29b83e3523.FPKM.txt.gz,0.32046828729193855,0.41888691191207233,0.2595748125623796,0.0010699882336093973
112,944b1e8d-7219-40a4-ab27-385192062cbf.FPKM.txt.gz,0.42072150793762747,0.3734705029836541,0.20480363666455953,0.0010043524141588852
113,019a5486-ad80-44b4-a9e3-7e7f93e8e6fa.FPKM.txt.gz,0.20049291000018601,0.14430307931281575,0.6515808888192881,0.003623121867710053
114,1294d2f0-3a01-45b8-9e18-f5da4fbe8223.FPKM.txt.gz,0.27848001451171533,0.3372861949457317,0.3768144233289472,0.007419367213605893
115,f5e4c398-d9db-4cd0-bd12-3751a624d377.FPKM.txt.gz,0.2783514192039389,0.30681555273886524,0.41050599994967885,0.004327028107516972
116,ea1b4005-545a-4fa3-a3d7-a2dbd1bcc744.FPKM.txt.gz,0.41829253226700425,0.3199089154168794,0.26078555145465815,0.0010130008614582604
117,a4c7b6e8-ed30-42b2-9daa-0cf0b9d59259.FPKM.txt.gz,0.7647695581763931,0.20271006167774316,0.03191690065593948,0.0006034794899242764
118,d65401e7-2bde-4b7e-b901-c173dd3cd33d.FPKM.txt.gz,0.4386589652266662,0.3308292906027005,0.22932871534324353,0.0011830288273897644
119,4b19c0e2-2a61-4f0a-9257-4a528e6b320e.FPKM.txt.gz,0.5416915278037057,0.35515371523985156,0.10200318676072233,0.0011515701957203848
120,7acdfb7e-882e-43cb-a449-e1bff9869637.FPKM.txt.gz,0.17974713528173347,0.16643600357300842,0.22342866821995389,0.43038819292530417
121,c22879b5-4183-4c3c-804b-f6cef1df617e.FPKM.txt.gz,0.0003693027164869322,0.00030134949095199674,0.0005764733948783495,0.9987528743976827
