i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29
10,c56cda8a-0755-4715-9c46-5bc6280a5bf0.FPKM.txt.gz,0.05552924160131676,0.024586439972237403,0.02811954137784524,0.06588174818938106,9.019411692222162e-05,0.021052995528568496,0.021907208652255906,0.012742469221348399,0.04297934828632936,0.08440899659156294,0.01722303907941807,0.03172703835721717,0.01774979607744895,0.034297322375313875,0.010974734294439056,0.022487960836952016,0.025038680585404,0.017849184870476213,0.028066647438047147,0.004134331126328135,0.032405074989819024,0.017664614085870937,0.03138891827495562,0.0024998673213455823,0.03671958830608315,0.02251620552631593,0.04192471906964121,0.04934902405269592,0.1986850697944602
11,8970e6da-5904-483d-8770-0ede67f98cf4.FPKM.txt.gz,0.042063522369309644,0.029158029341641592,0.14924585258758274,0.02924747497576564,0.00011194696351649747,0.023267410366319487,0.023608704299431876,0.022987832277310473,0.10272300302948371,0.004248663027253907,0.03631302803092356,0.0279125877014308,0.018872219416474226,0.02070564722363486,0.025074895521818227,0.016475028605182546,0.033409429058890085,0.04194580219858338,0.03324431204975506,0.026004335700652463,0.06718542724391117,0.05102260430126698,0.028162141569821973,0.02129377244078759,0.02064671020984544,0.045516968922316166,0.027475195532760514,0.012483075312124371,0.019594379722204954
12,74dfc8ec-405b-4ffa-a282-daac57bf4d01.FPKM.txt.gz,0.012505672369526318,0.04770909259111202,0.006014256950878422,0.01530075803521303,0.0013341706729772013,0.0361181321359823,0.020755781650143593,0.0841924733742341,0.011660710477768546,0.020928313457406325,0.07656404192298652,0.032377436925336796,0.04176420498459726,0.02834474117285915,0.013665992072903388,0.04587606151072372,0.03716346697403024,0.0720887903812892,0.03838818100366856,0.11264677683961545,0.03189457609297785,0.043930473488747505,0.03229948814855546,0.0027992545002512915,0.027987402265140057,0.06688494457773247,0.01783645976101398,0.01887154080724982,0.002096804855079252
13,ec27c2ca-312a-4e06-bc8f-ca8cb085ab3e.FPKM.txt.gz,0.007874083749104439,0.011006531376344863,0.005672097649226491,0.007814591197502633,4.9794696766206877e-05,0.01243299501206741,0.008562937661533225,0.014252964667192636,0.010025609775692315,0.002250123752571209,0.01527587833291904,0.013719019177288204,0.008632030586353347,0.00832477719068288,0.0040221667701475245,0.008134559844832124,0.011918406289712403,0.014054984750079632,0.01164892154299643,0.7341071593260119,0.014348511133645284,0.016138659086669296,0.011180396988937826,0.011578385274132987,0.008040891200172944,0.01556754635770687,0.007776925673002715,0.0050260122089866854,0.0005630387277200567
14,78e16228-2d9f-4e19-bbd2-b0bb85e8faa2.FPKM.txt.gz,0.03805887958959782,0.04724111543276523,0.018624143051953937,0.024441463813627266,0.0005127205098808254,0.03785836748077973,0.050296586593931145,0.04570090121405675,0.04257889571972581,0.004060251100416981,0.06926086212634718,0.04088614853751053,0.02284171104827613,0.026414375559978494,0.025205436201435023,0.026949986985454227,0.041270995527781316,0.06448498967108882,0.03684162610084225,0.03402468943779516,0.051889851717564946,0.06836659367100345,0.04131887278883948,0.01920099040039458,0.02550360536822653,0.0623887128152678,0.02288890896785052,0.007508187822087095,0.003380130745521026
15,512b0f65-4ee9-4d01-b453-075499fe9d83.FPKM.txt.gz,0.10255930764724683,0.03560403301555227,0.07551710365103054,0.03809135570377219,4.654549592467049e-05,0.028580579913848766,0.03018307580595773,0.019857439186483566,0.12465851656760026,0.004362871689020925,0.020679060876513902,0.03059903294663088,0.01757577156642832,0.02831214503323257,0.024128870108928148,0.019548804463279765,0.027625974440774956,0.03243837372881782,0.03148709111794279,0.04293436441770153,0.04839787293911527,0.02892497396562757,0.039556103035236156,0.0035475153533185717,0.029466707489205737,0.026819076525781693,0.04569500309695192,0.013361539930568055,0.02944089028750683
16,6632e6de-5170-4096-a298-078b6bfd3760.FPKM.txt.gz,0.02777012766421976,0.03624171927882501,0.03508701248245766,0.05002593203790791,5.741618422998577e-05,0.032360475851009186,0.023026468740389803,0.0597650561228907,0.02899013724764822,0.013735790358678342,0.034587554534295725,0.045931678101278295,0.10154403306183646,0.03742275117936259,0.010424271024262922,0.047003120187553794,0.04128573865414654,0.03633162338897967,0.037074532038393976,0.018523101597110167,0.0361761086852806,0.028182603197621378,0.031681999217854036,0.0020032146574636726,0.043194183423100316,0.04025604277041801,0.026097842628067306,0.04018432987374376,0.035035135810974234
17,b44cdb13-1812-4bf6-825e-edae5bc5376a.FPKM.txt.gz,0.024014507428538123,0.02196047176621245,0.009085783755265647,0.0769544591432359,0.00017144898011007607,0.025907715779666763,0.01630897282851989,0.019231553922847564,0.01096014956798224,0.022313147257015366,0.013572304256821011,0.040148059066629355,0.05365896304663165,0.04530485558415128,0.004017821258974213,0.05799282592600018,0.025572727294989564,0.015381492576352336,0.03165432640700869,0.003629114721173273,0.015845932069647628,0.010850319503879463,0.02778212418820452,0.0006030379581383431,0.06230666852460016,0.014328230585263276,0.044500958786620526,0.14907365413042117,0.15686837368509926
18,e54638eb-8b35-4cf1-af4e-3411dfbd1ba2.FPKM.txt.gz,0.008457997088531446,0.008583779720708654,0.02029900363126113,0.009261985426549206,1.9644795991922346e-05,0.010019153635040186,0.01517073376172216,0.011301274353040493,0.02054932913896052,0.0069067932847060665,0.0051650072877485916,0.00787823836019118,0.016747346874765087,0.00976396197948774,0.0048529478208518915,0.007970176120717942,0.008251964165207525,0.007601260689106197,0.007567961157637129,0.0037915268608829126,0.010206267277695153,0.009420650221665914,0.006863856164215222,0.0005087226063637476,0.008972553505724045,0.005637224815349756,0.01197083734075681,0.7557445215755365,0.0005152803395850047
19,c8c58445-3c7f-4c98-85b0-6a707c3d8473.FPKM.txt.gz,0.027141575554611174,0.041917971147008314,0.12335566517699081,0.036215864094627834,0.00010742373989146523,0.03641410218679851,0.029957527587623725,0.04434583329597327,0.0429545376156206,0.006911956950537181,0.03953429377789155,0.04736869772049257,0.03941779430984479,0.03606338611305942,0.014347134024303407,0.03264699395600624,0.03932948604124573,0.044551835247199745,0.043867521329108705,0.01959606780788309,0.0413717905685228,0.040017612103406444,0.037609129235494684,0.005514375277665225,0.03238860282527563,0.04193589863768225,0.027471568702843632,0.020892850570705654,0.006752504401685654
20,c3ed7c7a-b80a-4de2-8dfb-b60bcf336375.FPKM.txt.gz,0.06002749782248163,0.024603846188064018,0.13701504246526644,0.025284956837216467,0.00019178077574161616,0.029727624621968474,0.024955140174236445,0.015302612877677894,0.08452019462028162,0.017055501119524627,0.022260965919599546,0.023126001173590136,0.017134631837291955,0.029081350196346268,0.07085939548937513,0.019838294154713457,0.029445345515112326,0.02446706201757301,0.026694798715435647,0.00884292800797344,0.04746486686872522,0.033219522239979274,0.03349814032906485,0.04448052428242895,0.02593514881278553,0.026081019288250136,0.0595240111395295,0.0294145506700822,0.009947245839684362
21,24d7f10a-ac34-4f7e-8424-d2fc0d32ac58.FPKM.txt.gz,0.20120086743657692,0.034575212562245654,0.04660239668299121,0.04907382507909963,4.468679502484444e-05,0.015084905656882011,0.020683664610576427,0.019877141979233817,0.08397896381619223,0.0024917032741427285,0.018257290389696267,0.02004971273562448,0.01705975894300801,0.020142864162238323,0.018559655507219313,0.01285247768156211,0.01514593669916394,0.023667061911174233,0.01645779987144318,0.025035155601318724,0.02518817735931279,0.02726324195472934,0.022033070519665545,0.03887005655921879,0.029417919593014975,0.01938035440052479,0.02411664511313995,0.010720229962687094,0.1421692231422928
22,e6981360-42ea-402a-aead-f6f2b31ef30c.FPKM.txt.gz,0.0451620860911828,0.03965696243227946,0.13535893867492352,0.027876096725355716,0.000309399373026649,0.029996588700282593,0.023766316673757077,0.03787581988900437,0.061353613981277935,0.003095147179794392,0.044473702828810774,0.03046665555592612,0.020726436270625804,0.019944019153156564,0.012774954939807539,0.0202888497151149,0.03400847640255554,0.044694770034476375,0.028089110202527072,0.044899253782641195,0.036425989032459596,0.04298989439319764,0.025991702039173458,0.003760198219372791,0.02576547408168737,0.0443777326006526,0.020482895045083667,0.009787161142251342,0.08560175483959497
23,ad778372-ad13-4d11-ac15-900de7d9637a.FPKM.txt.gz,0.021357976024932272,0.03255287383385275,0.013194904206813216,0.044880092003816804,3.798999548291535e-05,0.04419599454332347,0.03488915528370613,0.034316228764416916,0.01374117981985614,0.019437487015063114,0.01753942724630003,0.04279598562392659,0.06411860854626092,0.0683538529866584,0.007103987449534527,0.08003329259702671,0.033266273898894465,0.0225957288783573,0.04394839357843623,0.006102135933611275,0.02275020390634513,0.01553636332064209,0.03942469811008588,0.0006051708216200382,0.06228430801067348,0.018020438193115676,0.08485449931364278,0.10629124034627355,0.005771509747330969
24,3067f41a-e3f1-47f5-9545-56d54fa75b98.FPKM.txt.gz,0.04753223220095466,0.03602920936598504,0.06412214561134941,0.043628848157586074,6.507992975496481e-05,0.028200129612564042,0.027658515204014477,0.02556669449183385,0.06157575187287688,0.005624448355992437,0.030550730033693005,0.03454941486853606,0.023148782300646705,0.028328020322715523,0.01951224083192406,0.023597302191203685,0.035789835359046875,0.04042041375270779,0.03918303991629494,0.011593024221582536,0.0496647932139356,0.04341176216649592,0.0332507159608661,0.006328906134969208,0.029489163010722092,0.03694194359991409,0.031051151155696045,0.019811270866814057,0.12337443528932412
25,63b48baa-7826-4b1e-ae67-7cdbd36a4e92.FPKM.txt.gz,0.01864916697421214,0.04325113427869111,0.004836850194013795,0.025671863463280088,8.587307121378992e-05,0.032372749561049415,0.025477910848269114,0.057084854910057735,0.03831813370593123,0.015331969033244743,0.07054122947334102,0.03784493657474851,0.034994688853536904,0.023964353842645593,0.007532040965501942,0.0298464120000525,0.08128509259328245,0.05573431505314804,0.04490241504609472,0.08721327461078932,0.03816186781755894,0.056568873101175934,0.027538459880742924,0.011643800526415076,0.025062480596886167,0.06361305309259137,0.012520878056839414,0.02061257959857625,0.00933874227610966
26,720b9121-0bc4-4ff8-8a36-f146fea4da3c.FPKM.txt.gz,0.06240849258552755,0.04796148422431232,0.024941333477745093,0.03078752837702661,4.0488853408661985e-05,0.028897687926160227,0.025447651728303076,0.04687381460748929,0.05885106929208298,0.004537288783674994,0.056168669162611526,0.03312224518380196,0.026088963915592907,0.027242043922944457,0.029396738405768275,0.020883268835226846,0.028466056118163083,0.05505281701372508,0.03466814073845965,0.07916192167559154,0.04112270833388008,0.06163605436436476,0.033531365956096314,0.02389779897838093,0.027403829461566095,0.04624977560028272,0.022834882547902394,0.010101002261374155,0.0122248776685365
27,2656413d-a5d2-4812-9ce9-a02c15ab04bd.FPKM.txt.gz,0.009511612202044674,0.010880218429519048,0.015410388463872611,0.009793119478546327,0.6963173703304106,0.013685163132796746,0.012588863717188767,0.007777367718491737,0.02160172286900147,0.0028632169009071926,0.0123396378471123,0.015843879935901833,0.007195933559575873,0.015902697364395788,0.002663423889952886,0.015608213616193616,0.014888108192048548,0.012570061401736218,0.011897225491281553,0.002571993624990374,0.015335823411411835,0.010451234082903244,0.01574749610193813,0.00031753275850732773,0.011958997075002222,0.012073982530059878,0.016282706025018197,0.005580049305873304,0.00034196054331762514
28,8e5a3c88-35f5-4620-86d7-53c014a2687b.FPKM.txt.gz,0.025448786655342007,0.033340378076515735,0.03722980739188116,0.03586320103631545,0.00034042724150443914,0.040543296159776164,0.030481658283450327,0.038651071474034834,0.030054320116857162,0.008246472235732235,0.06715976908816965,0.05843016024415265,0.04505050173156887,0.03566175413078612,0.010855024846038824,0.044807901497357756,0.057659156625217936,0.049880136764994136,0.046472467364934794,0.01138680925789016,0.048672861722711055,0.0348623098219009,0.04277897198548872,0.0074700557616092225,0.036562584371617655,0.06259913627298447,0.028299015273064568,0.02477138372470927,0.006420580843393707
29,915d5363-e343-4154-86cb-dbef1a586192.FPKM.txt.gz,0.015941420582834768,0.015263568943636834,0.004745396460818351,0.027641447783604313,0.002264637289697334,0.036260099413583484,0.021226150875968474,0.015140921809670528,0.005205385539776471,0.15347623628336127,0.011961595371143025,0.03228929578516885,0.04099629276226681,0.07284762675807202,0.009439453275351593,0.08219373760833215,0.03865335635155247,0.012665808160080118,0.031559538251131995,0.0032837408970393207,0.019258012559868826,0.016388872609101924,0.031144047537042693,0.0009270876647223356,0.05875412711286702,0.013085287049697957,0.11130836324593033,0.1133812487315375,0.0026972432861414103
30,7c4cee3c-a8d6-4016-84e3-106d18d1c2e8.FPKM.txt.gz,0.06607267021730409,0.032157727537551646,0.04525659203061275,0.027353176850979363,0.00011828195534529003,0.03536264109549807,0.027000315467279094,0.02132663867876195,0.07955083243544692,0.01904386732393913,0.02728020690668159,0.032160981947340676,0.0189864004789718,0.03460767704275234,0.06746657728947911,0.0247580298511712,0.03421246361633074,0.03223848451333924,0.03772404114649225,0.009383864346844226,0.0510651241501622,0.03841600160084229,0.04668939836906763,0.04352436083725683,0.029130248000489915,0.028927751846311488,0.05935187219444729,0.025681780575134077,0.005151991694166705
31,3ab61b3d-13bd-4fca-ac15-f70acbce447c.FPKM.txt.gz,0.024240837803173244,0.020635376645784145,0.010768726876331961,0.04433309353763844,3.475655372989534e-05,0.022633871134702863,0.029922194454612406,0.014219313917579161,0.013234915474787189,0.019004114048542665,0.012530257367208208,0.03159015898135954,0.027349549968427374,0.03457801817281105,0.004165706769362117,0.0352528873313198,0.01954764964704307,0.014777141751106563,0.02617810755108029,0.003120450684540906,0.016344091344044565,0.010017186950921778,0.026770333369443802,0.00048090371154977003,0.04326806283313678,0.013430737080563901,0.042134158242781126,0.05784601765415653,0.381591380142261
32,2d3e6de2-dc7c-4078-8d1c-aecac52b4a44.FPKM.txt.gz,0.01648447050574451,0.007683779117468409,0.7233924967810361,0.00881532172349847,0.00013361581277962145,0.012051955995326036,0.01002655656137603,0.003910535680512656,0.07388656385544125,0.0023850546549227278,0.004711733191162701,0.007127507044487716,0.004075238874736588,0.007137699026861468,0.009925031545948673,0.005257085744285547,0.007805600302493891,0.007021722856871684,0.007647479066428596,0.0017255004249788475,0.018384177174648065,0.006656153913522253,0.010347021823151751,0.0016194695922322902,0.007828682536843207,0.006800567219976509,0.018847975310539663,0.004884847304438961,0.0034261563582858117
