Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
,TCGA-49-6743-01A-11R-1858-07,TCGA-77-7337-11A-01R-2045-07,,
,TCGA-NJ-A7XG-01A-12R-A39D-07,TCGA-43-7658-11A-01R-2125-07,,
,TCGA-50-5066-01A-01R-1628-07,TCGA-56-8201-11A-01R-2247-07,,
,TCGA-49-4505-01A-01R-1206-07,TCGA-85-7710-11A-01R-2125-07,,
,TCGA-75-6211-01A-11R-1755-07,TCGA-56-7580-11A-01R-2045-07,,
,TCGA-50-5068-01A-01R-1628-07,TCGA-43-6647-11A-01R-1820-07,,
,TCGA-L9-A743-01A-43R-A39D-07,TCGA-90-6837-11A-01R-1949-07,,
,TCGA-97-A4M2-01A-12R-A24X-07,TCGA-56-8083-11A-01R-2247-07,,
,TCGA-44-5645-01A-01R-1628-07,TCGA-51-4079-11A-01R-1758-07,,
,TCGA-44-2661-01A-01R-1107-07,TCGA-56-7222-11A-01R-2045-07,,
,TCGA-55-8204-01A-11R-2241-07,TCGA-22-4593-11A-01R-1820-07,,
,TCGA-55-8511-01A-11R-2403-07,TCGA-51-4081-11A-01R-1758-07,,
,TCGA-44-5645-01A-01R-A278-07,TCGA-56-8309-11A-01R-2296-07,,
,TCGA-86-7713-01A-11R-2066-07,,,
,TCGA-69-7764-01A-11R-2170-07,,,
,TCGA-86-7954-01A-11R-2187-07,,,
,TCGA-86-8056-01A-11R-2241-07,,,
,TCGA-64-5815-01A-01R-1628-07,,,
,TCGA-44-3398-01A-01R-1107-07,,,
,TCGA-55-6970-01A-11R-1949-07,,,
,TCGA-64-1680-01A-02R-0946-07,,,
,TCGA-66-2744-01A-01R-0980-07,,,
,TCGA-85-7697-01A-11R-2125-07,,,
,TCGA-O2-A52W-01A-11R-A26W-07,,,
,TCGA-60-2709-01A-21R-1820-07,,,
,TCGA-22-5491-01A-01R-1635-07,,,
,TCGA-43-A56U-01A-11R-A26W-07,,,
,TCGA-96-7545-01A-21R-2045-07,,,
,TCGA-21-1077-01A-01R-0692-07,,,
,TCGA-60-2704-01A-11R-2045-07,,,
,TCGA-NC-A5HJ-01A-11R-A26W-07,,,
,TCGA-22-4607-01A-01R-1201-07,,,
,TCGA-63-6202-01A-11R-1820-07,,,
,TCGA-XC-AA0X-01A-32R-A405-07,,,
,TCGA-56-6546-01A-11R-1820-07,,,
,TCGA-94-A5I4-01A-11R-A26W-07,,,
,TCGA-43-5668-01A-01R-1635-07,,,
,TCGA-56-5898-01A-11R-1635-07,,,
,TCGA-22-4609-01A-21R-2125-07,,,
,TCGA-L3-A4E7-01A-11R-A24Z-07,,,
,TCGA-18-3406-01A-01R-0980-07,,,
,TCGA-22-1017-01A-01R-0692-07,,,
,TCGA-22-4605-01A-21R-2125-07,,,
,TCGA-46-3766-01A-01R-0980-07,,,
,TCGA-39-5029-01A-01R-1443-07,,,
,TCGA-39-5011-01A-01R-1443-07,,,
,TCGA-63-A5MP-01A-11R-A26W-07,,,
,TCGA-22-1016-01A-01R-0692-07,,,
,TCGA-39-5024-01A-21R-1820-07,,,
,TCGA-77-7338-01A-11R-2045-07,,,
,TCGA-60-2714-01A-01R-0851-07,,,
,TCGA-37-5819-01A-01R-1635-07,,,
,TCGA-98-A53B-01A-11R-A262-07,,,
,TCGA-66-2778-01A-02R-0851-07,,,
,TCGA-77-8131-01A-11R-2247-07,,,
,TCGA-96-8170-01A-11R-2296-07,,,
,TCGA-96-7544-01A-11R-2045-07,,,
,TCGA-58-A46J-01A-11R-A24H-07,,,
,TCGA-60-2698-01A-01R-0851-07,,,
,TCGA-56-1622-01A-01R-0692-07,,,
,TCGA-34-2608-01A-02R-0851-07,,,
,TCGA-21-5782-01A-01R-1635-07,,,
,TCGA-92-8065-01A-11R-2247-07,,,
,TCGA-85-8350-01A-11R-2296-07,,,
,TCGA-56-A4ZJ-01A-11R-A262-07,,,
,TCGA-63-A5MS-01A-11R-A26W-07,,,
,TCGA-22-5472-01A-01R-1635-07,,,
,TCGA-22-4596-01A-01R-1201-07,,,
,TCGA-46-6026-01A-11R-1820-07,,,
,TCGA-96-A4JL-01A-11R-A24Z-07,,,
,TCGA-39-5034-01A-01R-1443-07,,,
,TCGA-77-A5G8-01B-11R-A27Q-07,,,
,TCGA-66-2771-01A-01R-0980-07,,,
,TCGA-39-5031-01A-01R-1443-07,,,
,TCGA-96-8169-01A-11R-2296-07,,,
,TCGA-18-3407-01A-01R-0980-07,,,
,TCGA-56-7731-01A-11R-2125-07,,,
,TCGA-39-5039-01A-01R-1443-07,,,
,TCGA-98-A53D-01A-32R-A262-07,,,
,TCGA-85-8355-01A-11R-2296-07,,,
,TCGA-77-8146-01A-11R-2247-07,,,
,TCGA-56-8308-01A-11R-2296-07,,,
,TCGA-98-7454-01A-11R-2045-07,,,
,TCGA-68-A59I-01A-11R-A262-07,,,
,TCGA-39-5028-01A-01R-1443-07,,,
,TCGA-22-1012-01A-01R-0692-07,,,
,TCGA-85-8048-01A-11R-2247-07,,,
,TCGA-46-3765-01A-01R-0980-07,,,
,TCGA-66-2786-01A-01R-0851-07,,,
,TCGA-66-2800-01A-01R-1201-07,,,
,TCGA-85-A4JC-01A-11R-A24Z-07,,,
,TCGA-85-6175-01A-11R-1820-07,,,
,TCGA-90-7964-01A-21R-2187-07,,,
,TCGA-56-7221-01A-11R-2045-07,,,
,TCGA-66-2756-01A-01R-0851-07,,,
,TCGA-66-2767-01A-01R-0851-07,,,
,TCGA-85-8049-01A-11R-2247-07,,,
,TCGA-43-6770-01A-11R-1820-07,,,
,TCGA-90-7766-01A-21R-2125-07,,,
,TCGA-22-1005-01A-01R-0692-07,,,
,TCGA-63-7020-01A-11R-1949-07,,,
,TCGA-43-8118-01A-11R-2403-07,,,
,TCGA-56-7822-01A-11R-2125-07,,,
,TCGA-60-2697-01A-11R-2125-07,,,
,TCGA-52-7622-01A-11R-2125-07,,,
,TCGA-98-A53H-01A-12R-A262-07,,,
,TCGA-21-5784-01A-01R-1635-07,,,
,TCGA-NC-A5HF-01A-11R-A26W-07,,,
,TCGA-68-7756-01A-11R-2125-07,,,
,TCGA-39-5022-01A-21R-1820-07,,,
,TCGA-22-1002-01A-01R-0692-07,,,
,TCGA-77-A5FZ-01A-31R-A27Q-07,,,
,TCGA-77-7142-01A-11R-2045-07,,,
,TCGA-NC-A5HQ-01A-11R-A26W-07,,,
,TCGA-68-A59J-01A-21R-A26W-07,,,
,TCGA-34-5231-01A-21R-1820-07,,,
,TCGA-52-7809-01A-21R-2125-07,,,
,TCGA-60-2715-01A-01R-0851-07,,,
,TCGA-66-2790-01A-01R-0980-07,,,
,TCGA-56-8624-01A-11R-2403-07,,,
,TCGA-22-1000-01A-01R-A32Z-07,,,
,TCGA-34-5234-01A-01R-1635-07,,,
,TCGA-21-1076-01A-02R-0692-07,,,
,TCGA-52-7811-01A-11R-2125-07,,,
,TCGA-85-7843-01A-11R-2125-07,,,
,TCGA-34-5241-01A-01R-1443-07,,,
,TCGA-60-2710-01A-01R-0851-07,,,
,TCGA-98-8022-01A-11R-2247-07,,,
,TCGA-58-8386-01A-11R-2296-07,,,
,TCGA-60-2706-01A-01R-0851-07,,,
,TCGA-85-8351-01A-11R-2296-07,,,
,TCGA-85-A510-01A-11R-A26W-07,,,
,TCGA-56-8626-01A-11R-2403-07,,,
,TCGA-52-7812-01A-11R-2125-07,,,
,TCGA-94-8035-01A-11R-2247-07,,,
,TCGA-58-8392-01A-11R-2326-07,,,
,TCGA-63-7021-01A-11R-1949-07,,,
,TCGA-85-A4PA-01A-11R-A24Z-07,,,
,TCGA-43-2581-01A-01R-0851-07,,,
,TCGA-21-1076-01A-01R-0692-07,,,
,TCGA-22-4594-01A-01R-1201-07,,,
,TCGA-66-2769-01A-02R-0851-07,,,
,TCGA-66-2754-01A-01R-0980-07,,,
,TCGA-46-3767-01A-01R-0980-07,,,
,TCGA-98-8021-01A-11R-2247-07,,,
,TCGA-22-5492-01A-01R-1635-07,,,
,TCGA-66-2777-01A-01R-1201-07,,,
,TCGA-98-A539-01A-31R-A262-07,,,
,TCGA-56-A49D-01A-11R-A24H-07,,,
,TCGA-39-5019-01A-01R-1820-07,,,
,TCGA-37-3783-01A-01R-1201-07,,,
,TCGA-68-7757-01B-11R-2296-07,,,
,TCGA-56-8628-01A-11R-2403-07,,,
,TCGA-18-3409-01A-01R-0980-07,,,
,TCGA-43-3394-01A-01R-0980-07,,,
,TCGA-85-8580-01A-31R-2403-07,,,
,TCGA-60-2725-01A-01R-1201-07,,,
,TCGA-66-2789-01A-01R-0980-07,,,
,TCGA-77-8007-01A-11R-2187-07,,,
,TCGA-98-A53C-01A-11R-A262-07,,,
,TCGA-77-8138-01A-11R-2247-07,,,
,TCGA-51-4079-01A-01R-1100-07,,,
,TCGA-22-0944-01A-01R-0692-07,,,
,TCGA-22-5478-01A-01R-1635-07,,,
