Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
TCGA-50-5072-01A-21R-1858-07,TCGA-NJ-A4YG-01A-22R-A262-07,TCGA-38-4625-11A-01R-1758-07,,TCGA-85-6561-01A-11R-1820-07
TCGA-05-4415-01A-22R-1858-07,TCGA-05-4389-01A-01R-1206-07,TCGA-44-6145-11A-01R-1858-07,,TCGA-77-6844-01A-11R-1949-07
TCGA-78-7154-01A-11R-2039-07,TCGA-44-7659-01A-11R-2066-07,TCGA-55-6978-11A-01R-1949-07,,TCGA-66-2768-01A-01R-0851-07
TCGA-78-7163-01A-12R-2066-07,TCGA-44-2662-01A-01R-0946-07,TCGA-44-6148-11A-01R-1858-07,,TCGA-34-5240-01A-01R-1443-07
TCGA-56-8201-01A-11R-2247-07,TCGA-50-8459-01A-11R-2326-07,TCGA-55-6979-11A-01R-1949-07,,TCGA-85-8071-01A-11R-2247-07
TCGA-33-4566-01A-01R-1443-07,TCGA-55-7573-01A-11R-2039-07,TCGA-55-6983-11A-01R-1949-07,,TCGA-J1-A4AH-01A-31R-A24H-07
TCGA-O2-A52Q-01A-11R-A26W-07,TCGA-95-A4VK-01A-11R-A262-07,TCGA-55-6982-11A-01R-1949-07,,TCGA-60-2719-01A-01R-0851-07
TCGA-37-4135-01A-01R-1100-07,TCGA-86-8674-01A-21R-2403-07,TCGA-44-2662-11A-01R-1758-07,,TCGA-63-A5MR-01A-31R-A27Q-07
TCGA-33-4533-01A-01R-1201-07,TCGA-69-8254-01A-11R-2287-07,TCGA-44-3396-11A-01R-1758-07,,TCGA-NC-A5HN-01A-11R-A26W-07
TCGA-46-3769-01A-01R-0980-07,TCGA-91-6828-01A-11R-1858-07,TCGA-44-2661-11A-01R-1758-07,,TCGA-77-7139-01A-11R-2045-07
TCGA-63-A5MN-01A-22R-A27Q-07,TCGA-75-7030-01A-11R-1949-07,TCGA-38-4626-11A-01R-1758-07,,TCGA-22-5471-01A-01R-1635-07
TCGA-90-A4EE-01A-11R-A24Z-07,TCGA-97-A4M3-01A-11R-A24X-07,TCGA-55-6985-11A-01R-1949-07,,TCGA-79-5596-01A-31R-1949-07
TCGA-90-7767-01A-11R-2125-07,TCGA-38-4626-01A-01R-1206-07,TCGA-44-6147-11A-01R-1858-07,,TCGA-85-A4CN-01A-11R-A24H-07
TCGA-34-5239-01A-21R-1820-07,TCGA-78-7159-01A-11R-2039-07,GTEX-132NY-1226-SM-5PNVF,,TCGA-21-1082-01A-01R-0692-07
TCGA-18-3410-01A-01R-0980-07,TCGA-MP-A4TI-01A-21R-A24X-07,GTEX-Y5V6-0226-SM-4V6G7,,TCGA-21-1072-01A-01R-0692-07
TCGA-66-2755-01A-01R-0851-07,TCGA-78-7153-01A-11R-2039-07,GTEX-P4PP-0526-SM-2HMKE,,TCGA-43-A474-01A-11R-A24H-07
TCGA-43-6143-01A-11R-1820-07,TCGA-86-A4JF-01A-11R-A24X-07,GTEX-139TT-0726-SM-5K7XW,,TCGA-90-6837-01A-11R-1949-07
