i_doc,doc,Topic 1,Topic 2
35,2c4641bd-928f-4fa2-9931-3351955c2396.FPKM.txt.gz,0.5020451045280535,0.49795489547194643
36,d38d30c2-78fe-4e5f-a94b-56080bf4371a.FPKM.txt.gz,0.5007200343384159,0.49927996566158395
37,f0051b3a-479d-4410-ab85-270618818492.FPKM.txt.gz,0.49773051478014746,0.5022694852198526
38,04c8f4a3-77c8-4085-ae46-ae66ab486c08.FPKM.txt.gz,0.509343106008144,0.4906568939918559
39,f5abf3ae-a7bd-4606-bd9a-2633a82eb65c.FPKM.txt.gz,0.5003082241371767,0.4996917758628234
40,c962af41-67e1-4e18-9d59-cee591ef98f9.FPKM.txt.gz,0.5050826149430998,0.4949173850569001
41,73912113-540a-41bd-ada5-4f427592dfee.FPKM.txt.gz,0.5043230053585254,0.49567699464147463
42,430d6c41-8efd-4e14-9876-5901e770f74d.FPKM.txt.gz,0.4905638928888045,0.5094361071111956
43,f9deb5e8-3a97-4eba-8b67-c71068a1bc93.FPKM.txt.gz,0.4976207823646277,0.5023792176353723
44,3d936a71-67c1-4173-82a4-12a667bcf3e9.FPKM.txt.gz,0.496722395644155,0.5032776043558449
45,1477e0a8-d5fb-4572-8caa-c6f2d1786402.FPKM.txt.gz,0.500406082892429,0.499593917107571
46,8cd200d8-da0a-4176-8665-d527343c7264.FPKM.txt.gz,0.49801821037501015,0.5019817896249898
47,433237bf-1db2-4d5b-98f8-2e1c5796c65f.FPKM.txt.gz,0.5011079169556794,0.4988920830443206
48,7b39751b-6e15-416c-b879-42c76270e133.FPKM.txt.gz,0.4923469083143169,0.5076530916856832
49,69f590a7-8b7d-46e4-9a90-a1a3d59771f9.FPKM.txt.gz,0.5048562245004765,0.49514377549952343
50,bfcc0178-87a0-481d-b694-eb429fdfbaf4.FPKM.txt.gz,0.5121012075381343,0.4878987924618657
51,5230a3f7-5cec-4a22-a2d8-600d0f6b0d2f.FPKM.txt.gz,0.4949941509291129,0.5050058490708872
52,ed610a8d-576a-4f6a-8259-01f9dd48b9d4.FPKM.txt.gz,0.5048885925630641,0.4951114074369359
53,1a0ba473-dd46-4a74-af37-784643492999.FPKM.txt.gz,0.49599340942462905,0.504006590575371
54,fab01c26-ff5b-4db5-bb5f-5b17847ca2b5.FPKM.txt.gz,0.4979189754069114,0.5020810245930886
