0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
ENSG00000089199,15.054483194647819,12.229483103089407,9.286066766395182,12.907153461447479,15.005448109422524,9.835119856137112,12.534791471957636,12.675866692833583,10.307195243681692,11.01176978138945,9.31468678382076,10.05516236107615,13.429524761616936,9.580181757448523,11.364695294840592,12.961721724780357,10.051505779273398,12.873994497866702,10.74585547911093,11.916287394044351,11.737633392652445,12.745056335347991,13.035718474341664,16.000956344149582,14.650459651849044,12.068543722417466
ENSG00000089351,79.09624065360714,59.12870913160306,47.605077562555394,64.279211518853,67.04775829143081,60.56223049619062,48.91938662542731,56.42484556268296,68.21129824738338,57.40579688727156,78.39420363215227,77.54934189840685,61.81762186361956,52.34361063822979,46.008563023331625,43.64246049983211,74.2225595411749,65.56857913678532,63.625573529428664,60.12039950257618,78.26885807931698,66.95705920439178,75.71791056779783,75.71745842135283,65.77610005150828,62.891731947282686
ENSG00000089692,27.973771699451294,21.212433638011934,31.6621710279654,27.33473505760356,25.673707426083556,22.095566772695552,29.11186514961769,24.550518962890344,28.245585336074505,27.950865202669448,22.826910849554668,21.368244435886275,30.690189154063972,25.775244730362022,28.16569317755507,24.43549700429429,29.802171603151802,27.94465660781197,26.00670640232541,24.490233652005056,20.42172181759341,29.045361684548684,26.314181139816306,29.65293450083002,20.281259047896924,25.723541872586278
ENSG00000090006,75.53907999397258,53.82062721102954,63.02611213768657,57.21760921601668,71.17066810774674,40.78308267357228,56.054938671918435,62.389323787721274,51.80943938140908,37.739211852042786,49.073352843647925,49.72526892881963,46.31470453757763,46.91146382681722,50.46718736624434,50.66163019693087,67.81807289146911,60.600107517755106,34.622272432585,60.24348171890583,50.74987660432405,68.84110015261024,47.25346420206009,53.65396316400257,76.94079232911398,56.231832855686896
ENSG00000090104,83.0473655350264,51.080540505626416,69.04757862270407,62.555667911048474,71.67365296515209,73.15849547003286,58.26681183668024,67.90677704606661,68.09835445651363,41.697433239761985,74.05541706405931,67.71380243344574,77.9346199573969,48.49592310719804,80.24656066127342,49.194486170513635,48.499529692883236,64.52798558234471,72.48041079625212,86.02570282294934,68.80821315041862,55.64067886517044,69.141924263236,69.13426645599569,69.58843115442542,56.845348874495876
ENSG00000090339,102.11601622141293,79.02998084238277,66.786282941624,100.31706658900042,93.29254132629272,87.502764979342,70.92776062011559,99.08998043672939,73.33285622439237,107.06914457786834,96.83318864868622,73.6438414326666,115.48374903536225,74.42910758582815,113.38434350028463,66.06975010021971,89.86407830174524,56.17620397077296,75.67094871348068,91.50094111093425,84.65584527595843,97.32064240833908,106.16534308914312,85.86788515960937,98.80537172374342,106.06893248377223
ENSG00000090376,31.16375963547856,28.30933677155403,29.4617576590157,26.651655586868245,26.50731403045686,24.954615280713828,22.859753857449252,25.61222714292909,30.962979945835805,23.054408566523318,29.83071903895165,25.27735962517307,35.66052793498494,20.34351798642707,18.787050917280244,25.218117865694296,29.394706487688058,28.820891132863693,24.321998917901468,27.821085831396935,29.287134833460225,26.57136288959881,27.403053895626403,30.143906162488342,29.690867752919637,27.20847297907561
ENSG00000090382,141.40770362019757,114.93413450566024,91.04504464894663,169.35089187018295,130.67496734821495,100.02219108178649,94.36188098632775,108.20111999540472,112.09459969224474,96.90017999776335,156.80606972483974,127.3018212177399,132.9606666750714,117.84725041449047,82.01136896181934,96.00117139038743,77.89849234025027,149.1267300242846,112.4872695854567,100.52735148448299,129.57281603698064,130.77578346563828,98.57382839339664,137.43996911067168,100.58277653247507,89.18714318803725
ENSG00000090530,29.34734007942502,43.81711834269224,25.584088950490685,43.4950419358405,39.84695273530544,37.68717804486472,43.00010158550258,44.32865940907571,43.15454523278602,38.035443460867555,47.56408325146872,39.23930333214616,50.652484628337554,36.30288887954184,38.60371487244759,51.77463862213106,43.74441872066336,48.27940349475432,42.7098809325139,32.2807544425922,53.17610306358017,42.30947088493723,44.55303638476335,56.59557726186506,46.42213311856611,52.13206049614797
ENSG00000090621,69.74133427097031,72.21190976433063,64.82732841094543,71.92771928281982,63.98008670809172,76.9790755837737,77.32862266185987,66.4582636718844,69.59744080794965,60.27472104141389,91.5350149263766,50.74431335611559,58.9408064524106,62.315800708484446,81.89447139851126,91.13089370000755,77.73564190329377,87.50250995331177,80.81725962008319,54.65391884838054,89.49172776812051,60.62137293224815,75.05850789209087,80.1226414679754,86.8831831149284,73.43581013055295
ENSG00000090661,58.23698335344563,49.543921959231554,51.00009975085951,46.077498349815784,45.32582166735408,55.62719183501887,60.304650733903024,37.863174168633996,59.31272302737508,50.78389934427194,46.784066824889514,72.07798130919068,51.00283295594296,49.06735112639746,40.497068711236814,56.53421986781532,50.63134823151679,50.36719244696779,56.358652945447176,55.40952462000074,69.81936799766474,59.3287586784236,51.5955797979987,51.84399904402434,35.884657683598796,44.86219361636731
ENSG00000090924,49.50890014435053,37.909179121048744,42.972553570493275,33.69634904995185,34.93674691131737,40.331279114746884,31.14664475671681,26.79902771593657,37.8657757272089,35.51245942383679,39.802906962708235,43.42295195301588,43.06310522785186,35.82908015911105,31.76268772978777,39.58808475378898,39.474348524098076,42.588434575400925,25.684596821187675,38.86631618537794,35.99931928455793,37.41820755972895,41.380275001730865,48.54789129917554,52.81386818130584,38.490540574084356
