i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
10,4ed9b51a-78a1-48c7-90bd-8ecd2e5767ad.FPKM.txt.gz,0.04019737883854174,0.038531148253945886,0.0373728222676541,0.038490904952891654,0.03811940867409836,0.03807055751494775,0.03842887793527619,0.03794778027247308,0.03819821645191709,0.03871870454606597,0.03785260491121542,0.03801949373908367,0.03900777347704326,0.03729769695668974,0.03907493872508329,0.038366632102041075,0.03867946537683084,0.03898339526898498,0.03816122586889873,0.03865798488050967,0.038666650351479814,0.0384462659850005,0.0384696675521759,0.03865541121378069,0.03876143188928926,0.038823561994081414
11,20a96363-a968-445a-bd9a-96b27e403516.FPKM.txt.gz,0.04007246866324863,0.03771814921906557,0.0367267279710945,0.03837827103331603,0.03812735375268969,0.037911573012200314,0.03835836236407209,0.037791446128227754,0.03828875550596914,0.03786553977756938,0.03757763540668484,0.03934847309056397,0.03839152522943739,0.036970270334218014,0.03873266438402159,0.03849549736359482,0.038951898544160736,0.03951995647281536,0.03907238439113421,0.039605732312175936,0.03864140815737091,0.03806621172311766,0.039219732393439,0.038811514154248154,0.0376001652906694,0.03975628332489479
12,5f5460db-801d-4d87-ac5c-4b28ab42d8b9.FPKM.txt.gz,0.036137759314659165,0.03879692338983466,0.03999861345544911,0.03931465701177133,0.03956121639807111,0.03915919592814153,0.038212477998235087,0.039923840719802164,0.03873157905383469,0.03787161430881321,0.04062416925112733,0.03848893840714326,0.03803919654846395,0.03990770387210496,0.03631905069376855,0.03828494296201088,0.03790665556401272,0.03809798631050788,0.03852980346840401,0.036824100719701824,0.03761610023026908,0.038358373074779614,0.03885253146283931,0.03883621813310644,0.0385802649131157,0.03702608681003239
13,314b3b08-27e7-4936-a7d9-2dce4e4d3db7.FPKM.txt.gz,0.039947050043794397,0.03832059391644038,0.03667485395940825,0.037444085070132305,0.03821841225380362,0.03796234758116971,0.03787434336021033,0.037993160570118575,0.03826355282181625,0.038395460748757895,0.037158671012623476,0.03915822909107626,0.03850285728856287,0.03693812301530317,0.038661408490239135,0.038589543550253985,0.038720209167240976,0.03898128007052741,0.03996483267731497,0.03881744957836476,0.039949300869390254,0.03762274573149414,0.03855793942403531,0.03951941333719809,0.03760004602555926,0.04016409034516425
14,47b14505-ca81-4d39-8eca-0cb773f8934e.FPKM.txt.gz,0.03991149512547401,0.0376641610976238,0.03703071430960982,0.038648190509213476,0.03748769376889072,0.0380992305681777,0.03884347521285035,0.03809270284619718,0.03929758805347875,0.03845191222076346,0.03819904071569862,0.038696663043843796,0.03865622726506349,0.03760223074709721,0.03948610305590884,0.03846126509425416,0.038570066263945824,0.03834965090057439,0.03808916534270987,0.03932824411267749,0.03811672296166947,0.03835674308750111,0.03870842919174027,0.038652790419983665,0.03846096583743839,0.03873852824761401
15,fddb387d-716e-48ca-9e99-483564c5384b.FPKM.txt.gz,0.03983493677816312,0.038049372564629994,0.03713475719947769,0.037671216026873,0.03803170176721009,0.038301796183485164,0.03834673979995835,0.03791278044876729,0.038253846536072236,0.03851746096686948,0.03711319632754674,0.03868828181292382,0.03899176887446709,0.037580330064047485,0.038689103502550774,0.0381095788867523,0.038516662197311646,0.038623132804755586,0.03925510826887314,0.03921014008430032,0.039564898195998455,0.038341582373871835,0.03868383897467259,0.0392290726441709,0.038339729102904944,0.039008967613345956
16,83053f28-d761-4d5a-acd6-855cb22e46e2.FPKM.txt.gz,0.039314467174441516,0.0379261195762916,0.036829572339416014,0.03827096277895741,0.03786770332051368,0.03805497189425172,0.03816677833702676,0.03750021587181146,0.03833630207205625,0.03864351337386782,0.03757890848570971,0.03852710256225263,0.037830824876294494,0.03736950376411539,0.039045249730973855,0.03797476923829221,0.038968695196083564,0.03916994491308866,0.039443136236429505,0.039202273032716055,0.03897834021943578,0.038325954266434294,0.03907118678984417,0.0391076671609311,0.03833047370386962,0.04016536308489472
17,1b3deeeb-5fde-4154-a57f-bb575ccfb2be.FPKM.txt.gz,0.0397840850828577,0.03846020286615399,0.03683522092309809,0.03842863010727636,0.037666664871358405,0.038463094315596975,0.038819459311392294,0.03792376271456001,0.038467737787186894,0.03817778463500241,0.037424088729777455,0.03897539395885629,0.038807204346876865,0.03750978826978633,0.039111923925024675,0.03827898059761457,0.03851851352564312,0.038820138220884155,0.03891770265026331,0.03915632888696223,0.03815771980025542,0.038443766387417304,0.03948298770299338,0.038325574916902236,0.0382391750083286,0.038804070457930925
18,eb3fc2fd-468c-42b4-bffe-700011c0a918.FPKM.txt.gz,0.0365181944416484,0.03881782841103544,0.03948566779080194,0.03901875052766054,0.03960671584463116,0.03866445635950973,0.038111351042979975,0.039415713343652174,0.03893894443718378,0.038336893621224104,0.03947998777942371,0.038124868519807266,0.03783068379997172,0.03950238014832318,0.036765435261347,0.03829230347374798,0.038141031687837515,0.038599898033017006,0.03853857005681052,0.03739343460976623,0.038238234379898595,0.03826282689772037,0.038361087335774126,0.03888169662859426,0.038538131856917505,0.038134913710715784
19,b0a26c8d-9863-4352-8abe-dde66bdb8e55.FPKM.txt.gz,0.03761300541446487,0.039075883646766355,0.038579005088358445,0.039169635904084524,0.038485162022945475,0.038884880920929024,0.038150657019543205,0.03850604853653975,0.03819692717894381,0.038618502672491076,0.038938931195914656,0.03831165640115275,0.038276033224282274,0.03823143169613581,0.03862695115237064,0.03770954879071703,0.03819303338871748,0.038437393437893604,0.0393406581410189,0.03814398083365418,0.03757923636653731,0.038524375907898714,0.03922459237220366,0.03832153395991735,0.03911517249064432,0.037745762235874905
