i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12
205,80980cc8-30b5-4668-a7ea-e3cca5a44e2f.FPKM.txt.gz,0.451395625515,0.283591104603,0.048906378695,0.0293767731308,0.0502608218175,0.000384368994234,0.000311155852476,0.000292852567036,0.0481925505628,0.0748055275922,0.00781550288277,0.00466733778713
206,44624e0b-ad12-4670-b427-02db7dc87267.FPKM.txt.gz,0.497520055206,0.187009402225,0.161821789011,0.0622573967049,0.0679936168377,0.000323471060122,0.000776330544294,0.00163892003795,0.0174243077719,0.000107823686707,0.0,0.00312688691452
207,db126604-3a46-470e-871a-d219267f4f10.FPKM.txt.gz,0.231723632365,0.397232658297,0.0285347750389,0.0107578117841,0.170145697792,0.00218088518281,0.000164940896179,0.000146614129937,0.0144231650325,0.109062585907,0.0349491432237,0.000678090350958
208,68ebb9b3-4081-4e5d-8340-551e3d622970.FPKM.txt.gz,0.343411498631,0.200293615839,0.156568662461,0.0795143435305,0.124032853232,0.00140856247272,0.000991945403325,0.00642780621355,0.0234694282427,0.0469785343015,0.00513827718922,0.0117644724834
209,4001b986-adbc-4d49-9107-29488ddc6b61.FPKM.txt.gz,0.286568276685,0.380888491354,0.0127161598092,0.0676207513417,0.0773852116875,0.000163983303518,1.49075730471e-05,0.00150566487776,0.0559033989267,0.115339892665,0.00177400119261,0.000119260584377
210,83fea6d3-5ae6-48e7-9d09-113dcb39e22b.FPKM.txt.gz,0.32349515259,0.300055552569,0.016683690841,0.0727559450209,0.137107323979,0.00161281651524,1.79201835027e-05,0.00141569449671,0.0653190688673,0.0791176101643,0.00213250183682,0.000286722936043
211,5be2bd1d-24ac-47c5-9e20-33dea602ed65.FPKM.txt.gz,0.426284918978,0.321900785366,0.0227905358386,0.0707326772045,0.0426483745899,0.00111840143155,0.0,0.00270901680087,0.0652649368725,0.0384233025152,0.00802763694204,9.94134605826e-05
212,feb99183-103f-4ca1-b61a-b88227826952.FPKM.txt.gz,0.476766873826,0.136670761671,0.110149588091,0.0686154068507,0.0298814857638,0.000831044948692,0.144457291516,0.0224924121983,0.00872597196127,0.00133689839572,0.0,7.22647781471e-05
213,fdbe22dd-cc5e-465a-9bb4-5336ac42af75.FPKM.txt.gz,0.202182908293,0.0831362945448,0.209825198446,0.366819371728,0.0856274277994,0.000464448572876,0.0319836176322,0.0147884647864,0.000686117209931,0.00150945786185,0.0,0.00297669312616
214,b4661ac5-95c7-450e-8797-b2dbe04ad1ee.FPKM.txt.gz,0.458735870458,0.203778307975,0.0748230140415,0.0930300778347,0.0967262486799,0.000352016270974,0.00215121054484,0.013102827864,0.0455078812532,0.00383306606172,0.0,0.00795947901592
215,94da98fb-7e9f-4937-bf6b-dd6885258f7c.FPKM.txt.gz,0.523252635689,0.0805154236626,0.274931667317,0.0639789144865,0.0460367044123,0.00132760640375,7.80944943381e-05,0.00263568918391,0.00597422881687,7.80944943381e-05,0.0,0.00119094103866
216,fc435124-0749-4c74-ba94-d59a30953ed2.FPKM.txt.gz,0.462881550161,0.0977393478487,0.168642566934,0.0898635274508,0.137305969372,0.000770913636837,0.0173976455881,0.00281279299927,0.00848005000521,0.000104177518492,0.0,0.0140014584853
217,9375a989-fa46-4658-8e39-d086885d6065.FPKM.txt.gz,0.250231775943,0.340290205041,0.0504085724758,0.0172915633557,0.231193807809,0.00105646708782,0.000129363316875,0.00286755352407,0.0140143593282,0.0862206506975,0.000883982665316,0.00541169875596
218,10e453a6-8c30-456c-9a8a-f1195b6122f4.FPKM.txt.gz,0.462203359701,0.10045773709,0.25366634077,0.0879255177318,0.0642387343347,0.00166651853169,0.000755488401031,0.00157763754333,0.00615500844369,0.000177761976713,2.22202470891e-05,0.0211536752289
219,42c07ead-83bf-4277-9691-1a363e2b5b90.FPKM.txt.gz,0.362996727443,0.27889200561,0.0696119682094,0.0424497428705,0.224450677887,0.000561009817672,0.000981767180926,0.00895278167368,0.00668536699392,0.000514258999532,0.0,0.00390369331463
220,17112e14-d73c-4cb1-9cba-d0ebbdfea020.FPKM.txt.gz,0.27688160981,0.349923871446,0.0135179622238,0.0295872597835,0.206822764495,0.00193407678696,2.05752849677e-05,0.000164602279742,0.0657380354718,0.0552034895683,0.0,0.000205752849677
221,e0c71365-4f21-4bf8-b861-fb3ec1316ce3.FPKM.txt.gz,0.454794304732,0.240532503594,0.0291655999527,0.0715256306741,0.0779259142559,0.00155576123988,0.0142972488627,0.0759959825912,0.0209535437878,0.0118552945115,0.000413556785285,0.000984659012584
222,67ba85ff-0919-4c9d-ad1e-73b25804c0dc.FPKM.txt.gz,0.219313202823,0.364011137252,0.0647298784831,0.0116768470355,0.167619952084,0.0021583820768,0.000129502924608,0.00118711014224,0.0180872418035,0.149338455893,0.00073384990611,0.00101443957609
223,f4a1e772-2a5e-4c0a-803a-1bdb2b376a47.FPKM.txt.gz,0.21575995771,0.0357856995104,0.504079615712,0.0398308395964,0.0754326691029,0.00135604127882,0.00268909880714,0.000229837504884,0.000965317520513,5.7459376221e-05,0.0,0.123813463881
224,c9ad1adf-993c-465b-866c-c5c2c5fa9f06.FPKM.txt.gz,0.338808562816,0.427348898994,0.0188525008941,0.0237061257855,0.0699177438308,0.00107290655495,5.10907883309e-05,0.000255453941654,0.0378582741532,0.0811832626577,0.000306544729985,0.000638634854136
225,653ffc71-52ca-473e-8ce4-c934932baa8c.FPKM.txt.gz,0.487039760808,0.164685458009,0.118366165939,0.0845128155668,0.113374966846,0.000699250114532,0.000289344874979,0.00515998360379,0.0244978660815,0.000168784510404,2.41120729149e-05,0.00118149157283
