,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
ENSG00000043093,0.0,0.00029356558709183036,0.0,0.0,0.0
ENSG00000043514,0.0,0.0003878178668945093,0.0,0.0,0.0
ENSG00000047457,0.0,0.0014245064747425075,0.0,0.0,0.0
ENSG00000047578,0.00010683371314683526,0.0,0.0,0.0,0.0
ENSG00000048052,3.275281060800412e-05,0.0,0.0,0.0,0.0
ENSG00000048740,0.0003083528242331733,0.0,0.0,0.0,0.0
ENSG00000049089,0.0002386786634852373,0.0,0.0,0.0,0.0
ENSG00000049323,0.0006904292476167268,0.0,0.0,0.0,0.0
ENSG00000049540,0.0006798292470926819,0.0,0.0,0.0,0.0
ENSG00000049759,0.0003370561964387333,0.0,0.0,0.0,0.0
ENSG00000050344,0.0005283326103894774,0.0,0.0,0.0,0.0
ENSG00000050767,1.4292135538038161e-05,0.0,0.0,0.0,0.0
ENSG00000051596,0.0,0.00013852491031549698,0.0,0.0,0.0
ENSG00000052795,0.000248683158361864,0.0,0.0,0.0,0.0
ENSG00000053747,0.0,0.0003486469652884418,0.0,0.0,0.0
ENSG00000054277,0.0002366539442840152,0.0,0.0,0.0,0.0
ENSG00000054598,0.0001779370874485751,0.0,0.0,0.0,0.0
ENSG00000056736,0.00010087865667265269,0.0,0.0,0.0,0.0
ENSG00000057019,0.0004469865389521435,0.0,0.0,0.0,0.0
ENSG00000057294,0.00013089214130253282,0.0,0.0,0.0,0.0
ENSG00000058063,0.0,0.00043191755744438664,0.0,0.0,0.0
ENSG00000058404,8.217977934371943e-06,0.0,0.0,0.0,0.0
ENSG00000059728,0.0,0.00021427261408352153,0.0,0.0,0.0
ENSG00000059804,0.0006329034020761232,0.0,0.0,0.0,0.0
ENSG00000060558,0.0,0.0005607578298352046,0.0,0.0,0.0
ENSG00000060656,0.0004984382268890809,0.0,0.0,0.0,0.0
ENSG00000060982,0.00032788540946849214,0.0,0.0,0.0,0.0
ENSG00000061656,0.000259283158885909,0.0,0.0,0.0,0.0
ENSG00000062524,6.0741576036662184e-05,0.0,0.0,0.0,0.0
ENSG00000062716,0.0015107978275001174,0.0,0.0,0.0,0.0
ENSG00000063180,0.000297871924838612,0.0,0.0,0.0,0.0
ENSG00000063438,9.76629261765941e-06,0.0,0.0,0.0,0.0
ENSG00000063660,0.0,0.00112168859963335,0.0,0.0,0.0
ENSG00000064115,0.0014263551266962085,0.0,0.0,0.0,0.0
ENSG00000064205,0.0,6.796540543569327e-05,0.0,0.0,0.0
ENSG00000064300,0.0,0.0,0.0,0.0008067386404081149,0.0
ENSG00000064651,0.0002854854073723123,0.0,0.0,0.0,0.0
ENSG00000064655,0.0,0.0002536164556525297,0.0,0.0,0.0
ENSG00000064692,0.0,1.9801625756709618e-05,0.0,0.0,0.0
ENSG00000064886,0.0,0.00017657170216244994,0.0,0.0,0.0
ENSG00000064989,0.0,0.0002675381226692557,0.0,0.0,0.0
ENSG00000065054,0.001232815791285275,0.0,0.0,0.0,0.0
ENSG00000065154,0.0019364652642746873,0.0,0.0,0.0,0.0
ENSG00000065320,0.0,0.00012520853316906342,0.0,0.0,0.0
ENSG00000065534,0.0002572584396846869,0.0,0.0,0.0,0.0
ENSG00000065802,0.00014411236667521813,0.0,0.0,0.0,0.0
ENSG00000065809,0.0008832539762507584,0.0,0.0,0.0,0.0
ENSG00000065833,0.0,0.0007517700189032027,0.0,0.0,0.0
ENSG00000065911,0.0,0.0008586469160005523,0.0,0.0,0.0
ENSG00000066056,0.0,0.00011976092433643153,0.0,0.0,0.0
ENSG00000066230,0.0,1.4959306794370147e-05,0.0,0.0,0.0
ENSG00000066336,0.0009357775743530486,0.0,0.0,0.0,0.0
ENSG00000066923,1.1791011818881483e-05,0.0,0.0,0.0,0.0
ENSG00000067082,0.0014471978243558476,0.0,0.0,0.0,0.0
ENSG00000067113,0.0006970989108678114,0.0,0.0,0.0,0.0
ENSG00000067606,0.00023701124767246617,0.0,0.0,0.0,0.0
ENSG00000068024,6.086067716614584e-05,0.0,0.0,0.0,0.0
ENSG00000068078,0.0,0.0006832857935786873,0.0,0.0,0.0
ENSG00000068079,0.0010937056720483702,0.0,0.0,0.0,0.0
ENSG00000068650,0.0008095303771003782,0.0,0.0,0.0,0.0
