i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42
348,5b1d889e-c40d-4f58-a4b3-9e9eb0835e86.FPKM.txt.gz,0.0373355960967,0.00275774289351,0.0432282091171,0.0742940649602,0.173266393249,0.0184085230755,0.0131758827134,0.0402347617027,0.0363692075614,0.108848347711,0.0180313958422,0.0576061848866,0.0627445434403,0.0638994955923,0.000848536274926,0.000424268137463,0.0258567859332,0.0408711639089,0.051925705935,0.0178428322255,0.0248196860416,0.00174421345401,0.00843822184509,0.00523264036204,4.71409041625e-05,0.00271060198935,0.0141422712488,0.00238061566021,2.35704520813e-05,0.00346485645595,0.000848536274926,9.42818083251e-05,0.00091924763117,0.0103945693678,0.00139065667279,0.0,0.000259274972894,0.0040305473059,0.00266346108518,0.0270117380851,0.000164993164569,0.00124923396031
349,0358446c-e52e-4524-8f42-9fc427e144d1.FPKM.txt.gz,0.0117709437964,0.00408271474019,0.0272852598091,0.0198727465536,0.0195546129374,0.0128632025451,0.0399575821845,0.0223223753977,0.00556733828208,0.010572640509,0.0374019088017,0.06065747614,0.0162354188759,0.0310498409332,0.00662778366914,0.006967126193,0.0246023329799,0.0314634146341,0.00688229056204,0.00646871686108,0.0146235418876,0.000360551431601,0.00620360551432,0.040243902439,0.000265111346766,0.00143160127253,0.00700954400848,0.0388865323436,0.0772004241782,0.0192364793213,0.000742311770944,0.0261823966066,0.000328738069989,0.0717921527041,0.182195121951,0.00791092258749,0.000689289501591,0.000869565217391,0.0278579003181,0.0473170731707,0.00811240721103,0.0183351007423
350,e897fe45-26b8-468a-84fd-e1ad54f840e3.FPKM.txt.gz,0.0214915266712,0.00414006292896,0.035604541189,0.0409222220178,0.066259407143,0.0176090676578,0.0168178556314,0.0280236259591,0.0189706883545,0.0204243104495,0.0194122950669,0.0991407069387,0.0555136438074,0.0240123649879,0.00931054152023,0.000920013984213,0.0346845272048,0.0216939297477,0.03205328721,0.00739691243307,0.0567096619869,0.00099361510295,0.00684490404254,0.00493127495538,0.000644009788949,0.000239203635895,0.0796916113125,0.00152722321379,5.52008390528e-05,0.0409590225771,0.00461847020075,0.000515207831159,0.000220803356211,0.11014407419,0.00270484111358,0.0,0.00601689145675,0.00557528474433,0.0880637385688,0.00660570040665,0.0030360461479,0.00550168362559
351,8714911e-19cb-47ab-bcdd-28d7e37c4a13.FPKM.txt.gz,0.00435666569852,0.0819053151322,0.0476743703581,0.0246255342102,0.0118044894403,0.00703290319904,0.0831293307332,0.0125098543629,0.003360856396,0.00676320484627,0.0566574001079,0.146715903904,0.0217418364383,0.0326542467118,0.00089207916684,0.000124476162815,0.0260777561097,0.0772789510809,0.0025517613377,0.00153520600805,0.013899838181,0.000601634786938,0.00180490436081,0.0570723206506,0.000124476162815,0.000165968217086,0.00846437907141,0.0168665200614,0.154288203809,0.00089207916684,2.07460271358e-05,0.0335878179329,2.07460271358e-05,0.0119497116302,0.0134849176383,0.00493755445832,0.000477158624123,0.00919049002116,0.016036678976,0.0041699514543,0.00230280901207,0.00024895232563
352,b01ddd22-5864-4e4a-a463-62831421fe99.FPKM.txt.gz,0.0247093401306,0.00860925429812,0.0551408432387,0.0723853616667,0.0927510599006,0.0152677712175,0.0390147475746,0.030171404791,0.0556610398731,0.0018987177153,0.0187010690041,0.118890940776,0.0681977787604,0.101568392852,0.00377142559888,0.000234088485447,0.047780060863,0.0428642026686,0.0380003641376,0.0188831378261,0.0297032278201,0.0014305407444,0.0150336827321,0.00759487086119,2.60098317164e-05,0.00028610814888,0.0112882669649,0.0134470829974,7.80294951492e-05,0.0142793976123,0.000546206466044,0.000338127812313,5.20196634328e-05,0.02879288371,0.00736078237574,5.20196634328e-05,0.00470777954067,0.00184669805186,0.00241891434962,0.0046037402138,0.00119645225895,0.000416157307462
353,5061303f-9743-4495-a9ea-a5c579992525.FPKM.txt.gz,0.0364095968779,0.0073173976673,0.0534391769036,0.0396691649297,0.0398465563883,0.0179608851834,0.0263426316023,0.0761452836046,0.0359882921637,0.00332608984877,0.0325069847887,0.105880526853,0.053394829039,0.0465209100182,0.00680739722382,0.000376956849528,0.0349461173444,0.0519535234378,0.0211539314382,0.0222404541221,0.0438378642068,0.00115304448091,0.00864783360681,0.00849261608054,0.000110869661626,0.00153000133044,0.0225508891747,0.00279391547297,0.000931305157657,0.038804381569,0.000110869661626,0.000909131225332,2.21739323252e-05,0.0337487249989,0.0644152734046,2.21739323252e-05,0.0244356734223,0.0269856756397,0.00257217614972,0.00226174109717,0.000532174375804,0.0029047851346
354,e77ea9a5-0b4f-466a-86b3-378d756dea57.FPKM.txt.gz,0.0441038473569,0.00935973629123,0.0520439835423,0.0328914126224,0.0319770939102,0.0226654796564,0.0233632492,0.0674430355381,0.0435985659633,0.00182863742451,0.0394360097207,0.101729987248,0.0516108852049,0.025985900243,0.00211736964943,0.0,0.0619571232646,0.0327470465099,0.0142200620774,0.00555809532976,0.128437718053,0.000336854262409,0.0402781453767,0.00938379730998,2.40610187435e-05,0.000120305093718,0.0773561752605,0.0057505834797,0.00081807463728,0.00822886841029,0.000168427131205,0.00327229854912,0.0,0.0166742859893,0.00307981039917,2.40610187435e-05,0.00411443420514,0.0298116022232,0.00608743774211,0.000168427131205,4.81220374871e-05,0.00117898991843
355,170b32d9-17b0-4bbe-85d8-89b5fc8b5bb1.FPKM.txt.gz,0.0201777405341,0.0313140891349,0.0711623701678,0.0482060555274,0.0269918627473,0.0157232010938,0.0572474474607,0.0319315500474,0.00820340926632,0.0255364191678,0.0230004189913,0.18226123007,0.0215449754118,0.0480516902992,0.00310935673804,0.0034180871943,0.0265728714138,0.0922001455444,0.0126800008821,0.00685822656405,0.0268374975191,0.00101440007057,0.00476326989658,0.0287119324321,0.000176417403577,0.00110260877236,0.0154806271639,0.000904139193331,0.00119081747414,0.0411934637352,0.00110260877236,4.41043508942e-05,0.0015436522813,0.00414580898406,0.00143339140406,2.20521754471e-05,0.00555714821267,0.00242573929918,0.0626502304452,0.0110040355481,0.0114009747062,0.0211039319029
356,fe819208-ff01-49e0-a04a-5fb467351305.FPKM.txt.gz,0.00839261779565,0.0172595112898,0.0650994947933,0.0310135065471,0.0122280647489,0.00315496442932,0.0881740385607,0.0185792349727,0.00344365398495,0.00136096504794,0.0281884730385,0.307516238788,0.0186410970203,0.0443963295185,0.00117537890504,0.000185586142901,0.0152180637179,0.0928961748634,0.000824827301784,0.00828951438293,0.0288070935148,0.000309310238169,0.00193834415919,0.0472419837097,4.12413650892e-05,0.00109289617486,0.00569130838231,0.0112795133519,0.051118672028,0.00775337663677,0.000639241158882,0.0270543354985,4.12413650892e-05,0.0057325497474,0.035859366945,0.00129910300031,0.00131972368285,0.00195896484174,0.00237137849263,0.00156717187339,0.0,0.000845447984328
357,3fbc019c-2a61-48f6-9c6d-00823297ae53.FPKM.txt.gz,0.0815078599398,0.00385903183701,0.0165569490948,0.0243743260882,0.038249815561,0.0525083706941,0.0178338346291,0.0236933204699,0.00449747460417,0.0458685659157,0.00822881788775,0.199435332841,0.014528119857,0.0161313205834,0.00242608251518,0.0140599284944,0.0398672039044,0.00707962090687,0.0337665285739,0.00576017252142,0.0127262924919,0.000950570342205,0.0225724987231,0.0026388967709,0.00085125702287,0.000709380852392,0.00110663412973,0.00106407127859,9.93133193349e-05,0.00129107315135,0.000368878043244,7.09380852392e-05,0.000879632256966,0.00934963963453,0.00842744452642,0.0,0.000127688553431,0.000184439021622,0.147920095341,0.0182452755235,0.119743487884,0.000439816128483
