i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
41,73912113-540a-41bd-ada5-4f427592dfee.FPKM.txt.gz,0.332799839952,0.555923920033,0.109532859858,0.00162906014662,0.000114320010289
42,430d6c41-8efd-4e14-9876-5901e770f74d.FPKM.txt.gz,0.623410478128,0.326456002035,0.0117942522889,0.0383392675483,0.0
43,f9deb5e8-3a97-4eba-8b67-c71068a1bc93.FPKM.txt.gz,0.490214513695,0.492441299453,0.00111339287923,0.0155380161813,0.000692777791523
44,3d936a71-67c1-4173-82a4-12a667bcf3e9.FPKM.txt.gz,0.458243423986,0.511475702185,0.0153009362461,0.0148907712885,8.91662951404e-05
45,1477e0a8-d5fb-4572-8caa-c6f2d1786402.FPKM.txt.gz,0.441974335885,0.517090649857,0.0246885787183,0.0162464355395,0.0
46,8cd200d8-da0a-4176-8665-d527343c7264.FPKM.txt.gz,0.391981289676,0.581824256599,0.0177302594944,0.00846419423098,0.0
47,433237bf-1db2-4d5b-98f8-2e1c5796c65f.FPKM.txt.gz,0.360939615287,0.535860396614,0.0230292030527,0.0799476338535,0.000223151192371
48,7b39751b-6e15-416c-b879-42c76270e133.FPKM.txt.gz,0.369225614608,0.446287222013,0.00446035934163,0.166017506387,0.0140092976505
49,69f590a7-8b7d-46e4-9a90-a1a3d59771f9.FPKM.txt.gz,0.352928324861,0.537206694146,0.108233683383,0.00163129760986,0.0
50,bfcc0178-87a0-481d-b694-eb429fdfbaf4.FPKM.txt.gz,0.286084038618,0.610293528179,0.0998660054743,0.00374497520529,1.14525235636e-05
51,5230a3f7-5cec-4a22-a2d8-600d0f6b0d2f.FPKM.txt.gz,0.367621975221,0.547374932054,0.000749751644768,0.0842345972896,1.87437911192e-05
52,ed610a8d-576a-4f6a-8259-01f9dd48b9d4.FPKM.txt.gz,0.49654798585,0.447164213169,0.0522081478946,0.00407965308684,0.0
53,1a0ba473-dd46-4a74-af37-784643492999.FPKM.txt.gz,0.474147609762,0.4780180819,0.00747503397743,0.0392660875731,0.00109318678721
54,fab01c26-ff5b-4db5-bb5f-5b17847ca2b5.FPKM.txt.gz,0.468224098594,0.445564634075,0.0084436730953,0.0758955558589,0.00187203837679
55,d14e0a59-4f3a-4d92-9a54-82925bd470aa.FPKM.txt.gz,0.494111326026,0.486417365141,0.00829572318934,0.0111755856437,0.0
56,43b83f4b-dea9-4821-902b-d600fe8c03e7.FPKM.txt.gz,0.27890630038,0.54237871069,0.00191311450743,0.16919240773,0.00760946669246
57,3be615b7-aa41-47c4-852d-a5423cd03188.FPKM.txt.gz,0.417682787596,0.510343882724,0.0580673151573,0.0136776727406,0.000228341781979
58,5d6d057e-dd3f-4a85-8bf1-74d5069c7d9d.FPKM.txt.gz,0.294243277352,0.644063683138,0.058020256933,0.00367278257774,0.0
59,276b725d-0218-4fdd-896e-c727cc7de8e2.FPKM.txt.gz,0.48826749268,0.450481605635,0.000700131539865,0.0575592990198,0.00299147112488
60,7fe42315-1c0a-46cd-9b38-c09841337a96.FPKM.txt.gz,0.262949562975,0.591327554091,0.00351053159478,0.142194440464,1.79108754836e-05
61,7352c749-5f16-4c5d-bab8-740dac7a5c0d.FPKM.txt.gz,0.245622437068,0.535155197701,0.000419048759316,0.211709419617,0.00709389685414
62,b0546d5c-875e-4086-9155-7ac41b92ba52.FPKM.txt.gz,0.306751365965,0.550337473768,0.0064658839544,0.136388558032,5.67182803017e-05
63,2d0ce6d3-9a09-46ba-9c91-bd4f3764e490.FPKM.txt.gz,0.390402342231,0.585603513347,0.0152565246232,0.00873761979917,0.0
64,6261ea0e-e248-4620-ac4c-b90ffc580938.FPKM.txt.gz,0.335771806729,0.462366448732,0.000797321001435,0.197057885505,0.00400653803221
65,b08b8095-f54b-4649-ae13-cfdac7c7c5f2.FPKM.txt.gz,0.515040592508,0.463794331292,0.0129041447087,0.00826093149124,0.0
66,4938e83e-4ff0-4880-bc31-aa52e3a68ec2.FPKM.txt.gz,0.241598038749,0.546234588471,0.209465892322,0.00270148045889,0.0
67,79caf319-b6a9-4e02-aede-444242d215d4.FPKM.txt.gz,0.446990506482,0.419762902993,0.118500313238,0.0147462772878,0.0
68,e24662bd-3b02-4762-b306-75f98b700375.FPKM.txt.gz,0.301790872328,0.671773541306,0.0202657423455,0.00614673599076,2.31080300404e-05
69,944c109e-c6eb-4073-bac9-541585602d59.FPKM.txt.gz,0.460272958104,0.465483495556,0.0563372831147,0.017879813796,2.64494286923e-05
70,96978a72-9b98-4238-abab-cbf1c41bf5f8.FPKM.txt.gz,0.303725346969,0.511200389579,0.000779157535914,0.180034088142,0.00426101777453
71,9a07164a-711f-460d-a2cb-43651c85bcde.FPKM.txt.gz,0.330128983185,0.593824343351,0.0684403877587,0.00760628570504,0.0
72,b2bd3b9d-2380-47bb-a13d-a4e7a00d6740.FPKM.txt.gz,0.452575043888,0.487407227157,0.0419063841621,0.0181113447934,0.0
73,113872f7-02c9-4a3f-9af6-fd70130c458a.FPKM.txt.gz,0.350721153846,0.491937869822,0.00373520710059,0.153420857988,0.000184911242604
74,9c62a984-f89a-4838-af13-786468b293c1.FPKM.txt.gz,0.426645100877,0.537311654039,0.0205669532647,0.0154592661956,1.70256235635e-05
75,7d6848a5-7dfc-4494-9095-4e89fea1aee5.FPKM.txt.gz,0.270965820501,0.496557523519,0.00408191867697,0.189870534854,0.0385242024492
76,2fa4738b-04ba-4d04-b95a-1f9b08cba802.FPKM.txt.gz,0.339827156877,0.520056916864,0.000564983573626,0.13950909205,4.18506350834e-05
77,55e976c2-4953-4014-8264-6c703a5eacbc.FPKM.txt.gz,0.219386612939,0.592586374151,0.000652936348034,0.179053801955,0.00832027460637
78,22c44a19-4cbb-4950-acf5-8d23a3fcb0a7.FPKM.txt.gz,0.513449575046,0.466012441952,0.0103916586349,0.0101463243669,0.0
79,971ad289-437b-4c53-8d7c-6b6e9000aab5.FPKM.txt.gz,0.422955478371,0.451873487001,0.00549942111357,0.119540048416,0.000131565098411
80,f7a7853b-6fd7-4b89-b567-3798df13b4fd.FPKM.txt.gz,0.337483980796,0.524530900327,0.00321340448729,0.134408293644,0.000363420745586
81,d4ab2d5f-6980-4974-8f65-5e260bb6fb7d.FPKM.txt.gz,0.173626181746,0.746763451321,0.0023323106089,0.0761306093941,0.00114744693058
82,0bf53fc6-b8fb-4e6d-9297-4129c708f3da.FPKM.txt.gz,0.442082514039,0.52289596287,0.0324174948185,0.00260402827231,0.0
83,d6ee768c-7705-468c-bc8a-298c71ce1c8d.FPKM.txt.gz,0.307619943556,0.581451865789,0.0132094700533,0.091917529006,0.00580119159611
84,c1a0244b-d1df-4457-b21d-14006133525a.FPKM.txt.gz,0.406747714636,0.403323595011,0.0886815568749,0.101215719536,3.14139415072e-05
85,5c7f58e7-f1a5-44e5-a6f5-853c83b84016.FPKM.txt.gz,0.299319936753,0.469734882793,0.00228734591118,0.199705254755,0.0289525797885
86,47caf079-95ad-4c12-b8cf-fb333f72900d.FPKM.txt.gz,0.446504167218,0.513361555761,0.00725955814261,0.0328747188782,0.0
