"","MMdarkred","MMorange","MMdarkturquoise","MMlightyellow","MMcyan","MMlightcyan","MMroyalblue","MMdarkgrey","MMblack","MMdarkorange","MMsalmon","MMgrey60","MMturquoise","MMred","MMmagenta","MMpurple","MMgreen","MMyellow","MMdarkgreen","MMlightgreen","MMgreenyellow","MMtan","MMbrown","MMmidnightblue","MMblue","MMpink","MMgrey"
"ENSG00000255725",0.0177948394843073,-0.00700270006848095,0.00760205043146938,-0.0141822370684749,-0.00115260670372694,0.187953468723665,0.0213612056200951,0.0104490329877491,0.0235064644748055,0.0357416676521918,0.0359666941931586,0.0329389022372641,0.0748833133675308,-0.00643224920766651,-0.0240471782923951,-0.00767784394769943,-0.00278556945511688,-0.01065615985142,-0.000111388174206555,-0.00168706353831058,-0.0273279207402519,-0.00778567426310598,-0.00405960249681179,-0.0010036121128006,-0.0282632717358629,-0.0350653512854639,0.0626916012837076
"ENSG00000255750",0.0252373249841871,-0.04531330862981,-0.0192598722380203,-0.0469419534128164,-0.0484767295828808,0.0177799946426504,-0.00386522025491159,-0.00848542725241006,-0.00298630808578758,0.0442642388647286,-0.00186905622382095,-0.0139828700873124,0.0138138336588356,-0.00123599685831113,-0.0145423168041146,-0.00491537961527048,0.0887070645520537,0.171884286246491,0.0301714428061768,0.0548397740171472,-0.02751603576464,-0.0684462607525988,-5.76628696622223e-05,0.00482278010597994,-0.0357729624610659,-0.0264178344365645,0.361153406359064
"ENSG00000255823",-0.0159518699549532,-0.00923669799695168,0.0148446125483356,-0.0134304743050707,0.0160287691774417,-0.00653272051901337,0.0037843637741919,0.0324499619487865,0.0967633644591776,0.0934084511012346,0.96296708486503,0.313947728046438,0.251233057964238,0.000375654575684784,-0.0152132721814215,6.63896806406142e-05,-0.0246304093303019,-0.0220140701192008,0.0101148344931903,0.139246309661666,-0.00499133734669111,0.021604551084281,0.005643265457249,0.0160958925807907,0.00857083092570675,-0.017694534842682,0.0305807732977299
"ENSG00000255836",0.0697040159416497,0.121961155336599,0.171840021289489,0.109673585452838,-0.0448294274339407,-0.0251948103123898,-0.00979522192445323,-0.0149052283683745,-0.017145255219794,0.0214710943495695,-0.00823515417383107,0.00478140220549756,-0.00588885281034471,-0.0109145958722829,-0.0342323546889265,-0.00403539050754873,0.0898648455189882,0.0127124824991285,0.0313681335285201,0.0847447543577019,-0.0408966270569392,-0.03493130042016,-0.01870532349379,-0.0192882818928028,-0.106046774085096,-0.0830798579118216,0.163896113966278
"ENSG00000255843",0.0162355234481239,-0.0151090516030535,0.0186908700697447,-0.0193226241255957,0.000795670750120621,0.0454469111445941,0.0335160248926988,0.0224772334963624,0.216045018918154,0.330586041360879,0.156563676504205,0.345339847344945,0.574008879542313,0.00511490661129451,-0.0123474487180077,0.000799055572608301,0.0308646001298195,-0.000205049564805379,0.0183423570634849,-0.00709373031537111,0.104211335129533,0.068451101791086,-0.00284388890956321,-0.00514691212886637,-0.0281990766962679,-0.0231808797472588,0.0172322981746913
"ENSG00000255968",-0.0282853107526082,-0.021722288372785,0.0507724688136664,-0.0600520724085736,0.0378963425831292,0.0226768227783535,0.0437520811892455,0.0409092010020309,0.389416449513223,0.216894820717113,0.264908222590998,0.48623975580207,0.866778513375033,-0.00704684408756414,-0.0613109854637659,-0.00565293876440841,0.00738779764386795,-0.02754420670222,-0.00421086280073577,-0.0338908523276704,-0.0745758997646588,0.0285419976558095,0.00589162896758853,-0.00120219379426914,0.0209246885102603,0.0257010134750716,-0.0280635079969156
"ENSG00000256185",-0.0613688601724585,-0.0328110617498378,-0.0449271404633822,-0.0817563927200346,0.166767502104461,0.0265229793201007,-0.00909380300038522,-0.00536223311050068,0.0454529198461836,0.0175513471747466,0.00303354039754846,0.0439525330085906,0.0434255732047799,-0.0184800265268297,0.0548129469604761,-0.0107764617428466,-0.0902331072409409,-0.060485213181429,0.00824987238747543,-0.0601411630957627,-0.0990939716664485,-0.19003356353547,-0.0125333631374997,-0.01243186389185,-0.00432245452005745,0.0244006330473781,-0.0870507392382307
"ENSG00000256229",0.0391599429511083,0.14608851905587,0.137086760156132,0.119609410012087,0.0598116022152935,-0.00606905932332762,-0.0150050443620111,0.000788680248241692,0.110597255967877,-0.0205995177129074,-0.0010548338544304,0.0358802179729077,0.0443368908256349,-0.0391923307144007,-0.144842201919125,-0.0378121441746006,-0.0246117847925975,-0.102759725649754,-0.0490115151845057,-0.0360800638782776,-0.0536028763203053,0.110727207498976,-0.0344129700852986,-0.0359280749766694,-0.100967784125285,-0.0953160865634515,-0.186143558275172
"ENSG00000256271",0.0289486487361657,-0.042194320090984,-0.0157234756955869,-0.0197971252452732,-0.0222250099409726,0.00450655671957761,0.00724110007446241,-0.00232446258963669,0.00831686332709042,0.0458395021732341,0.057527839073589,0.0216596469297983,0.0678272697042684,0.00267789140408816,0.145824481997037,0.0116493130616678,-0.00688426930164151,0.0863470585755301,0.0763230022619881,0.00610192957297032,-0.0150997154245754,-0.0873847704747956,-0.00100862047897269,0.00844447137719219,-0.0298026568472538,-0.0238820499647287,0.256344082508538
"ENSG00000256338",-0.0146467856345901,-0.0263834029178279,-0.0167045005526307,-0.0253700704888357,-0.00879108143339121,-0.0187379693284748,-0.00324059756176404,-0.0131522638935545,-0.00265791883816005,-0.0119412613547367,-0.00452769491817364,-0.00770475693372871,-0.00543610304103448,0.0104766012589406,0.202311039031929,0.0152514665175005,-0.0238572610271027,0.0107375799878099,0.00142507613574672,-0.0140652553996836,0.00307647146965145,-0.0578787706913181,-0.00340102454211678,0.00289202669748078,0.0324594106431147,0.0817574505241523,0.00316304193392193
