i_doc,doc,MEdarkred,MEorange,MEdarkturquoise,MElightyellow,MEcyan,MElightcyan,MEroyalblue,MEdarkgrey,MEblack,MEdarkorange,MEsalmon,MEgrey60,MEturquoise,MEred,MEmagenta,MEpurple,MEgreen,MEyellow,MEdarkgreen,MElightgreen,MEgreenyellow,MEtan,MEbrown,MEmidnightblue,MEblue,MEpink,MEgrey
1110,e091bf28-5002-48ff-93df-3030c0942b3a.FPKM.txt.gz,-0.00453289954491694,-0.000121806292632552,-0.00314614470413789,-0.007281951150503571,-0.00535242611747734,-0.00409578313177648,-0.00239434781683635,0.0120715601797395,0.000152397127446423,-0.0033877058998060604,0.00178965614707965,0.0011377642696834699,0.000854301481189606,-0.00372552529757245,-0.0136728591095154,-0.0016672107491437099,-0.0184444697452271,-0.00685033511990467,-0.00475707088229874,-0.00438313534210011,0.0020596735266746897,0.00231338835774628,-0.0013031787560166099,0.0006784507358995889,0.00411476228683891,0.00112299924799551,-0.0167034925250091
1111,c87fff18-9dff-41c1-8ec7-99a581e404b4.FPKM.txt.gz,-0.0037657303356962205,-0.00327653654453257,-0.006769945392757,-0.0095366150429456,-0.00816002786392355,-0.00680078765246843,-0.000488423132874007,5.55670845407934e-05,-0.00411669746493011,-0.00182773902816948,-0.000911825142534083,-0.008123189290112591,-0.00556561452224125,0.000769719192340313,-0.0100619425810271,0.000634930945497764,-0.0153693755122462,0.00198579978260359,-0.000839453340082055,-0.00789489196056227,-0.00621828439181976,-0.00857801530068913,0.0051270343440418895,0.00318622365698124,0.0772251970833251,0.009415501734300771,0.0137032392893786
1112,ef51ae2e-91ac-4d5f-ba2a-0ae978ba33b9.FPKM.txt.gz,-0.00285175248352197,0.000509743171236242,-0.00360530123399885,-0.008292106580624391,-0.00452392171339089,-0.004461608193590779,-0.000914028415856557,0.00437665077928714,-0.0021630547717386896,0.0009901796620523028,0.0027775941224925,0.00146253356117616,0.00253721619878048,-0.0021863151685118896,-0.011962568736263002,-0.000498238037707131,-0.014702770002221002,-0.013644701280933999,-0.00378577739844509,-0.00870065428641671,-0.0155731187589788,-0.0173766060278836,0.00574084395152796,0.00347453830918429,0.0565268243080534,0.0550902952499373,0.0108727758182553
1113,ff1a6ac0-ed5a-4736-8e76-083d33edb720.FPKM.txt.gz,0.00175381695966957,-0.005921218359435171,-0.00786078485302451,-0.00472996859717206,-0.0118534806761261,-0.0154724711493133,-0.0017699983185071198,-0.00520504525639277,-0.00277364063303347,0.00625337086837234,-0.000565279940418056,0.00130682594204273,-0.00144669388944982,-0.000136755808390157,-0.007844705572069729,-0.0010594211394963301,-0.0113046179353814,0.006192978862085479,-0.00554381089480879,-0.00325890030226591,0.0420566225650014,0.0401002794173452,-0.00102742393733464,-0.00286213273054907,-0.00866645641518839,0.0129710503211173,-0.0013004902346870802
1114,46c0216c-ff17-4ebf-ad8f-b054542fc2a9.FPKM.txt.gz,0.0101414245478474,-0.0152120581793803,-0.0126093128542933,-0.0101547232945817,-0.00410167832715729,-0.00867444528825957,-0.0024368323307313,0.0224521751471251,-0.00157593056225119,-0.00588194367490091,-0.00555242883151436,-0.0051734704795915396,-0.0052847254834773,-0.00210685637832468,-0.0199240932328861,-0.00396163786503297,-0.00890714599031755,0.0118167076111588,-0.00574534147123779,0.0117950091613829,-0.0109599198855384,0.00392001370823279,-0.0034293886706679303,-0.00027044889850367,-0.00965461199344182,-0.0171305922852472,0.00689073058185016
1115,c1c1111e-858a-438e-8bb6-90df4defcede.FPKM.txt.gz,-0.00928595563930517,0.0107951814272646,0.00404208733666769,-0.0019577088728089604,-0.00492814564088878,-0.0128327798151646,-0.0024679595983375,0.00315424385735892,-0.00415412129272848,-0.00786350321426663,-0.0028993058866052896,-0.00520286968659547,-0.00629981883606499,-0.00362520527405256,-0.011165017695626002,-0.00327063664521988,0.0246684334485761,-0.008390124954676541,-0.00239596992015135,-0.0094135006730513,0.00473920258853283,0.00851884876042003,-0.0030018758236029994,-0.000265928661757818,-0.0124631079394001,-0.008312281557243341,-0.0138202342703624
1116,f5703c0c-00cc-481d-9296-416238a6f42b.FPKM.txt.gz,0.112134673071777,-0.0117677023897372,-0.0072680751785529,-0.0103161247111924,-0.008067470133765079,0.133822905148828,-0.0020318913854417697,-0.00171082902607749,-0.00369864044143339,-0.0034976933611597398,-0.00478072310940339,-0.00539812909403591,-0.00527436254186633,-0.00260913318858366,-0.0138521944820135,-0.0033354774325157397,0.0018532288203917102,0.0201115768521151,-0.0113467022098109,-0.00509683246831969,0.010378655144381,0.0714426174409422,-0.0018305920307934399,-0.0023810310396331,-0.00694316401060194,-0.0073647748168770705,-0.0035305880853532703
1117,08ca348b-8c35-4f2e-ba37-c5bcb02c7896.FPKM.txt.gz,-0.0022828213826838603,-0.0012777067300688099,-0.00135586183562416,-0.007606918760460759,-0.00784018279235004,-0.00722039720309013,0.000543341488448933,0.0013800386167806301,-0.00301886530404554,0.00653611853952884,0.000655633231527893,-0.0017586662690328302,-7.38547176408678e-06,0.00218876807678509,-0.00714248654402433,-0.000118417641652674,-0.0183075422315358,0.00252576894783849,0.00159450628690305,-0.0074686501739647405,-0.00595276223275809,-0.018398138098833,0.0050002994579514395,0.00832950100017466,0.0623020903104712,0.0783809712229153,0.0222402331821259
1118,b50bf6cf-8540-4fdf-9745-973f1c546f77.FPKM.txt.gz,-0.0075171113606278,0.0046159149485424,-0.00136477123032785,-0.00422657926927956,-0.005708118284561629,0.0595555739478259,-0.00243809424698561,-0.0058535224027398795,-0.00261804759618111,0.00223367411149815,-0.00016260277769184,-0.0028633082058917,-0.0030501018920751698,-0.00106329980589007,-0.0108167352269121,-0.0020587515117286397,0.0208816161843933,0.0248706972258814,0.000227960815212119,-0.0010137414697265,-0.0151883196728536,-0.0198590340333534,-0.000307880829114793,0.000364764654100877,0.017415274373484,0.0017046418176180401,-0.0147137627309838
1119,9db4e7bf-c6e2-4774-bf72-7092224aa5bf.FPKM.txt.gz,-0.00273427601740269,0.0576581581828272,0.0252098131899803,0.0167791574141316,0.0278103361710837,-0.0113031747748955,-0.0018704315997756,-0.00129860884567539,-0.00144259056912907,-0.0032250884645242,-0.004507397215081479,0.0008287518997113339,-0.00246105613296462,-0.00273009118160785,-0.0129676724759288,-0.00212146271718837,-0.0125409735299961,-0.00933137495433146,-0.006187196630823621,-0.000205051639686445,0.00981860813542274,0.0406566490169487,-0.0024001621885652103,-0.00143703568255578,-0.00864805156987859,-0.0123864388677102,-0.00888385370789396
