i_doc,doc,MEpurple,MEturquoise,MEbrown,MEred,MEgreenyellow,MEpink,MEmagenta,MEgreen,MEyellow,MEblack,MEblue,MEgrey
10,TCGA-50-5936-01A-11R-1628-07,-0.0237372226300769,-0.0103204817537362,-0.0123241661644235,-0.0260322606116547,-0.0263339588477414,-0.00672386642863754,0.00923921742323229,0.0283548899686568,-0.000635162967344396,-0.0177687005851767,-0.00137131997876603,-0.0220653961667855
11,TCGA-55-A48Z-01A-12R-A24X-07,-0.0440720511424314,-0.00917484886197398,0.0108364293601214,0.0188950888683042,-0.005550672822027029,-0.00672386642863754,-0.00230526147839409,0.0377813431501582,-0.00138100815889696,-0.0151903187071231,-0.0030001899043914,-0.0162326373509616
12,TCGA-MP-A4TF-01A-11R-A262-07,-0.0322631865763114,-0.0253420355976392,-0.00475693030008125,-0.0011058809128460401,-0.0095201444836516,-0.00672386642863754,0.0487861155515789,-0.0017709170013946102,0.00863361613146979,0.00546750749251605,-0.00168517720158529,-0.0157723940813409
13,TCGA-97-A4M7-01A-11R-A24X-07,-0.0248938305004301,0.0117361987551129,0.0222988386844007,-2.0016262378105702e-05,0.0340575944902464,-0.00672386642863754,-0.00560051400497427,0.00931295433166938,0.00125474505839124,-0.0189467701139027,-0.00683401436760332,-0.0232261443138557
14,TCGA-69-7763-01A-11R-2170-07,-0.00728909757089247,0.0090409167385049,-0.00889898591482705,0.0261280534317633,0.0368697710918332,-0.00672386642863754,-0.0113378820921545,0.0261986967676484,-0.00983721468262912,-0.0110405069198489,-0.0140654417741714,-0.0272571969449089
15,TCGA-62-A46O-01A-11R-A24H-07,-0.000414675979123182,-0.0375108565690781,-0.0486376439481698,0.0131711871024535,0.0396997140035209,-0.00672386642863754,0.00610502535018664,-0.018397725449477,0.0137363202534621,0.027397432189005002,-0.00225513814506492,-0.009476335955121441
16,TCGA-78-7536-01A-11R-2066-07,-0.058055191200675,-0.0278340251510869,-0.00415816015830582,-0.0339845995305488,0.022997114888613,0.00037947504544844,-0.0113378820921545,-0.0134674184258834,0.0148864684814982,-0.00623961017030082,-0.0148486935531847,-0.0271953813189877
17,TCGA-97-8172-01A-11R-2287-07,-0.050154216263694,0.00977057620399994,0.0238162549530653,-0.00880355314199867,-0.0242585907610606,-0.00672386642863754,-0.0113378820921545,0.00431291254544189,-0.0162991301498612,-0.0206465294602325,-0.0209317947692864,-0.0247446195292318
18,TCGA-93-8067-01A-11R-2287-07,-0.025377520779449,-0.0115558115635754,-0.0176773317635851,0.0138368225546075,-0.0198983335189226,-0.00672386642863754,-0.0113378820921545,0.00312570830045549,0.0299044725682201,-0.0208252282977526,-0.000930837199257388,-0.032557563299087
19,TCGA-NJ-A4YP-01A-11R-A262-07,-0.00956057035326845,-0.0123449208680555,0.0042347558833389,-0.00971491955406808,0.0334819761502764,-0.00535530491386754,-0.0113378820921545,0.0446894259586727,0.0247781826304005,-0.0197940581108384,-0.00324604505313116,-0.029458113706595
