"","MMpurple","MMturquoise","MMbrown","MMred","MMgreenyellow","MMpink","MMmagenta","MMgreen","MMyellow","MMblack","MMblue","MMgrey"
"GLYATL2",0.1596390045028,-0.299580666712805,0.00865544725640696,-0.120514223780678,-0.198330671441656,0.0979666223099082,-0.0023342478703808,0.274255803694099,0.26207967150296,0.277991029243409,0.533417980866013,0.513212519226739
"GLYATL3",-0.108572042505879,-0.144738154039579,0.0219139047162631,-0.0571485258747647,-0.0383062251771057,0.129307946658034,0.0115843001828912,0.112531160551105,0.129845565688993,0.209338094428459,0.0967937826335292,0.131194194053045
"GMFG",0.197202922606198,0.848520985168653,0.533108041136434,0.478987325523042,0.0436737693804639,-0.0586399107221871,-0.144945068041608,-0.237964216085133,-0.337549397442315,-0.398218908374627,-0.56690576743823,-0.352091364173427
"GMNC",0.141410388340213,0.0162904854040129,-0.00717585819791816,-0.0468147520014945,-0.104997720954523,0.0362769733590791,-0.01120992192378,-0.0656513599080742,0.0814364025451019,0.138696647534748,0.124891467615579,0.143861941320349
"GNA14",-0.217366896668798,0.693758202866535,0.299729494770726,0.363515335807246,0.218606164239595,-0.149182619246455,-0.201769848765745,-0.215199885256491,-0.223394765679705,-0.481687242589519,-0.682256132463677,-0.63513014407341
"GNAT3",0.0342596400004784,-0.0872120938490421,-0.0241072436780534,-0.0783993250240501,-0.0522313246839571,0.0355830568620674,0.0263749389470445,0.0412745899025311,0.0532174698038615,0.0514216196399285,0.126781512547246,0.116015889576953
"GNG11",0.0953212616503019,0.831024796750048,0.25903074501093,0.420464765512281,0.0192813416845479,-0.102052267519665,-0.137542525564732,-0.285225947424547,-0.355579497600862,-0.446400198959811,-0.673704735173029,-0.425596245112547
"GNG4",-0.153033367311008,-0.616572790643303,-0.0368791667807373,-0.246260845307979,-0.0846392226166991,0.109354365699529,0.224410423832789,0.44571137069794,0.421369772648274,0.445222403634856,0.577907929644335,0.441915553387501
"GNLY",0.181596262042027,0.440599017601179,0.625860312988754,0.464319847100891,-0.0280254326126549,-0.0423676572994347,-0.076383548647716,-0.089069291501724,-0.0760932486937626,-0.228533588373669,-0.268267395364406,-0.125965966747532
"GNRH2",-0.0891173817894461,-0.0731553566206995,-0.117390535241019,-0.142205199770891,-0.0843186065338966,0.0584946049090925,-0.00866183676083269,-0.0481345890212896,0.0898749148532149,0.142757547196049,0.0606781722179079,0.0845049245944386
"GNRHR",0.0487459675058618,-0.115661431956934,-0.00914837217222374,-0.0333498465609993,-0.0722652002858385,-0.027816407486181,0.0157303941732554,0.112515743439736,0.201348597642618,0.134304998432283,0.200365563262822,0.184986251958129
"GOLGA7B",-0.0481951883403287,0.424164773009675,0.0737720045968625,0.0993580184683745,0.132083642161135,-0.0668285573982183,-0.143544471653051,-0.163849018675373,-0.310701962200354,-0.247461568591277,-0.367166589222431,-0.342154937296572
"GOLGA8A",0.0855077172665869,-0.136903830393048,0.021708447891902,-0.125629959140969,-0.144918650973073,0.0402129547360912,-0.0161351989875578,0.0926949729882652,0.211767375616996,0.166869491090377,0.265383311462539,0.287280612418178
"GOLM1",-0.515552224089778,-0.22152475986957,0.127712740155312,0.0341111608789397,0.345372858234973,-0.04543623302744,0.0635661031596028,0.450850497648345,0.2413549623053,-0.00157178552954991,0.0420621550687177,-0.304716907322696
"GOLT1A",-0.295264267203336,0.496956507849967,0.0921905423768942,0.200718613145875,0.388896532703505,-0.0624286854760684,-0.104057221960675,-0.249979258480342,-0.343793088555684,-0.356754927551763,-0.628168700589085,-0.691048759764974
"GP2",-0.123547989618692,0.188932168402915,0.108628010085365,0.0184569995354395,-0.042881207517754,0.0437142380833434,-0.0217633665315135,-0.0848566633292975,-0.0757979313610879,-0.00403099436494233,-0.178520711882554,-0.146667569866132
"GPC1",0.434733698339985,-0.425292633801601,-0.17780831429351,-0.251057755595112,-0.267117588099182,0.107845078562114,0.175554493734382,0.386463433379341,0.196585485221754,0.38763705667002,0.754556323323256,0.683311277727394
"GPC3",0.345218999026178,0.409587660266175,0.0135840529145001,0.0530056687328325,-0.317971205843245,0.0410125518377283,-0.138586815112673,-0.248803423343371,-0.14153041101269,-0.0257257047569358,-0.0782880196646348,0.2372232379757
"GPD1",0.249303669143588,0.873760409138166,0.135733888967521,0.359562738272088,-0.0197146325004327,-0.0685471911266174,-0.186988692386766,-0.492833007429963,-0.521179812296491,-0.42889438769838,-0.661538443288304,-0.373168009855244
