i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35
12,74dfc8ec-405b-4ffa-a282-daac57bf4d01.FPKM.txt.gz,0.43608988560835554,0.018153456617081884,0.25457792648189176,0.005855224487950446,0.07953158204096396,0.003911018673418637,9.04281774200841e-05,0.00176334945969164,0.022855721842926256,0.0012207803951711353,0.007935072568612379,0.00029389157661527333,0.0011529592621060721,0.0331193199801058,0.008341999367002757,0.00015824931048514718,0.09940317402902744,0.0,4.521408871004205e-05,0.00015824931048514718,0.006443007641180992,0.004476194782294163,9.04281774200841e-05,0.002509381923407334,0.0,0.00042953384274539946,2.2607044355021025e-05,0.005177013157299815,2.2607044355021025e-05,0.0025772030564723968,0.0,0.0002712845322602523,4.521408871004205e-05,0.0031875932540579646,9.04281774200841e-05
13,ec27c2ca-312a-4e06-bc8f-ca8cb085ab3e.FPKM.txt.gz,0.3193740877479179,0.018137717867261954,0.17961706877307462,0.01195586846398214,0.08557997767665493,0.0022108697518674336,0.0001502532841074955,0.00017171803897999483,0.009294238859792222,0.23821584957499786,0.009616210182879711,0.0019318279385249421,0.0001931827938524942,0.031038035545634068,4.292950974499871e-05,6.439426461749807e-05,0.06709882373143299,0.0006439426461749807,0.00012878852923499615,0.00010732377436249678,0.001266420537477462,0.00036490083283248904,0.0,0.004099768180647377,0.0,0.0004292950974499871,0.0,0.0004936893620674852,0.0036490083283248907,0.014059414441487079,0.0,0.0,0.0,2.1464754872499354e-05,4.292950974499871e-05
14,78e16228-2d9f-4e19-bbd2-b0bb85e8faa2.FPKM.txt.gz,0.449563875867798,0.03002432801281671,0.20230819438675607,0.013024387349433335,0.07434878063252834,0.007061057378508278,0.009315848810300837,0.0010383907909570997,0.005518305346229158,0.0,0.003263513914436599,0.003174508989497419,0.0010680590992701597,0.04954607488281018,0.0,0.0002670147748175399,0.1012876045807868,0.0,0.00017800984987835993,0.003916216697323918,0.017177950513261733,0.0009493858660179197,0.0,0.015694535097608733,0.0,0.00017800984987835993,2.966830831305999e-05,0.00038568800806977984,0.004390909630332878,0.0036788702308194385,0.0,0.0,0.0,0.002610811131549279,0.0
15,512b0f65-4ee9-4d01-b453-075499fe9d83.FPKM.txt.gz,0.5063497918532961,0.050376771881751596,0.1780576487326764,0.0017125994625072456,0.043394635611529744,0.00708752700637614,0.0009221689413500553,0.00023712915634715708,0.005243189123676029,0.010828898139853507,0.002924592928281604,0.0008167782051957633,0.004136586394055963,0.02155240554355272,0.00013173842019286505,0.0036359803973230755,0.07258786952626864,5.269536807714602e-05,0.0002107814723085841,7.904305211571903e-05,0.07050640248722137,0.006033619644833219,7.904305211571903e-05,0.0011592980976972123,0.0,5.269536807714602e-05,5.269536807714602e-05,0.00018443378827001107,0.0016072087263529536,0.002661116087895874,0.0005006059967328872,0.0013964272540443695,2.634768403857301e-05,0.005374927543868894,2.634768403857301e-05
16,6632e6de-5170-4096-a298-078b6bfd3760.FPKM.txt.gz,0.5522475570032573,0.037589576547231274,0.19769815418023887,0.004191096634093377,0.03209554831704669,0.011530944625407167,0.0014766558089033658,0.00041259500542888166,0.003756786102062975,0.0006297502714440825,0.0029750271444082517,0.0010857763300760044,0.002280130293159609,0.02034744842562432,8.686210640608035e-05,0.0008903365906623236,0.08149837133550489,6.514657980456026e-05,0.00036916395222584146,0.00019543973941368078,0.03698154180238871,0.0016720955483170467,2.171552660152009e-05,0.001737242128121607,0.0,6.514657980456026e-05,4.343105320304018e-05,0.004212812160694896,0.0003474484256243214,0.0015418023887079262,0.0001520086862106406,4.343105320304018e-05,0.0,0.001758957654723127,0.0
17,b44cdb13-1812-4bf6-825e-edae5bc5376a.FPKM.txt.gz,0.5253575815206625,0.05002179167161932,0.17421450929117635,0.0003764016006973335,0.008360077657593407,0.04158247157177384,0.000396212211260351,0.0006933713697056143,0.00283291731051151,0.0,0.0025951899837552994,0.0023178414358730535,0.004358334323863861,0.00477435714568723,0.00023772732675621063,0.0048139783668132655,0.08625539839137843,0.0,0.0,3.9621221126035104e-05,0.08560164824279884,0.003585720511906177,3.9621221126035104e-05,0.0,0.0,9.905305281508775e-05,0.0,0.0012480684654701058,0.00013867427394112286,0.0,0.0,0.0,0.0,5.943183168905266e-05,0.0
18,e54638eb-8b35-4cf1-af4e-3411dfbd1ba2.FPKM.txt.gz,0.34344169876914404,0.030489523630555293,0.15245936296157098,0.0014211218641360518,0.013154185849854364,0.08248379216386358,0.004545241003476463,0.0002231513670957437,0.008444517523254721,0.0,0.012790096777224466,3.523442638353848e-05,0.001808700554354975,0.011592126280184158,0.1821619844028939,0.0005050267781640515,0.05292210842807479,5.8724043972564124e-05,0.0001409377055341539,0.00012919289673964107,0.0034647185943812837,0.0652071784271352,3.523442638353848e-05,9.39584703561026e-05,2.348961758902565e-05,0.00012919289673964107,3.523442638353848e-05,0.002501644273231232,5.8724043972564124e-05,0.0008456262332049234,0.0,1.1744808794512825e-05,0.01205017382317016,0.002419430611669642,0.014316921920511134
19,c8c58445-3c7f-4c98-85b0-6a707c3d8473.FPKM.txt.gz,0.5450887573964497,0.060854700854700856,0.18193293885601577,0.005023011176857331,0.03800131492439185,0.013570019723865878,0.00026298487836949375,0.00026298487836949375,0.00925706771860618,2.6298487836949376e-05,0.004049967126890204,0.0007363576594345826,0.0042077580539119,0.030874424720578567,2.6298487836949376e-05,0.0010782380013149243,0.0860749506903353,0.0,0.000210387902695595,2.6298487836949376e-05,0.009151873767258383,0.0005522682445759368,2.6298487836949376e-05,0.002813938198553583,0.0,0.00018408941485864564,0.0,0.0005522682445759368,0.0016305062458908614,0.0009467455621301775,0.0,0.0,0.0,0.0017357001972386587,0.00084155161078238
20,c3ed7c7a-b80a-4de2-8dfb-b60bcf336375.FPKM.txt.gz,0.41957738534299477,0.07738534299474986,0.19269319217251704,0.0024081225322167745,0.03790081138542977,0.011302989543107564,0.002516596520154467,0.0005423699396884627,0.007896906321864017,2.1694797587538508e-05,0.004143706339219855,0.001540330628715234,0.00581420575346032,0.02167310278995097,0.0027986288887924676,0.010066386080617868,0.07582331756844708,0.0,0.00013016878552523105,0.00039050635657569317,0.037575389421616694,0.02531782878465744,0.006031153729335706,0.0002386427734629236,0.00010847398793769254,8.677919035015403e-05,0.00021694797587538508,0.0017138890094155423,0.0209571744695622,0.0018006681997656962,2.1694797587538508e-05,0.004208790731982471,0.008612834642252787,0.018440577949407733,4.3389595175077016e-05
21,24d7f10a-ac34-4f7e-8424-d2fc0d32ac58.FPKM.txt.gz,0.3661340160678026,0.08763132338659839,0.14773549924958065,0.00545599011212148,0.048856714046084576,0.00974662311291604,0.0015714664076984196,0.000582678555663459,0.008651893705305906,0.00022954003707954446,0.004414231482298932,0.0004767370000882846,0.001430211000264854,0.02599099496777611,0.00012359848150437009,0.0015714664076984196,0.0652776551602366,1.7656925929195728e-05,0.00014125540743356582,8.828462964597864e-05,0.18975898296106647,0.0024189988522998144,1.7656925929195728e-05,0.005491303963979871,7.062770371678291e-05,1.7656925929195728e-05,0.00010594155557517436,0.00017656925929195727,0.015697007151055,0.005756157852917807,0.0,0.0006886201112386334,0.00017656925929195727,0.0034607574821223625,3.5313851858391456e-05
