,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65
CYP11B1,19.13571125465708,20.122773553740313,33.84811748650544,5470.396649184173,41.14924858334163,40.25708312377872,26.173940411519506,35.825406141813595,44.337292152479144,28.224356154890835,497.4819287817257,31.94627008441585,42.17304082315572,24.116535554464964,23.593488129890947,65.11685699608164,61.03756542468099,55.86420374404904,47223.82227694465,39.91434624020336,34.084431645716116,20.04333519178445,32.32444535104646,36.47336388359928,38.02688063549395,44.853295143137984,42.51664746022017,40.11584987204536,24.155824413825833,45.81955926948545,42.5815334037655,44.323756965970816,35.49768627389309,17.3125096465796,18765.334869733666,49.59856198987762,37963.20486447453,19.53821182145262,19.641351877439277,48.7280086375919,29.19475458816984,24.847291573525954,116.30275837081318,43.9368659900923,21.59740686596514,79.72760788678868,35.39447398963353,34.62747438863458,44.51082546075008,27.27606363390315,41.90457645360967,50.57072929110534,55.58077164763717,28.83970375296701,27.279093038213908,53.35703178998592,32.574070142898826,45.27613025807123,20.043918256072185,40.59517771492735,41.48341957000065,19.4082535525905,29.32810093597211,40.83334058239342,38.061395884687
CYP1A1,30.528185848700858,189.371780114927,31.156013510847412,63086.13019256323,22.699888474844734,21.74805358076979,31.895396831428755,20.58820469765267,17.68053384704946,16.623649267095832,4204.178918596985,13.175272769032636,32.86753555143042,42.80759412742484,120.51376826604734,681.9106837683509,44.29135486352807,32.704145282379464,6272.422782852515,36.13575870810176,14.370334684413733,24.36713005416339,15.960674404937384,28.415798564630506,29.483823945189542,15.821658080439281,19.34960592949474,22.983937563490073,12.998964606181284,14.95728258380925,43.56341869249594,16.403596386963525,19.614975624134715,26.654174677143114,6744.756102908161,29.31892512646637,27554.277159786056,14.374230182664972,21.50099866784157,15.818774859130546,26.64140906896093,39.04597561250335,8371.6791012151,24.13186630899523,133.20012110127033,34.30334696487465,18.16347005858431,25.079073836688053,16.404930625668754,17.54234192197603,13.053119529835477,14.593217150224811,17.05454949050547,22.12493174111631,30.2472811030607,26.066224200189946,61.4069396597442,17.184310112433508,23.91422400850639,345.3331725678802,23.48779080525579,18.006468124259726,34.66935323844471,20.529125611503577,35.380123888881435
CYP1B1,139.65117732506386,4455.141644716988,112.8537940718463,289727.8518362748,101.5111904423677,99.68701848656032,173.61911499494775,101.41317523500895,85.4158768891793,153.46944089522492,17531.676633338706,98.8476322848534,116.6315709808432,111.15319059968688,4580.247044169092,6468.282372986829,179.22408979298834,137.26471438999488,26039.042487904087,230.66698117990754,124.65087467334412,78.35947775094282,98.7484522989024,107.06185915392989,162.76278612418236,142.59208499243897,95.08310321483265,84.97235048369062,148.74700841985214,94.5446134176957,180.99224115809628,99.8711909131134,156.7762780653424,144.48370960776654,121505.52013192388,135.2565320909592,136075.98394930857,198.57327336589898,127.58148664459186,181.07652770526275,115.33364878548467,177.32842626144384,13838.1190566714,138.29855892044895,3765.957472717853,187.40573238616744,150.8385628451317,102.50081988813042,124.54327138175731,88.11552161490975,87.49825933903278,139.8521159036458,1002.1230832720494,136.7980788926649,133.14546849717868,124.53198767171521,811.4379438474491,147.28712876436478,154.20368110321337,256.83739257927084,147.92326524088634,103.21970255202946,204.24693435955547,104.83400831997231,143.60929922614065
CYP24A1,158.66178821408553,145.23702147022078,120.21572181019938,119497.89332089054,118.08441732005898,175.95014871967152,188.27425207398358,101.50249346240892,111.72094546768297,142.30199415758807,1826.6462916605826,131.34175897657295,137.00751843201593,127.19315361486784,244.1648269114952,195.77753628995217,110.06552280844485,137.90213619710244,238473.3148537566,114.56266782994534,158.24584600030204,155.1960751854656,171.69588249280343,170.7074698240947,117.9757212052416,155.7876955124902,121.38887058232261,127.5127836289194,146.506072358984,144.51375140267714,147.25874571840214,107.57447106257158,142.75311347044456,215.32033964321818,364196.67994336755,168.50069595518744,19902.54021759678,116.39154281338854,125.91176860937935,195.37781208265383,110.47980576874757,185.54274702089666,1692.1430024082565,117.47541261320326,175.49244242987228,123.16555475039843,112.46986316939848,170.6200971566208,104.37145235187228,129.47767396337034,124.25948102227007,110.16808481191936,147.2283051863094,95.80288386692919,154.05917000447155,148.25763398318998,118.33601198083281,146.53584004649406,162.54505459851333,156.85671529344606,108.83938258798464,98.16109146736544,118.79555570879889,110.53891394918165,183.29551405399357
CYP26A1,6.448653508545209,44.37207202604296,6.543702282386401,8669.562017316086,6.5833378345091,4.46238460003184,5.931659648587651,5.070465252773315,4.830517873173778,3.8769897551642405,716.5975084799934,4.432399925843867,6.055993367682362,6.271358990137213,32.0382427124189,49.713363104405396,4.244846781678818,5.385249043762934,149.670649381256,7.64178837479365,5.279467630404274,4.257567498163659,6.758064988491823,4.561664425500771,4.962958540726249,6.408373950682253,3.951503496135485,3.9378712993613103,4.5991525972863,5.127017775133454,7.86346041840398,4.014661166543025,6.17086533670093,4.899019197864279,53531.473022836726,3.909478977886237,1486.0794140299793,5.12924007588409,5.4549336265561355,7.648256342803704,5.313000665990925,7.217248546583513,408.8235041572551,5.387719426226366,31.225435830693442,7.8748514861363095,4.695463221437279,7.214624402162357,5.0139228448702085,3.818159106514268,3.4903196019329275,7.519269997128989,5.721442760618158,4.254562204963226,7.475630087523224,4.769958632252354,4.803330877431475,4.197550887008115,8.085892084175391,7.640791869267587,4.376681214993874,7.406064081857188,5.01011402232486,5.964223001709071,6.214939589805531
CYP27A1,443.7470868218696,83474.48546343356,461.1308055635118,518647.89993713395,534.5731288931714,332.56154137496213,690.6701077314656,220.50588824595806,301.8843129921121,421.625938347557,163673.3235456363,228.02238243799914,455.22607814037855,452.0683390750415,64276.53678135418,296207.6863492367,825.8312078516324,371.26279825469317,87143.33901848641,935.6668989655996,419.77368189130175,312.0359748901613,357.2348537663124,281.5465458788442,684.416886417639,424.7474885994537,315.16082550571673,330.78100642469656,511.8884672391192,251.86846598070423,499.9500805526092,339.7482514772867,512.6260772117141,374.767726448734,88042.60604625393,328.72495884758104,789391.2127183505,533.7494737584173,293.7421437742517,328.0553850953091,235.55115720744797,671.0969284788783,255573.92597945326,375.90636305825444,70394.13017143024,861.3064564698783,217.6135575332693,345.2649983771458,237.59023173457632,118.94881436923107,172.88057325028626,268.5425893617115,1136.4554959130303,366.1504691383252,308.5407372451636,340.9615429206981,1619.9706308832872,549.4798715448086,275.7029924660245,1088.1774649634397,591.1572093867951,392.76263571237206,627.8971451846245,234.33931006278954,379.34561988237283
CYP27B1,13.760216310780761,304.72017419965397,20.066296450258303,66155.55290086094,21.726178805380965,20.995177408418446,13.812665189264536,17.38914073081867,17.57430080222302,19.74420690329023,368.31989009374865,18.700827199135098,21.75632723729692,22.691571675852806,282.2307543145685,312.5055008134187,19.096262735477065,20.395056783080957,7337.722651260485,19.647979045240355,19.505610233018935,17.24177127517706,20.64703605447894,15.381960583844577,21.442015615624356,24.767282835387892,14.154271005887763,17.98959745786802,17.866929010677943,15.164620357249051,16.349008038929274,14.817026446738986,19.7079410165757,21.532435268636736,49500.16354290388,17.209122792608362,11041.788950337566,15.547733489555894,17.192550276145404,21.038475261864573,17.927872972499763,21.29480507351345,312.4916545143488,19.210501155526863,289.4925492563097,20.574727061147918,18.264690627014907,16.520306620044803,21.957306782901426,15.459809349919574,12.74114372232143,16.597600624206578,166.7022832524243,14.963720038548594,14.182454973641248,18.921928848094627,34.551555572149205,13.626818161477857,22.24540554290082,21.223297992236283,22.415699707209928,18.49271235429391,22.164673499303856,22.347185028395337,16.132860883275878
CYP2A6,12.221638896260579,451.35215127340473,14.87695639409467,18764.34324987481,14.199671104291609,21.245309374919255,39.42868926214033,15.40428359674038,14.661825668182246,9.250816030824122,525.082957982714,13.165469633406135,12.873454713901795,24.26195789627806,446.53870637756347,485.9884063109579,19.061146655766866,11.566530651885838,21645.08191033545,8.330293725918377,17.749801368436298,9.734200535382218,11.42216161631313,10.178148274121153,14.957319480449463,25.775560079431923,8.824062290641546,13.604828432385737,24.06369467487263,14.654770701452119,13.045216784376098,12.659906941851002,20.39724138983148,15.331165161384712,8350.893313815654,19.566860159653363,11711.110724341224,17.672474121942084,14.80106914251898,18.210207529701492,13.486601966757771,21.008419318296664,5872.748771802113,17.429112279460327,432.5490031527301,13.166915530083212,12.778987559817798,14.264622947071858,10.451172880026537,11.155295822228107,17.231079632859803,14.263205636840715,13.21975768436495,14.617862931937147,16.085589697336307,14.433420458441653,39.19793796146868,15.573669264137852,15.667063616769003,15.48044604220189,18.377316736944323,17.074294171205576,12.55789736821743,16.107313715844995,13.307455721552145
CYP2A7,2.1036536931431775,47.613715043343404,1.857297947152715,1434.435572195187,1.9724702595732115,2.329920532279183,2.852971977658983,2.2269820954456057,2.2994744673577583,2.329130426766411,64.46028365005228,1.9775281853997309,2.0771143932080935,2.5716216351915757,87.333599219534,111.73126531822703,2.1528870582963022,1.8971864113889843,1135.199220224119,2.9212634678459612,2.288599237577236,1.845099508038817,2.444653926350246,2.0797227865301178,2.6590885833730056,2.4662913979299628,2.2072940944272093,2.2096421178564913,2.6923713901115054,2.0790162924220303,1.8233481328488939,2.0968066633031865,2.1384733341668145,2.2858677087062382,1254.2138659770144,2.588573679282334,1964.9374832778258,2.0918448274335963,1.8795276288824339,2.16889528651591,2.0093764105298617,2.053003455163292,240.2689614710576,2.138939548510723,72.54857146867471,2.2749498740452228,1.9492279142193452,1.9751682151530625,1.6928286885506107,2.0190136520160595,2.4959047779715244,1.8211488093187307,3.5736546360812795,1.9141290197903102,2.0271064101886394,1.9172307422240684,4.471570064618744,1.9850024527391332,2.1936994589377035,3.215695269113096,2.7327772609018286,2.1430162413651197,2.4000794662193083,2.154125443733043,2.6308809005126674
CYP2B6,4.180295271325392,133.90005614909265,4.402591856684365,4087.7426297842962,4.062242343465758,3.471178856809193,5.17266677237266,2.8175382668250277,3.222794570540879,2.97248037182884,77.92942379256604,3.3894184861502072,3.1656553060618484,5.143446945195094,152.8183891958709,792.2983838580236,7.3359411063977795,2.7257377324654954,3840.699594541941,6.1091391155836945,3.5820059648534306,3.7798847701465124,3.62534901168602,2.901520305456278,5.567076895095792,4.30036374209445,2.76029505776565,2.6311233317915046,3.65126085112748,4.057641045442618,5.715533757935856,3.92598833250695,2.6622508395656643,3.9493839825377113,3979.8381385739804,4.995216173683951,3018.1432422409694,5.481714511035292,3.2296799852727505,3.7931823223109196,3.5305685026839897,4.248556314779762,135.28941122949607,3.432877953080621,232.40468768540512,4.011566018876429,3.0234930342583004,4.556047678007728,2.732131653319122,2.7147408426392006,3.043875733586218,2.8181714283550106,2.851956485469202,2.380980608016327,4.778515001500884,2.956751555662742,10.827879042401493,4.712395991074775,3.5924688379119125,4.275552437757211,3.8536882559700327,2.574516236253195,4.706067711487968,3.0593879775346675,3.1865958753244863
CYP2F1,20.825752646399366,1260.7207173212616,16.006153655760748,9480.523252166618,19.101005956772493,15.39672044289553,237.17285487519112,7.332117641268619,9.094309376995389,18.081709452328525,1394.8547288812852,10.368475190032836,13.602256071165401,18.79009971069517,602.2778229661682,537.4636170071,27.085805532953085,14.001415104741906,700.5942199297726,21.544253849507875,19.15498648226641,14.739585423493411,6.926575060873432,72.92466006598039,18.29493204569108,16.02247561380711,6.427292106222587,8.907429250314753,18.4986766000569,8.833440936829572,14.78315997278999,12.895225493311463,20.49178853252955,18.85974421106,10333.965896450056,14.80165672672999,4741.00783252201,37.40672708423809,20.66741979721572,23.51075274194254,20.38608783414706,30.30563990018183,91660.38218185262,10.297425889597415,901.1152352981195,13.357548566101014,14.281870948383258,14.767121306162279,8.628535501058904,6.923768427506216,7.749208327902852,9.527301968703284,23.362681468494177,11.051662365427136,11.371147419434388,9.291036177729026,48.67671716941338,12.641512333842735,10.065257192593297,18.85570224535399,17.944736922660134,11.737362401681306,35.23311534354489,7.276689344955306,10.356122660479363
CYP2S1,81.90214316260688,10605.330370203905,59.067539740683635,107099.36975387613,57.59840237336733,59.65685295445661,99.83625269696529,48.07929352006302,47.074479969723626,87.10769393388397,5398.451699231044,49.43691697558699,91.47332900359545,74.73351288105088,9719.298571267047,9534.458784070775,95.66917826436541,77.02739157237721,16548.266021525003,82.75651458089771,78.76363059961041,88.15435740223207,56.48310620700028,139.1679479629644,112.85040671515087,70.10178252561002,47.847203514255,50.46631808725138,67.01563379791735,80.08679978642758,60.1638270618039,71.80969046013512,55.830915915244645,89.02745663987025,630051.7817166052,75.27429466957835,60200.78332378353,60.12630566190392,74.33689241207927,98.51169691222502,69.99790044689553,110.47950834033237,28505.386063444337,62.89181461485004,9750.446546071393,91.75122517481422,86.4645600210302,55.77867354019024,64.47185585163793,35.980348080910844,45.285245187052695,54.01540787704653,85.66875418990101,73.1834780871086,81.35393375712842,74.82784518936582,232.0894544924605,68.50221837474388,70.25696123024395,99.37810758376692,92.20074652590942,55.81424014259425,81.21500375143364,54.729929725647565,93.25024942150628
CYP2W1,2.637817648666468,68.09999614128729,3.9150214468119486,1494.5511758696973,2.9614632664502487,3.1246455560677595,11.474624336830633,2.426793803564656,2.658363911508238,2.7497912628216032,107.82261432156879,1.8621297328291435,3.104767071449795,3.304973213740046,28.61915153687663,27.0407159974324,2.747272408538315,3.471453447730183,145.52366281187312,3.096441796271054,3.2999665709080137,3.0550961286596166,2.0287360265179473,9.6505452948848,2.964836995363118,2.567884554841119,2.1507659081959014,2.4952420111490494,2.57798306079328,3.1440217375356427,2.365176324917155,2.4964383491964623,2.6686746753245183,3.9765296839366684,26376.003423308317,2.6591010796623338,538.7581142292923,3.378559257836337,3.83963945955378,4.855933720019989,3.2890785211721645,3.185437877324382,1674.9899814600567,2.541679846758365,42.00448212817886,2.488594380925709,2.4726356457920273,2.452408634885181,2.8028511063589714,1.991262069538591,1.8948389203234568,2.233253771162175,1.7042984367162841,2.5523736987522385,2.885053125471387,2.550824469567887,3.6067178757752405,2.3912512575990723,2.054615325241774,3.3543292721952778,2.705666478771446,2.341088458364586,2.9084463417766617,2.37057887211797,3.379882777764392
CYP3A4,1.3111124725140009,9.333601964654623,1.2996426153425917,834.2867038766822,1.36857544282681,1.2781177289143313,1.44549400646747,1.2394071696337878,1.2751505912199546,1.2764089217698102,54.688077805582246,1.2899932688894216,1.3774000424961321,1.4120452288849434,7.871265170729908,11.619487294888623,1.3086739963090976,1.3611048396328675,101.5546831870036,1.3803721901469628,1.373427622292512,1.2660293369731206,1.2535285569161445,1.2969510091871719,1.5869726588897943,1.2688349950904028,1.1954339611432245,1.210893908294446,1.2599940658814284,1.3290073217982015,1.654188324993424,1.2951511002047529,1.3668260963200847,1.4492836633113373,1711.6774008988489,1.2388781998920948,250.0125695613047,1.3365420555161187,1.308725463423056,1.2927838475607631,1.2903898693046802,1.374893161260002,46.728825785551834,1.3369637211978584,8.016453726510184,1.409425010920656,1.3551114708501562,1.361356665298711,1.2450751202574941,1.193770438031756,1.1857810313134702,1.2268290879668895,1.208894166814717,1.3631969518894134,1.3037211617910585,1.4131250190746665,1.716830381862293,1.2542546825934577,1.3752151498682557,1.3964091492287791,1.2497367097678118,1.262220789222382,1.4355626382581872,1.2503450307955932,1.4628999711777406
