,Topic 1,Topic 2
GAGE2E,71.69093640655902,17903.08304138663
GAL,703.6859021759446,211899.8770285208
GALNT14,1637.4605933904384,470353.44883871585
GALP,9.108613985545178,1081.1898168841424
GAPDH,390583.57177438005,115374180.66627668
GAS2,334.93425360646563,47474.93911702922
GAST,418.40406891440114,107936.87100969185
GATA2,3096.594968252617,508218.7130970196
GATA3,738.3961523397818,146742.45908722735
GATA6,1951.540631516375,353422.7553962335
GBP1,11955.038013667061,1786765.777093717
GBP4,6724.635289284146,946992.3312098131
GBP5,3487.0723836967527,587528.8577017513
GBP6,3002.5183564416993,410110.3953865011
GC,232.58468844423203,40471.27372628039
GCG,170.36284671439634,24646.741037995347
GCLC,7523.1294888111825,2052096.0048835916
GCLM,4203.165905802185,1103265.0651058306
GCNT3,1786.3925968728386,265156.25660594634
GDA,427.341630810788,82970.70065284327
GDF10,2796.214078203416,320477.8223940792
GDF15,15174.461737902246,2233487.553656227
GDF6,40.02094286678576,8981.49667168922
GEM,7576.899836478045,1032723.8021941286
GFRA3,1180.235107137119,138275.78527901744
GFRA4,3.1481594228055125,394.0431082254339
GGH,3878.236835816895,1083127.0540424392
GGT1,7266.850125849255,1633342.5468615391
GGTLC1,11753.911995462795,1897594.6113598077
GGTLC3,462.1610864891721,97548.54051163282
GHRH,5.261444288118159,27269.72693025759
GHRL,466.78386002938566,55331.9178924815
GHSR,3.3762295906595114,1143.436971235861
GIF,45.63800844791044,5735.379191773302
GIMAP4,10057.865839068381,1434685.424081368
GIMAP5,11369.555008087062,1683765.7117464675
GIMAP6,4060.272935271819,715643.20744247
GIMAP7,6189.388913087997,967077.7762135174
GIMAP8,3150.3828822361106,488872.9376011559
GIP,29.259438554907963,3232.3465441199164
GJA1,15171.437270779246,3943211.0433806777
GJA4,3273.124457133755,549473.0631982912
GJA5,4249.568609307638,719368.9151530741
GJB1,1247.3163471027046,197690.95165994277
GJB2,3330.280415697824,1594535.1142363842
GJB3,1069.1474536162646,410162.3569375424
GJB5,917.4668912161542,365178.3434609485
GJB6,1474.683382867825,870558.3861784752
GJD2,2.347741197086892,477.07173683323026
GKN1,175.63922867468287,20993.481043464348
GKN2,13099.470285795673,2869341.622265937
GLB1L3,537.9462044114784,72648.6923877063
GLIPR2,10443.269132303654,1952215.0809306358
GLP2R,100.28007369730285,13541.820842638519
GLRA2,3.406407109970026,625.3399848684494
GLRA4,15.606885361128695,1809.481512725778
GLRX,15120.934440987754,2383065.6746352925
GLYATL2,289.8253872752552,64477.13283193969
GLYATL3,24.234623022620355,6971.407447185079
GMFG,20132.74194476035,3214159.2042055405
GMNC,45.249042201230274,12681.997301078283
GNA14,2283.2680569518566,235751.69896191577
GNAT3,5.239945200621726,1271.695549202258
GNG11,7364.920642399759,942675.691214802
GNG4,650.3029271660486,180572.03640466303
GNLY,10572.729775972957,1280914.9692101504
GNRH2,252.4838273929457,25029.68002844983
GNRHR,10.637919303154874,3109.3137426677376
GOLGA7B,66.69145007282395,10581.90993137092
GOLGA8A,3946.2385973890973,1043852.232471904
GOLM1,12045.466290470851,1825783.9962745719
GOLT1A,2529.841570318728,464442.39272360114
GP2,684.0090649810578,104096.89679127447
GPC1,6664.992030495341,2412498.214199927
GPC3,23977.634624856895,3018018.3891514773
GPD1,2445.3639911479827,456646.6504415726
GPIHBP1,3062.3399587997515,553308.9314968908
GPM6A,1881.6149738798727,386030.3112727713
GPNMB,35054.22996995693,10470836.292668898
GPR101,1.2416901443219492,211.6235671970372
GPR110,3589.5040284097454,451518.5201615552
GPR116,14912.994003273228,2680895.697269604
GPR128,171.09552836605113,21245.30872458503
GPR133,6925.337630741534,933086.8804985478
GPR139,1.100348449598888,71.15455238080041
GPR146,3001.176669836502,483856.9566497669
GPR15,253.41792005376416,48230.55315126156
GPR171,1443.0213695185234,200774.9423104304
GPR26,6.180846542811693,847.6412166779226
GPR87,1344.4052129707013,541272.3260326576
GPRIN2,1694.5583276145617,331382.3104513819
GPT2,2652.2551091750297,486981.0716791444
GPX2,25904.527673404747,6038007.624651786
GRAMD2,2134.89281002704,405496.8927163002
GRASP,4741.445008118337,996359.0905729063
GRB7,4517.857030094306,967775.4111615696
GREM1,2536.7936250343623,542246.8837265113
GRIA2,23.688120054610863,5059.5291777323755
GRK5,7863.190250091214,1084897.1310789653
GRP,1174.558007154445,156318.6253945532
GRTP1,1412.7859009878528,445784.33417750394
GRXCR1,1.4388570795155786,186.5283331382719
GSC2,1.9693199902505443,692.7747063691118
GSDMB,3646.4776781917917,531387.0275221084
GSG1,15.467701414684123,4676.58247326296
GSTA1,15379.70901747423,2403582.469519122
GSTA2,2091.3716560735925,279458.50803840836
GSTM1,5577.963280099257,2496949.058357622
GSTM2,8657.792747604666,2277790.5904787886
GSTM3,9408.799839368601,2827236.6027031364
GSTM4,3588.3543246878367,960014.6575068524
GSTM5,2486.7210563630365,328916.3108182985
GSTT1,11753.991036340869,2306739.8680709917
GSX1,1.4576087675167626,382.1768151152669
GTSF1,705.0349291935784,218538.36263553388
GUCA1A,33.78614305635217,14731.783093623762
GUCA1C,5.961103939933822,1091.4401196180045
GUCA2B,135.95599927194817,14626.134153892106
GUCY2C,44.321490380746546,6235.45226719943
GYPA,19.947184087805145,3204.5935484419056
GYPC,14515.978607225195,2095222.703408165
GZMA,3923.2703705582176,624670.6432458364
GZMB,3544.6168208423765,656385.4303097476
GZMH,2373.9430677851515,346900.53099640773
H1FOO,1.7861364378735876,328.2924170937773
H2AFB1,29.143587684045027,6288.551930143976
H2AFB2,62.3206916433643,10306.354556332853
H2AFB3,53.652869167639956,10964.84327177664
HABP2,900.6130080590674,120572.80875660342
HAO1,8.873543571163342,1051.1847173931992
HAS1,293.73782760959597,94232.88820540752
HAS3,2445.3999557491534,850169.4946584462
HBA1,174910.34076264614,16007257.367254302
HBA2,376558.18940531457,35132049.23838866
HBB,500122.729897148,44198960.41096517
HBE1,103.2531575427841,25244.330063316247
HBEGF,8863.300230084615,1531153.0449778626
HBG1,121.69776742075202,17320.063622337024
HBG2,1195.8200715277933,126719.64781418597
HCAR2,3689.7469883654417,543228.2384524256
HCAR3,1764.2348154407357,251815.92056012063
HCK,7719.760701155603,1423701.6804525915
HCST,10857.627696828298,1668612.521060368
HDGFL1,6.454034877252903,1305.740281835776
HEG1,5463.890347647779,1071227.595707203
HEPACAM2,200.80942700914818,35650.293969129525
HES3,2.0000688082305995,224.36275371792865
HES6,2872.1435450705785,519329.86171727447
HEY1,3274.854152714966,873639.014193786
HGD,2202.956670789384,256680.75325162304
HGF,2052.523172474712,265730.13281379186
HHATL,286.9397400809516,36766.664913336215
HHIP,2583.7444337384054,561703.6306526696
HHLA2,1583.8774693983382,198749.0047441259
HIF3A,2323.983460415774,380824.8740632449
HIGD1B,6065.923349211317,905077.4394759588
HILPDA,6112.210906083431,1477634.0116090544
HIST1H1A,28.403627766012264,3440.4634103500803
HIST1H1B,399.4916373508081,70751.4927018929
HIST1H1C,17940.580815684996,3235661.642549177
HIST1H1D,883.8978421820979,124436.50471299348
HIST1H1E,939.6269151789924,158570.23961040928
HIST1H2AA,2.1424199376845947,234.5070503795373
HIST1H2AB,140.51861061266757,19975.974365369722
HIST1H2AC,9419.119376434253,1460562.7876046617
HIST1H2AD,267.69970478069865,59419.162656453416
HIST1H2AE,1189.486029901281,285951.04430889065
HIST1H2AH,324.01122198836265,47069.31191262288
HIST1H2AI,494.0724228457948,107761.9881159253
HIST1H2AJ,186.8341841145361,35150.141028165905
HIST1H2AK,187.4731224572112,37744.180397645636
HIST1H2AL,191.84573929536697,32778.43856721028
HIST1H2AM,496.03199255355054,106529.94320190373
HIST1H2BA,9.59020297333471,1900.2225632833204
HIST1H2BB,140.04546532750857,19747.392830888242
HIST1H2BC,2297.13762588848,428489.61265481095
HIST1H2BD,7383.484963057877,1437558.4154612287
HIST1H2BE,362.8658475442777,61282.479640376085
HIST1H2BF,219.7638445195321,42246.14841082362
HIST1H2BG,1655.7838167254038,352886.7130107024
HIST1H2BH,677.5003496745088,249721.68125285365
HIST1H2BI,378.7145541954215,48358.63304862727
HIST1H2BJ,1431.047156289675,286313.5679904649
HIST1H2BL,212.4374367648145,36469.54807784289
HIST1H2BM,157.198928861068,25173.90064973947
HIST1H2BN,328.8462444307802,56217.703827776146
HIST1H2BO,316.4641552378734,65794.17585256964
HIST1H3A,118.97487980174019,18204.453644611218
HIST1H3B,231.34914018647703,44029.80650090053
HIST1H3C,215.40586329292785,34266.397636835456
HIST1H3D,569.52519897404,129074.53215733507
HIST1H3F,131.04055644045815,26345.2889414625
