,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
DUSP2,967.9679637961175,505583.630277631,788.689793661422,1089.4391237241327,676.3225162401644
DUSP4,1130.4679274157627,360706.2536625694,1006.7724305613066,1225.0887580627236,955.47670459862
DUSP6,9350.932729967793,3456555.521227194,5297.573860473674,9661.78375082482,7700.502365617559
DUXA,2.9683303785131585,2271.2428517124918,2.9609044644301363,5.5816320831719075,2.6798504840229844
DYDC2,471.7460859426308,165348.24347844007,331.4436731294628,516.4796814385254,188.445372770919
DYNAP,2.804660230027487,3206.692171884369,2.5445606197417576,2.861086015067594,2.319571608016945
DYNLRB2,838.918629554448,258077.57601243455,465.6198415934001,1189.0123511014524,307.2970151528909
EBLN1,1.5002687158591745,390.3897347229763,1.4346483627915014,1.6867307233296458,1.3752713255625917
ECE2,511.9453813551675,484943.1766377135,507.06261739115354,588.4368367452744,526.1094875974379
ECEL1,167.51213628435008,97609.53473355154,116.52963559363535,196.8407266001156,118.9153651495027
ECM1,4059.6512071709917,1313839.892212499,3084.8764433953534,4269.337748135106,2805.222096550752
ECSCR,8718.744410056735,2473417.5194925237,6555.898081246938,9092.107179287823,3836.8438343918992
EDIL3,1579.2997862275065,623735.7812606461,1639.9506353116255,1968.0486723718686,1358.2818333058829
EDN1,2663.1108887743185,1154314.8157871615,2967.4050692880032,4550.121861157579,2186.420597636196
EDN2,557.1602998629987,254966.1536475594,387.6933735984418,458.0942155660589,438.3977814454738
EDN3,33.24658306175712,22479.267073436713,21.126793246677572,41.720867954614754,18.185936388369072
EDNRB,2334.694739458579,954879.4584642876,1843.552619798542,3142.8235814146437,1213.5269125313353
EEF1A2,1428.1129866771378,674045.2802996222,2031.5963689752805,1322.4541955009106,1665.6848600681653
EFCAB1,804.5746435003822,299706.9217670898,663.2447480974396,1311.4230068206975,413.34039710334895
EFCAB4A,2741.9762650376288,928839.8860574441,2334.2205484513483,3470.550283497929,1559.1476500310885
EFCC1,654.5949313758379,265471.0546915004,668.5588755642829,1113.1864278641067,356.3833202288537
EFEMP1,17124.960176994326,4833293.448319811,15947.363933674791,20976.834075682873,8594.860276721001
EFHD1,900.7225183937823,367980.69565633824,898.9183231072097,886.5051286437317,782.221455560099
EFNA2,30.73444701059285,17288.54268079112,31.325616511990695,42.00841687574462,31.517582079158352
EFNB1,1630.7643988791442,1157932.922080555,1846.3949239446756,2528.669089686357,1469.861103426051
EGFL6,1459.6766082338245,639459.0247974804,1752.142051951381,1657.2795024117675,1262.6936026461015
EGFR,1688.112488617892,1081434.90290717,1363.9874400219157,1771.208235242496,863.1175146531082
EGLN3,2408.243051037473,1521546.9552217526,1440.0302337992202,2294.4007290435375,2208.053311990182
EGR1,12383.66593147287,6843028.870573763,10116.320672349188,16114.007694243306,7831.62083380852
EGR2,762.9513811637297,389781.09730381944,634.7867020137445,1000.6330777483587,677.2679362918766
EIF1AY,815.8394471823951,556797.5690790514,795.1759655779659,1387.5799866602192,856.8052988163408
EIF4E1B,18.279413238470376,4558.7889217516395,12.924740747272145,18.466761886777597,15.325674318227023
EIF4EBP1,5299.392222993617,3632767.183980397,3951.7477932860406,4906.719652324636,4365.108997988601
ELAVL3,13.322064714262263,4847.292787256209,8.99413001154054,10.96409755362591,9.364860924598313
ELF5,484.97791776099285,227386.33567802125,357.645516343985,441.45113898302196,311.31309369373776
ELN,6442.217620407602,2673885.252491062,5494.183450243809,9310.313949832684,4109.151523450893
