Cluster 1,Cluster 2
,TCGA-91-6830-01A-11R-1949-07
,TCGA-38-4625-01A-01R-1206-07
,TCGA-55-7281-01A-11R-2039-07
,TCGA-69-7974-01A-11R-2187-07
,TCGA-73-4670-01A-01R-1206-07
,TCGA-50-5932-01A-11R-1755-07
,TCGA-44-6145-01A-11R-1755-07
,TCGA-55-8615-01A-11R-2403-07
,TCGA-NJ-A4YF-01A-12R-A262-07
,TCGA-80-5607-01A-31R-1949-07
,TCGA-55-6982-01A-11R-1949-07
,TCGA-05-4403-01A-01R-1206-07
,TCGA-55-7576-01A-11R-2066-07
,TCGA-05-4427-01A-21R-1858-07
,TCGA-91-6847-01A-11R-1949-07
,TCGA-83-5908-01A-21R-2287-07
,TCGA-55-8619-01A-11R-2403-07
,TCGA-50-6590-01A-12R-1858-07
,TCGA-55-8299-01A-11R-2287-07
,TCGA-93-A4JP-01A-11R-A24X-07
,TCGA-MP-A4T6-01A-32R-A262-07
,TCGA-86-8074-01A-11R-2241-07
,TCGA-86-7953-01A-11R-2187-07
,TCGA-49-AARN-01A-21R-A41B-07
,TCGA-50-5055-01A-01R-1628-07
,TCGA-55-7903-01A-11R-2170-07
,TCGA-86-8278-01A-11R-2287-07
,TCGA-49-6745-01A-11R-1858-07
,TCGA-55-8620-01A-11R-2403-07
,TCGA-62-8397-01A-11R-2326-07
,TCGA-49-AAR3-01A-11R-A41B-07
,TCGA-62-8402-01A-11R-2326-07
,TCGA-67-6215-01A-11R-1755-07
,TCGA-97-8177-01A-11R-2287-07
,TCGA-05-5429-01A-01R-1628-07
,TCGA-86-7701-01A-11R-2170-07
,TCGA-97-7554-01A-11R-2039-07
,TCGA-64-1679-01A-21R-2066-07
,TCGA-69-A59K-01A-11R-A262-07
,TCGA-55-6984-01A-11R-1949-07
,TCGA-95-A4VN-01A-11R-A262-07
,TCGA-55-7284-01B-11R-2241-07
,TCGA-55-7727-01A-11R-2170-07
,TCGA-97-A4M1-01A-11R-A24X-07
,TCGA-49-6767-01A-11R-1858-07
,TCGA-J2-A4AG-01A-11R-A24H-07
,TCGA-55-8089-01A-11R-2241-07
,TCGA-55-8207-01A-11R-2241-07
,TCGA-75-7027-01A-11R-1949-07
,TCGA-86-7955-01A-11R-2187-07
,TCGA-75-5147-01A-01R-1628-07
,TCGA-86-8076-01A-31R-2241-07
,TCGA-80-5608-01A-31R-1949-07
,TCGA-50-5941-01A-11R-1755-07
,TCGA-L9-A5IP-01A-21R-A39D-07
,TCGA-62-8399-01A-21R-2326-07
,TCGA-49-AAR9-01A-21R-A41B-07
,TCGA-86-8279-01A-11R-2287-07
,TCGA-38-4630-01A-01R-1206-07
,TCGA-49-6742-01A-11R-1858-07
,TCGA-L4-A4E6-01A-11R-A24H-07
,TCGA-44-A4SU-01A-11R-A24X-07
,TCGA-55-7574-01A-11R-2039-07
,TCGA-86-8280-01A-11R-2287-07
,TCGA-55-1594-01A-01R-0946-07
