i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65
190,TCGA-44-6145-01A-11R-1755-07,4.692284848587202e-07,9.099450517522669e-05,4.692283176966431e-07,0.35759153653921727,4.692310296491539e-07,4.692269922105177e-07,4.6925416745680405e-07,4.692222645605311e-07,4.6922357357080106e-07,4.692343548824597e-07,0.021096320141651703,4.692201355894959e-07,4.692235808690623e-07,4.6922963384171783e-07,0.00011167633067567946,0.0016217980449873526,4.6924636234391225e-07,4.692253382787908e-07,0.22008425477703525,4.6925435602524833e-07,4.69225245007496e-07,4.692250005045847e-07,4.692683707580453e-07,4.6923137281864853e-07,4.692594252801455e-07,4.692259415929631e-07,4.6922188330758775e-07,4.6922100214898817e-07,4.6923454587939686e-07,4.692288850192385e-07,4.6922891028945555e-07,4.692266217680069e-07,4.692266548511002e-07,4.6922741700177954e-07,0.3163532769541364,4.692270583309038e-07,0.07558219084962406,4.6924136668160875e-07,4.692293353610465e-07,4.692309156428924e-07,4.692247322020141e-07,4.69231868574408e-07,0.007327834548472255,4.6922095155008207e-07,0.00011423959184272475,4.6923612409512514e-07,4.6922335468010304e-07,4.692195101238533e-07,4.6922486439818826e-07,4.6922030178871663e-07,4.6921917695985953e-07,4.692241442960921e-07,5.391446072976337e-07,4.6922766352109167e-07,4.692220693950318e-07,4.6922563051548795e-07,4.693208346832786e-07,4.692354980428527e-07,4.692267291704622e-07,4.6928627552278675e-07,4.6923281883378835e-07,4.6923203917742064e-07,4.692386596182503e-07,4.6922064329783867e-07,4.692301403607233e-07
191,TCGA-55-8615-01A-11R-2403-07,3.5945033539034174e-07,6.784195294118426e-07,3.594510024191158e-07,0.07869024747272013,3.5945385189770346e-07,3.5945132353900665e-07,3.594638762357025e-07,3.5944816865180427e-07,3.5944981919552277e-07,3.594552151842212e-07,0.0022791373781344843,3.5944673267255063e-07,3.594484197569227e-07,3.5945225978882235e-07,1.484921360923409e-06,0.00019332155097919168,3.5945789218167866e-07,3.594509501872538e-07,0.6361888474488377,3.594644212680693e-07,3.594486241002855e-07,3.5944924963980335e-07,3.594822404195163e-07,3.594518317081654e-07,3.594648761237225e-07,3.5944994537130565e-07,3.594482783937354e-07,3.59447626146252e-07,3.5945465723575983e-07,3.594527930486256e-07,3.594509012094603e-07,3.5945097033694074e-07,3.5945055416497963e-07,3.594501557468616e-07,0.08332260805321319,3.594509232075893e-07,0.19698293126034921,3.59456966796923e-07,3.5945049356362355e-07,3.594530279031117e-07,3.5945006217601855e-07,3.5945074221360455e-07,0.002319336974969351,3.5944729591703655e-07,1.631704807654043e-06,3.5945639759426653e-07,3.594491229691721e-07,3.5944587174810904e-07,3.594507169012356e-07,3.594465866714068e-07,3.5944721391566957e-07,3.594492641867052e-07,3.643013323887767e-07,3.594530732620931e-07,3.594473802054742e-07,3.5945109951227374e-07,3.5949348664781307e-07,3.594579623053417e-07,3.5944925131665876e-07,3.594953062970409e-07,3.5945322497931917e-07,3.5945545040590854e-07,3.5945557682889904e-07,3.594476276424609e-07,3.594526690279562e-07
192,TCGA-NJ-A4YF-01A-12R-A262-07,3.462278526485066e-07,5.888540502778697e-07,3.462289791724398e-07,0.05612270388833076,3.462315774321227e-07,3.462295688447083e-07,3.4623828206733623e-07,3.462266867952721e-07,3.4622789968643825e-07,3.462333494305784e-07,0.0006762552466059686,3.462255056680943e-07,3.4622627308463106e-07,3.4622923199344213e-07,2.0816376015611835e-06,0.00016016912934924658,3.4623486023461224e-07,3.462290871748708e-07,0.3669280114374874,3.4624061338306267e-07,3.462267679962852e-07,3.46226766855899e-07,3.462556939402497e-07,3.4622912812050305e-07,3.4623881801384434e-07,3.4622828856115687e-07,3.462273178762886e-07,3.462265338132136e-07,3.462333185077659e-07,3.462306777963866e-07,3.4622709671437515e-07,3.4622935806738803e-07,3.4622848212980335e-07,3.4622808875149345e-07,0.08806493518113707,3.462285712658641e-07,0.4875232865626514,3.46233596005757e-07,3.4622828583010004e-07,3.462311311488622e-07,3.462282694992527e-07,3.4622774546919847e-07,0.0005011545309463929,3.46225860589075e-07,1.7662593251089397e-06,3.4623363781027104e-07,3.4622794809311795e-07,3.462241867917449e-07,3.462291390077445e-07,3.4622545184865074e-07,3.4622650712628026e-07,3.462277983136084e-07,3.507603202713189e-07,3.4623147392140275e-07,3.462254675497996e-07,3.462296764063193e-07,3.462746104680726e-07,3.462360045286016e-07,3.4622718732939297e-07,3.462702711072459e-07,3.462308970829002e-07,3.462335889884606e-07,3.462320061432076e-07,3.4622642332829953e-07,3.4623035406518375e-07
193,TCGA-80-5607-01A-31R-1949-07,4.366236868524496e-07,0.0011719375081391823,4.3662438172242885e-07,0.31022245640765683,4.3662765578468405e-07,4.3662324266564143e-07,4.3664719660868013e-07,4.366188365135056e-07,4.366199710004438e-07,4.366328091642749e-07,0.013063581860339268,4.3661689966435973e-07,4.3661895176253385e-07,4.366252310472943e-07,0.001589486071341878,0.014348208593597091,4.366466385437092e-07,4.3662207979669005e-07,0.21902137170913608,4.3665423140925607e-07,4.3662109090409257e-07,4.3662105168775513e-07,4.366607950847165e-07,4.3662219445075575e-07,4.3665418543568063e-07,4.366230229422422e-07,4.366196822744906e-07,4.366185208499803e-07,4.3663389270427406e-07,4.3662449611338304e-07,4.3662324676424244e-07,4.366238308043918e-07,4.366232165396558e-07,4.3662374538274786e-07,0.1203755750545569,4.366237491994316e-07,0.3065634897830798,4.366363150896975e-07,4.366242165778596e-07,4.3662542655513157e-07,4.366216960863967e-07,4.366282610384704e-07,0.01203809652754694,4.366175024882189e-07,0.0015817670939809601,4.3663297217292585e-07,4.366196134728005e-07,4.366160512226848e-07,4.366220609843992e-07,4.3661592135126327e-07,4.3661655949302867e-07,4.3662011794614803e-07,4.5139524088740875e-07,4.3662437211205545e-07,4.366189499666809e-07,4.366232870287909e-07,4.367360156866199e-07,4.366340867640345e-07,4.3662073097077017e-07,4.36685006927678e-07,4.366307416463764e-07,4.366293166061341e-07,4.366343410353714e-07,4.3661756548685464e-07,4.3662572181236596e-07
194,TCGA-55-6982-01A-11R-1949-07,4.461393569776887e-07,3.565995354604608e-06,4.461403290588775e-07,0.40262770083211247,4.461437771876198e-07,4.461406291602665e-07,4.4617828725226814e-07,4.4613588936194767e-07,4.4613688166090276e-07,4.461452855642098e-07,0.004287403169715186,4.461340279208818e-07,4.461358348085603e-07,4.4614121750478507e-07,5.754261502749632e-06,0.001126738987148465,4.461529758236844e-07,4.461391722893846e-07,0.13575430878469139,4.461617315200384e-07,4.461368784993991e-07,4.4613733123022753e-07,4.461776360549441e-07,4.461403482989444e-07,4.4615869210875817e-07,4.4613945873249624e-07,4.4613535560870475e-07,4.461351953231937e-07,4.46146259993719e-07,4.4614158188877755e-07,4.461388480481465e-07,4.4613986282825817e-07,4.4613988398633863e-07,4.461401030819947e-07,0.18687905306358812,4.461395194301152e-07,0.2522016511087135,4.461504342138109e-07,4.4614029776827774e-07,4.4614214923575776e-07,4.461380737881886e-07,4.461435663355618e-07,0.01708270409562477,4.461346981317458e-07,6.5710785668881005e-06,4.461486485738895e-07,4.461366833616138e-07,4.461329188807714e-07,4.461391841851325e-07,4.4613316517699895e-07,4.4613383824596083e-07,4.4613694299452417e-07,4.568141720401554e-07,4.4614130538040373e-07,4.4613551642304085e-07,4.461393473633667e-07,4.462098440040611e-07,4.4614796333424225e-07,4.461377132134437e-07,4.4619780243171044e-07,4.461451931211096e-07,4.46146397142771e-07,4.461483686000335e-07,4.4613433004142226e-07,4.4614207658125885e-07
195,TCGA-05-4403-01A-01R-1206-07,3.3732371273511927e-07,0.0007230545061209537,3.3732365898254815e-07,0.26396944045411375,3.3732575497881165e-07,3.373228351634884e-07,3.3736191107275494e-07,3.373199993218554e-07,3.3732031991245756e-07,3.373292405696694e-07,0.018426340995111895,3.3731768506237177e-07,3.3732098829737727e-07,3.3732525775344795e-07,0.0008117922186829917,0.005282896712382502,3.373402622370364e-07,3.3732231852282383e-07,0.49991110849354325,3.37346306689239e-07,3.3732151998372454e-07,3.3732178969042173e-07,3.3738207821563557e-07,3.3732534872864345e-07,3.3735029170225033e-07,3.3732194034038877e-07,3.37319695158762e-07,3.3731882124503257e-07,3.37330106913433e-07,3.3732410214997635e-07,3.373253383412972e-07,3.3732273113748437e-07,3.373232828871439e-07,3.373237371911045e-07,0.11669251038237308,3.373238031495361e-07,0.07616943731960213,3.3733263919983806e-07,3.3732419286338764e-07,3.3732455517910846e-07,3.373215307141415e-07,3.3732818347779386e-07,0.0171864293818682,3.373190365387898e-07,0.0008084270757200365,3.373308745826773e-07,3.3731992614223547e-07,3.373179129347732e-07,3.3732180309402164e-07,3.3731703275797377e-07,3.3731727329359984e-07,3.373204588359133e-07,3.467071048815944e-07,3.3732311794414266e-07,3.373199883384951e-07,3.3732241414215153e-07,3.374066520664914e-07,3.3732998038166336e-07,3.373223678628722e-07,3.373662458938677e-07,3.3732795934630855e-07,3.3732779826744157e-07,3.3733293076288346e-07,3.3731819043349384e-07,3.3732547305945367e-07
196,TCGA-55-7576-01A-11R-2066-07,4.4671059096136093e-07,0.0002513961218491463,4.4671190650716435e-07,0.26089237650177993,4.467151825528571e-07,4.4671121334436216e-07,4.467255984949925e-07,4.467070986117117e-07,4.46708757826632e-07,4.467197522940249e-07,0.0032047118672793346,4.467051564445794e-07,4.467073046003114e-07,4.467120922118608e-07,0.00039954270804237074,0.004345313100946982,4.467295278356155e-07,4.46710546765246e-07,0.10174485460201614,4.4673818164693095e-07,4.4670855960695106e-07,4.467083656361976e-07,4.4674231182750085e-07,4.4670921268980707e-07,4.467352571255027e-07,4.467100065456341e-07,4.467083183388298e-07,4.467071508403881e-07,4.467204444291035e-07,4.4671269375716305e-07,4.4670961288283754e-07,4.46711631125664e-07,4.467104139680509e-07,4.4671107974990686e-07,0.12368462087544566,4.4671097657046584e-07,0.5027684453553243,4.467212926047632e-07,4.4671056118956563e-07,4.467127470452084e-07,4.467099814225063e-07,4.467131574854774e-07,0.002231065292254049,4.467060990348873e-07,0.0004530975864617145,4.467196341745956e-07,4.467083989057113e-07,4.46704007455172e-07,4.4671037628699683e-07,4.4670488467029437e-07,4.4670566607353745e-07,4.4670826891571903e-07,4.533605945702145e-07,4.4671375527853977e-07,4.467064915063355e-07,4.467111866072533e-07,4.468090996748193e-07,4.4672121600349595e-07,4.467081080912882e-07,4.467212464032494e-07,4.467169519064808e-07,4.467172601352363e-07,4.467192009726662e-07,4.4670638933009974e-07,4.4671307947114567e-07
197,TCGA-05-4427-01A-21R-1858-07,5.92770822853879e-07,2.2685909010111436e-05,5.927722148475681e-07,0.41333297325442575,5.927766458826077e-07,5.927714322865609e-07,5.927907328897576e-07,5.927663014581401e-07,5.927678003748356e-07,5.927799150832738e-07,0.006483121854940043,5.927634801407339e-07,5.927662123344835e-07,5.927732726440053e-07,4.287931112747836e-05,0.002367816388956352,5.92791736156597e-07,5.927704464225783e-07,0.1067970336822588,5.928030308921442e-07,5.927675150946537e-07,5.927678307588914e-07,5.930585561366068e-07,5.927681233154635e-07,5.928028457071075e-07,5.927698305510035e-07,5.927665147633285e-07,5.92765480185588e-07,5.927799681664072e-07,5.92773293863536e-07,5.927704905974566e-07,5.92771140662162e-07,5.927707112436841e-07,5.92771359998735e-07,0.14566849521174183,5.927710947400602e-07,0.3227836228656358,5.927837567318477e-07,5.927712373495085e-07,5.927733298343094e-07,5.927689388610646e-07,5.927737153200688e-07,0.002419962756908957,5.9276477257595e-07,4.879438847796654e-05,5.927833975067093e-07,5.927671122088999e-07,5.92762217879565e-07,5.927704178485875e-07,5.927629330886249e-07,5.927634076746623e-07,5.927672920510255e-07,6.042145293632326e-07,5.92774329116267e-07,5.927655198190107e-07,5.92770731271431e-07,5.92873347586762e-07,5.927826782591734e-07,5.927681956026408e-07,5.927985746105332e-07,5.927776044166804e-07,5.927798742179147e-07,5.927807910675758e-07,5.927645064942228e-07,5.927745061021299e-07
198,TCGA-91-6847-01A-11R-1949-07,5.819832579989655e-07,7.004949215258009e-07,5.819855229590227e-07,0.14058351147203685,5.819903922199184e-07,5.819866550314923e-07,5.82144086446533e-07,5.819816410643419e-07,5.8198268280846e-07,5.81991675274387e-07,0.0013451498305477878,5.819787595493059e-07,5.81980556066813e-07,5.819858995914097e-07,8.926812248363933e-07,5.103016514343049e-05,5.819944538829705e-07,5.819850088048398e-07,0.07450144850164415,5.820104793713882e-07,5.819816884625962e-07,5.81982013757357e-07,5.82034224072101e-07,5.819915822570077e-07,5.820012887404145e-07,5.81983801685232e-07,5.819811919142182e-07,5.819798276944694e-07,5.819909685652764e-07,5.81988741181449e-07,5.819820921280379e-07,5.819852696979194e-07,5.819848293511981e-07,5.819843679257559e-07,0.4996699261752565,5.819841477066604e-07,0.2828975522597849,5.819973585850742e-07,5.819853836719845e-07,5.819910978723202e-07,5.819832458286151e-07,5.819846903320757e-07,0.0009167903775307424,5.819799645265993e-07,9.777007508015294e-07,5.819952256934893e-07,5.819835167924736e-07,5.819767995188093e-07,5.819850078086417e-07,5.819788478666095e-07,5.819799445564186e-07,5.819836398838223e-07,5.927579706801657e-07,5.819881767504378e-07,5.819795052624384e-07,5.819852246157655e-07,5.820545484973821e-07,5.81994321305059e-07,5.819828141137948e-07,5.820352847105775e-07,5.81988118254927e-07,5.819931677300582e-07,5.819919372118042e-07,5.819801841898943e-07,5.819880757385636e-07
199,TCGA-83-5908-01A-21R-2287-07,5.9078471596253e-07,1.1973698231559532e-06,5.907860029811263e-07,0.5983348077075056,5.907897137279289e-07,5.907860229936332e-07,5.908173714198024e-07,5.907812357771136e-07,5.907812882598387e-07,5.907907739361786e-07,0.004425041909627128,5.907780798063205e-07,5.907809502745984e-07,5.90787606286799e-07,1.7269799526576479e-06,0.00020920029549254053,5.907997111728575e-07,5.907852432861734e-07,0.028518384329179212,5.908098923353044e-07,5.907813681132847e-07,5.907825145613741e-07,5.908319532019243e-07,5.907860440428456e-07,5.908067406814733e-07,5.907837072287099e-07,5.907797854892164e-07,5.907789927484577e-07,5.907898855095425e-07,5.907874885664486e-07,5.90784941676642e-07,5.907841953348741e-07,5.907855016043377e-07,5.90785561036745e-07,0.2338118381798154,5.907846246514214e-07,0.13012005748793096,5.907965422529683e-07,5.907860153977987e-07,5.907908105779269e-07,5.907825869000296e-07,5.907877707507253e-07,0.004543440551831884,5.90779509768736e-07,1.8019890781190978e-06,5.907970475697631e-07,5.907813867034676e-07,5.907776643672362e-07,5.907841812626861e-07,5.90777330119063e-07,5.907772898505252e-07,5.907814871824403e-07,6.005146992188885e-07,5.907870671298286e-07,5.90780003421589e-07,5.90784550486171e-07,5.908540800905403e-07,5.907939238868978e-07,5.907826547219804e-07,5.908675972629573e-07,5.907896446974139e-07,5.907935225043998e-07,5.907930802994848e-07,5.907785779704043e-07,5.90788826187304e-07
200,TCGA-55-8619-01A-11R-2403-07,2.658656934651586e-07,0.007087706914930227,2.658659397016191e-07,0.16163357908856762,2.6586777471356185e-07,2.658649138952046e-07,2.6587986919665077e-07,2.658624816361719e-07,2.658633577758785e-07,2.658717910073442e-07,0.012901778383914826,2.658613503728044e-07,2.658632040825398e-07,2.658665544576638e-07,0.008529895448846875,0.028726303109385464,2.658806786397841e-07,2.6586472791923374e-07,0.22790572781405688,2.658850110846349e-07,2.6586427420706294e-07,2.6586410215111584e-07,2.659258038512764e-07,2.6586637454934805e-07,2.6588550281080196e-07,2.658648569846935e-07,2.6586328098752904e-07,2.65862420219735e-07,2.6587276364446925e-07,2.6586601538609253e-07,2.658653974569142e-07,2.658657295867553e-07,2.6586510035102665e-07,2.658654271819246e-07,0.05881009610054924,2.6586556393867575e-07,0.47067113107011554,2.658731188538817e-07,2.658658400589792e-07,2.6586629559497547e-07,2.6586465469671877e-07,2.6586839262959935e-07,0.014903427740548196,2.658618380382913e-07,0.008815704631130324,2.658708500118189e-07,2.658630659260012e-07,2.6586077372614104e-07,2.65864328566697e-07,2.65860834306699e-07,2.658614558280653e-07,2.658633204754552e-07,2.9252197644027814e-07,2.6586597617043293e-07,2.6586244772677667e-07,2.658655993744467e-07,2.659373780291677e-07,2.6587221865359093e-07,2.6586428449044595e-07,2.6609742214583827e-07,2.658701599391312e-07,2.658688829432676e-07,2.6587268559618275e-07,2.658619459975081e-07,2.658662472705433e-07
201,TCGA-50-6590-01A-12R-1858-07,5.686634849837203e-07,9.155532618453193e-07,5.686534919565812e-07,0.35563424674789496,5.687260595027975e-07,5.686503663037153e-07,5.68700301817831e-07,5.686711169139611e-07,5.686646695456832e-07,5.686571615538057e-07,0.0031122911517851336,5.686398606471199e-07,5.686482307626722e-07,5.686817047931841e-07,1.1232226953320273e-06,0.00015913807200181883,5.686580445259204e-07,5.686904708436161e-07,0.015845697361563063,5.686752919997904e-07,5.68648469121915e-07,5.686403086378182e-07,5.688022738384524e-07,5.68655084220691e-07,5.686702878839331e-07,5.686497390106003e-07,5.686715852509448e-07,5.686514606838515e-07,5.686594420891979e-07,5.688110127002203e-07,5.68687394804013e-07,5.68657357649157e-07,5.686674476946651e-07,5.686792013940016e-07,0.4366466158736158,5.686492236326526e-07,0.18709107990729143,5.686663368026484e-07,5.686593321207585e-07,5.687541710223577e-07,5.686931417527502e-07,5.686419330637145e-07,0.0014716007061286885,5.686607553569686e-07,1.3506311305007645e-06,5.686587083114659e-07,5.686576025873711e-07,5.686426301301866e-07,5.689829065095999e-07,5.686378191405832e-07,5.688792690974894e-07,5.686790091535254e-07,5.852402538138501e-07,5.686772425426509e-07,5.686534578182798e-07,5.702843926309927e-07,5.687679181272859e-07,5.690771715449281e-07,5.694102406941091e-07,5.212278546905987e-06,5.686519368582233e-07,5.68693335554557e-07,5.686928409323369e-07,5.688880599205613e-07,5.686630741978314e-07
202,TCGA-55-8299-01A-11R-2287-07,3.7030371050603504e-07,7.3045842129691304e-06,3.703044181152335e-07,0.2715459285622069,3.7030625851436676e-07,3.7030365730184395e-07,3.703181890028178e-07,3.703001170787989e-07,3.7030117565882673e-07,3.703086185471944e-07,0.01454672611422422,3.70298284990105e-07,3.7030006445332446e-07,3.7030457399667836e-07,1.2127394792014189e-05,0.0017508946740698234,3.7031590405837514e-07,3.7030232933242597e-07,0.14179115766007352,3.7032312868906756e-07,3.70301873723527e-07,3.703013891159777e-07,3.7046123584810003e-07,3.703016679490526e-07,3.703223765817144e-07,3.703024895292154e-07,3.702996673761502e-07,3.702990475809778e-07,3.7030826440862996e-07,3.703047081922712e-07,3.7030239577818344e-07,3.70302825282102e-07,3.703031758964387e-07,3.703037982877788e-07,0.35737490344932915,3.703027640562602e-07,0.20753196837396287,3.703138586766211e-07,3.703051228486687e-07,3.703058745625235e-07,3.703014192050037e-07,3.703071528560732e-07,0.005404507337136771,3.7029886236179956e-07,1.3952261006089142e-05,3.703109368449171e-07,3.703009808887779e-07,3.702973577558631e-07,3.7030189798695154e-07,3.7029866962114585e-07,3.7029793329245554e-07,3.703017543736876e-07,5.329090176112899e-07,3.7030458762622246e-07,3.702994677231529e-07,3.703023391507456e-07,3.703703847072549e-07,3.7030976149418715e-07,3.7030302646286326e-07,3.703097501303626e-07,3.703077949953725e-07,3.703078355587628e-07,3.703105127976554e-07,3.7029896806203917e-07,3.70305608264194e-07
203,TCGA-93-A4JP-01A-11R-A24X-07,3.552838692379046e-07,0.019556915075338924,3.552845214647054e-07,0.27914123198147284,3.552863022888407e-07,3.5528383800364006e-07,3.553090283718824e-07,3.552818805995808e-07,3.5528090990661044e-07,3.552913953836306e-07,0.04156678571720337,3.5528441692343613e-07,3.5527932003046715e-07,3.552847714171652e-07,0.020755297927989167,0.05723361172772697,3.553048756453226e-07,3.552809169080026e-07,0.07307789923124137,3.5531177765131355e-07,3.5528130097725383e-07,3.5528116675361616e-07,3.554408063111159e-07,3.5528180451454586e-07,3.553133563189944e-07,3.552825671218574e-07,3.552800341503528e-07,3.5527883859080094e-07,3.5529289813881026e-07,3.5528496201328427e-07,3.5528430564744534e-07,3.552831098532692e-07,3.552823797300226e-07,3.552828618998685e-07,0.07231234332675952,3.552832926335571e-07,0.3593599831699553,3.5529537450114774e-07,3.552847019706197e-07,3.5528414535273405e-07,3.552816902556292e-07,3.552870318703833e-07,0.05491683672870912,3.5527756287167566e-07,0.022000637395156755,3.5529125463806526e-07,3.552792407393426e-07,3.552774450074632e-07,3.5528292989907844e-07,3.552862194387466e-07,3.5527983307174567e-07,3.552815221101509e-07,5.927197375377984e-05,3.552833827395057e-07,3.55278956607711e-07,3.5528238648646983e-07,3.553857331693362e-07,3.552917159394952e-07,3.5528513635732496e-07,3.5533208583330094e-07,3.5528967063510374e-07,3.552869673544604e-07,3.5529421574464095e-07,3.5527960252890217e-07,3.552843792210296e-07
204,TCGA-MP-A4T6-01A-32R-A262-07,4.945009776468448e-07,0.00047493341052922745,4.945019608369877e-07,0.27862908519239127,4.945052418007455e-07,4.945005268225011e-07,4.945304568964836e-07,4.944960217144589e-07,4.944977374397465e-07,4.945101398062902e-07,0.011889406954204472,4.944939798465761e-07,4.944964105640834e-07,4.945027642662169e-07,0.0005528386652797389,0.009377998139272866,4.945233517205251e-07,4.944999060080944e-07,0.32848419346272273,4.945315460963884e-07,4.944981028637359e-07,4.944992654300443e-07,4.94538947371222e-07,4.945017926484844e-07,4.945283744201162e-07,4.945006021511744e-07,4.944964605411434e-07,4.944957470296492e-07,4.945111647698182e-07,4.945028871755462e-07,4.944993383780965e-07,4.945025796766997e-07,4.945011785715044e-07,4.94501168670923e-07,0.054868594793550586,4.945011277678844e-07,0.30342796545156786,4.945146773271653e-07,4.945024861242558e-07,4.945032642917876e-07,4.944990133098257e-07,4.945102184070913e-07,0.011654984867342276,4.944947483359898e-07,0.0006127911341271099,4.945113452266274e-07,4.944968358416176e-07,4.944929206102568e-07,4.944996194063325e-07,4.944927879905021e-07,4.944936217694263e-07,4.944973824771289e-07,5.045321429825595e-07,4.9450243868599e-07,4.944961011041858e-07,4.945008697824819e-07,4.946133687616007e-07,4.945126146414559e-07,4.944981159629042e-07,4.945686100865542e-07,4.945086569747726e-07,4.945080918337716e-07,4.945116247252185e-07,4.94494957533172e-07,4.945027386004935e-07
205,TCGA-86-8074-01A-11R-2241-07,6.028640748736051e-07,4.57367144199443e-06,6.028652261141446e-07,0.5741517429858283,6.028693205483032e-07,6.028643475668946e-07,6.028938547922995e-07,6.028593978934134e-07,6.028605237381375e-07,6.028705609897299e-07,0.010485518607436153,6.02856465149505e-07,6.028595669956249e-07,6.028664780581928e-07,5.9596000456107604e-06,0.0007053227950753022,6.028813247008353e-07,6.028631197817468e-07,0.07339664380278062,6.028937402225979e-07,6.028607137255486e-07,6.028618994508163e-07,6.029137574057135e-07,6.028627076111352e-07,6.028891093356622e-07,6.028637049487023e-07,6.028581351110996e-07,6.028576482518086e-07,6.028697080345016e-07,6.028663728034881e-07,6.028632451134268e-07,6.028647494161981e-07,6.028645079764753e-07,6.028647664901149e-07,0.23623520099684386,6.028636232856525e-07,0.10080212037480533,6.028784137197766e-07,6.028660708711144e-07,6.028671468548155e-07,6.02860913149497e-07,6.028709766364707e-07,0.004173377064342599,6.028578280497442e-07,6.366414147893526e-06,6.028765049414237e-07,6.028597430121621e-07,6.028556118487379e-07,6.028631188449062e-07,6.028557919730183e-07,6.02855520858532e-07,6.028604168686433e-07,6.187181701541908e-07,6.028661397645439e-07,6.02859078386147e-07,6.028629063211332e-07,6.029552186571402e-07,6.028739624366719e-07,6.028624740117081e-07,6.02927243081482e-07,6.028703809529781e-07,6.028726175131268e-07,6.028738245813921e-07,6.028569689336054e-07,6.028675593308173e-07
206,TCGA-86-7953-01A-11R-2187-07,6.366503748182197e-07,4.031362550238389e-06,6.366520165458714e-07,0.4044648471175115,6.366572942076414e-07,6.366517065170384e-07,6.366810406897789e-07,6.366453936429343e-07,6.366471035639517e-07,6.366585813708612e-07,0.007281569240851015,6.366430505718316e-07,6.366456404809164e-07,6.366532874304496e-07,5.055305865450485e-06,0.000700952439403496,6.366686715900926e-07,6.366501637793451e-07,0.16657876808926333,6.366812825126155e-07,6.366473796313796e-07,6.366480073227755e-07,6.367124437705691e-07,6.366499586708771e-07,6.366803336196687e-07,6.366496233141999e-07,6.366446019133702e-07,6.366439270802942e-07,6.366579643268832e-07,6.366536495822593e-07,6.366506695481642e-07,6.366503910143618e-07,6.366504261407402e-07,6.366503327380918e-07,0.24239605113319485,6.366505595341666e-07,0.17360863909834715,6.366661212398467e-07,6.366517269755106e-07,6.366544159682563e-07,6.366484252782399e-07,6.366530004346808e-07,0.004919007947329798,6.366436973869876e-07,6.023302313123347e-06,6.366629012586905e-07,6.366462045745504e-07,6.366415742672928e-07,6.366497640134782e-07,6.366423687763507e-07,6.366420553498823e-07,6.366468947113251e-07,6.754839471732394e-07,6.366534691999566e-07,6.366449390656466e-07,6.366498978003598e-07,6.367483557963456e-07,6.366622475851264e-07,6.366491283522892e-07,6.367205976407865e-07,6.366577985851859e-07,6.3665893611811e-07,6.36661646279926e-07,6.366432404503373e-07,6.366541398599309e-07
207,TCGA-49-AARN-01A-21R-A41B-07,2.876105991311559e-07,5.581747974590139e-06,2.876091213834452e-07,0.16660890126023367,2.876118740361881e-07,2.8760931101715555e-07,2.876415459776491e-07,2.876063590376336e-07,2.876064494308779e-07,2.8761182117354377e-07,0.5652144304611565,2.8760596846087386e-07,2.87606446326687e-07,2.876095810129121e-07,7.480572287146068e-06,0.0003293797657160064,2.876358476145072e-07,2.8760829195531384e-07,0.11053038058464683,2.8762096424565626e-07,2.8760631786538296e-07,2.876069081690432e-07,2.8763050354907366e-07,2.8761014331717165e-07,2.8763335240065174e-07,2.8760807456497613e-07,2.876052870038173e-07,2.876049644238308e-07,2.876123887088435e-07,2.8761052963330867e-07,2.876066143887528e-07,2.876082513638353e-07,2.8760845012756846e-07,2.8760827113837225e-07,0.08031452260403928,2.876089822734942e-07,0.05887758323053455,2.8761810095946e-07,2.8760891638248266e-07,2.8761106235858643e-07,2.8760712257866576e-07,2.8761119160556037e-07,0.018087411096792815,2.8760513004764463e-07,8.504317355210687e-06,2.876153787598175e-07,2.876065089986911e-07,2.8760525692535413e-07,2.8760818376689944e-07,2.876042117435828e-07,2.876041108903591e-07,2.876064541375372e-07,2.932938322746717e-07,2.8760926158097586e-07,2.876060914163553e-07,2.8760765496167794e-07,2.8765343535215964e-07,2.8761397930188244e-07,2.8760842496953516e-07,2.876392655441632e-07,2.87611309238486e-07,2.8761244264883606e-07,2.876133348987489e-07,2.8760514836852677e-07,2.8761023412148704e-07
