i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
18,e54638eb-8b35-4cf1-af4e-3411dfbd1ba2.FPKM.txt.gz,0.20648967551622419,0.011799410029498525,0.4690265486725664,0.2581120943952802,0.029498525073746312,0.025073746312684365
19,c8c58445-3c7f-4c98-85b0-6a707c3d8473.FPKM.txt.gz,0.22549019607843138,0.004901960784313725,0.5261437908496732,0.18790849673202614,0.03104575163398693,0.024509803921568627
20,c3ed7c7a-b80a-4de2-8dfb-b60bcf336375.FPKM.txt.gz,0.2194767441860465,0.014534883720930232,0.4578488372093023,0.25290697674418605,0.027616279069767442,0.027616279069767442
21,24d7f10a-ac34-4f7e-8424-d2fc0d32ac58.FPKM.txt.gz,0.22429906542056074,0.009345794392523364,0.5046728971962616,0.2102803738317757,0.03115264797507788,0.020249221183800622
22,e6981360-42ea-402a-aead-f6f2b31ef30c.FPKM.txt.gz,0.23015873015873015,0.006349206349206349,0.5063492063492063,0.1984126984126984,0.03333333333333333,0.025396825396825397
23,ad778372-ad13-4d11-ac15-900de7d9637a.FPKM.txt.gz,0.18555008210180624,0.006568144499178982,0.5188834154351396,0.2413793103448276,0.016420361247947456,0.031198686371100164
24,3067f41a-e3f1-47f5-9545-56d54fa75b98.FPKM.txt.gz,0.22188905547226387,0.005997001499250375,0.4962518740629685,0.22338830584707647,0.031484257871064465,0.020989505247376312
25,63b48baa-7826-4b1e-ae67-7cdbd36a4e92.FPKM.txt.gz,0.1989342806394316,0.017761989342806393,0.5541740674955595,0.17761989342806395,0.035523978685612786,0.015985790408525755
26,720b9121-0bc4-4ff8-8a36-f146fea4da3c.FPKM.txt.gz,0.2079866888519135,0.0033277870216306157,0.5241264559068219,0.2079866888519135,0.033277870216306155,0.02329450915141431
27,2656413d-a5d2-4812-9ce9-a02c15ab04bd.FPKM.txt.gz,0.1951219512195122,0.014227642276422764,0.5223577235772358,0.21341463414634146,0.024390243902439025,0.03048780487804878
28,8e5a3c88-35f5-4620-86d7-53c014a2687b.FPKM.txt.gz,0.2191780821917808,0.0017123287671232876,0.535958904109589,0.1952054794520548,0.02910958904109589,0.018835616438356163
29,915d5363-e343-4154-86cb-dbef1a586192.FPKM.txt.gz,0.15689981096408318,0.003780718336483932,0.499054820415879,0.2835538752362949,0.01890359168241966,0.03780718336483932
30,7c4cee3c-a8d6-4016-84e3-106d18d1c2e8.FPKM.txt.gz,0.20491803278688525,0.00819672131147541,0.4885245901639344,0.24262295081967214,0.03114754098360656,0.02459016393442623
31,3ab61b3d-13bd-4fca-ac15-f70acbce447c.FPKM.txt.gz,0.16520210896309315,0.0017574692442882249,0.5483304042179262,0.2460456942003515,0.01054481546572935,0.028119507908611598
32,2d3e6de2-dc7c-4078-8d1c-aecac52b4a44.FPKM.txt.gz,0.24019607843137256,0.006535947712418301,0.46895424836601307,0.22712418300653595,0.021241830065359478,0.03594771241830065
33,00511204-3512-4a5e-b664-60271e968903.FPKM.txt.gz,0.24853228962818003,0.003913894324853229,0.49510763209393344,0.2035225048923679,0.015655577299412915,0.033268101761252444
34,f1d5de66-76f3-4911-a877-3571069649a8.FPKM.txt.gz,0.23400936037441497,0.0046801872074883,0.49297971918876754,0.21060842433697347,0.029641185647425898,0.028081123244929798
35,e3067466-096f-4bea-993f-b0469a7e11e3.FPKM.txt.gz,0.18929254302103252,0.0057361376673040155,0.5602294455066922,0.1950286806883365,0.03824091778202677,0.011472275334608031
36,67418961-d894-42a9-ae6a-21f41e6ca9bf.FPKM.txt.gz,0.20607028753993611,0.004792332268370607,0.5143769968051118,0.1645367412140575,0.03035143769968051,0.07987220447284345
37,96ddce60-2be5-4f57-814b-35722aa00fd9.FPKM.txt.gz,0.2180232558139535,0.00872093023255814,0.4694767441860465,0.24709302325581395,0.029069767441860465,0.027616279069767442
38,e8201ee9-2e0a-4a8e-bc99-6e2482da919d.FPKM.txt.gz,0.18835616438356165,0.011986301369863013,0.5308219178082192,0.20376712328767124,0.03595890410958904,0.02910958904109589
39,bf247059-bf60-4e1f-a865-6e715e2db9a2.FPKM.txt.gz,0.15228426395939088,0.00338409475465313,0.5363790186125211,0.25380710659898476,0.02030456852791878,0.0338409475465313
40,e91a54c8-5b35-47e6-a65d-0e3b07b31d40.FPKM.txt.gz,0.2366412213740458,0.00916030534351145,0.46564885496183206,0.22748091603053436,0.02748091603053435,0.03358778625954199
41,7f2c3de9-a1b9-413a-821c-02dbcad4ea0b.FPKM.txt.gz,0.22036474164133737,0.0121580547112462,0.4726443768996961,0.23404255319148937,0.030395136778115502,0.030395136778115502
42,d6bbcaba-61a7-4360-bc15-1426f8eafa82.FPKM.txt.gz,0.21061359867330018,0.001658374792703151,0.5373134328358209,0.20066334991708126,0.03482587064676617,0.014925373134328358
