,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
ENSG00000197249,0.008244834255080921,0.0,0.0,0.0,0.0,0.0
ENSG00000114378,0.0,0.0,0.0,0.0023129471249529344,0.0,0.0
ENSG00000052802,0.0,0.0,0.0032718150005488725,0.0,0.0,0.0
ENSG00000136059,0.005333695246496794,0.0,0.0,0.0,0.0,0.0
ENSG00000060558,0.0,0.0,0.003127233977611361,0.0,0.0,0.0
ENSG00000188761,6.785871814881417e-05,0.0,0.0,0.0,0.0,0.0
ENSG00000124102,0.0,0.0,0.0,0.00298531547522995,0.0,0.0
ENSG00000064989,0.0,0.0,0.003140621109364834,0.0,0.0,0.0
ENSG00000101447,0.0,0.0,0.0028461042107884218,0.0,0.0,0.0
ENSG00000171557,0.0,0.0,0.0,0.0,0.0,0.005325009181050312
ENSG00000103316,0.0014182472093102162,0.0,0.0,0.0,0.0,0.0
ENSG00000101670,0.0,0.0,0.0,0.0005042762627077618,0.0,0.0
ENSG00000169469,0.0,0.0,0.0,0.0007059867677908665,0.0,0.0
ENSG00000099864,0.007708750381705289,0.0,0.0,0.0,0.0,0.0
ENSG00000162772,0.008020900485189835,0.0,0.0,0.0,0.0,0.0
ENSG00000042832,0.0,0.0,0.0,4.7065784519391105e-05,0.0,0.0
ENSG00000059915,0.0,0.039420756234915526,0.0,0.0,0.0,0.0
ENSG00000176894,0.0,0.0,0.003266460147847483,0.0,0.0,0.0
ENSG00000196083,0.0,0.0,0.0,0.0027970523371523854,0.0,0.0
ENSG00000229314,0.0,0.0,0.0,0.0,0.0,0.01995348267841841
ENSG00000153234,0.007803752587113629,0.0,0.0,0.0,0.0,0.0
ENSG00000198523,0.005625487734536695,0.0,0.0,0.0,0.0,0.0
ENSG00000105894,0.0,0.0,0.0,0.0076582755096552095,0.0,0.0
ENSG00000184232,0.0,0.0,0.0032637827214967883,0.0,0.0,0.0
ENSG00000076864,0.0,0.0,0.0030843951560002463,0.0,0.0,0.0
ENSG00000204323,0.0,0.0,0.0,0.0,0.0,0.0030603501040519037
ENSG00000121690,0.0,0.0,0.0,0.0009951051584099833,0.0,0.0
ENSG00000171560,0.0,0.0,0.0,0.0,0.0,0.0020810380707552943
ENSG00000158874,0.0,0.002614641995172969,0.0,0.0,0.0,0.0
ENSG00000164266,0.0,0.019509251810136765,0.0,0.0,0.0,0.0
ENSG00000169474,0.0,0.0,0.0,0.0011026840944543057,0.0,0.0
ENSG00000014914,0.0,0.0,0.0031058145668058034,0.0,0.0,0.0
ENSG00000106404,0.0,0.0,0.002899652737802315,0.0,0.0,0.0
ENSG00000125618,0.0,0.0,0.0006024209289062981,0.0,0.0,0.0
ENSG00000137198,0.0,0.0,0.003103137140455109,0.0,0.0,0.0
ENSG00000154330,0.00320971736843891,0.0,0.0,0.0,0.0,0.0
ENSG00000144354,0.0,0.0,0.0,0.004323328492281211,0.0,0.0
ENSG00000152766,0.006813015302140943,0.0,0.0,0.0,0.0,0.0
ENSG00000146205,0.0,0.019509251810136765,0.0,0.0,0.0,0.0
ENSG00000096088,0.0,0.0,0.0,0.0006521972997687053,0.0,0.0
ENSG00000126522,0.0,0.0,0.0032557504424447045,0.0,0.0,0.0
ENSG00000110245,0.0,0.0018101367658889783,0.0,0.0,0.0,0.0
ENSG00000241794,0.0,0.0,0.0,0.0004639341616911409,0.0,0.0
ENSG00000171564,0.0,0.0,0.0,0.0,0.0,0.00887501530175052
ENSG00000171476,0.0,0.0,0.001887585577239734,0.0,0.0,0.0
ENSG00000106927,0.0,0.05088495575221239,0.0,0.0,0.0,0.0
