"","x"
"5a7f277a-28b9-403b-959b-51e4b024084b.FPKM.txt.gz",1
"09572b33-5517-462d-9a46-ec3d9b11b59b.FPKM.txt.gz",1
"d0d7fae1-355e-4ada-a469-b69d59c1edfe.FPKM.txt.gz",1
"46a20956-b5c5-4bbd-baad-cfcaaad3b3f5.FPKM.txt.gz",1
"1aeb8b9e-bf79-415d-a8dd-a63c3fbe2bab.FPKM.txt.gz",1
"b92498c2-6e54-4fd0-b752-18932e915381.FPKM.txt.gz",1
"ac6fccd6-d05f-40c7-9afe-82fa33ce919a.FPKM.txt.gz",1
"962e3a62-1076-47d2-9b42-d95503e967be.FPKM.txt.gz",1
"bfd76989-9812-4065-9e07-22a1bc498018.FPKM.txt.gz",1
"d1757d87-4920-473b-8586-24192541cb02.FPKM.txt.gz",1
"cc69ddad-2cd9-4a2c-8f42-56326c61f6de.FPKM.txt.gz",1
"5d259206-1431-48f8-abc3-3001bab5243d.FPKM.txt.gz",1
"f8332a4b-0365-4732-a6b8-a3998872e24c.FPKM.txt.gz",1
"ecc62f3c-7ddb-425d-9c68-e3ce3f5872f0.FPKM.txt.gz",1
"99580e31-0d96-415a-9519-91c493709684.FPKM.txt.gz",1
"96c5f203-2d5b-4519-8a58-0a70934bb3de.FPKM.txt.gz",1
"7dc7ff68-7d6d-4ead-8725-0f643ece6b78.FPKM.txt.gz",1
"7f44e5e1-cea0-4cf9-9a2c-972a3f8d6038.FPKM.txt.gz",1
"ce84840f-f5c3-4e67-baf6-c574cf585169.FPKM.txt.gz",1
"ea440a6e-8009-4fbe-a650-bfdd88f60cd6.FPKM.txt.gz",1
"091be805-db73-4d7c-852a-c13b9923c13a.FPKM.txt.gz",1
"7fd4d7c0-5dd2-4ce8-a1ec-3f0271bf04d2.FPKM.txt.gz",1
"25b2851d-cbfd-4b98-afc0-038e75ae83a3.FPKM.txt.gz",1
"a13a7cfe-e4dd-4d78-83f9-0179332d9efd.FPKM.txt.gz",1
"837e6048-97d1-4180-b385-683e99e9b628.FPKM.txt.gz",1
"6f9413df-3cff-4e32-87a0-b3e891ffa786.FPKM.txt.gz",1
"ae3d90f2-e69b-4711-8e09-368c732cdc23.FPKM.txt.gz",1
"15975c7c-40b7-4782-a4e8-a484f11ac63f.FPKM.txt.gz",1
"840bb854-0669-485e-9d83-c4e1e4f10626.FPKM.txt.gz",1
"2291ce95-0573-4402-8c25-ec5a824212d9.FPKM.txt.gz",1
"153cb1b1-774c-4e65-b209-6a462b68cfc5.FPKM.txt.gz",1
"dc76cdde-f77f-4604-94c4-0b150b9a56b4.FPKM.txt.gz",1
"01c43c5e-8c81-41f0-88f8-94710f5cf1ae.FPKM.txt.gz",1
"9bf66417-4431-4c23-9603-63273db48d39.FPKM.txt.gz",1
"f1966e5e-98bb-438f-92aa-6fff48741313.FPKM.txt.gz",1
"c5ed8e4f-a283-4605-88de-cadcac24d134.FPKM.txt.gz",1
"6d53bf05-58d4-4633-b2da-0dd71d89ee91.FPKM.txt.gz",1
"4cdd597f-ca43-4545-b84e-e5854c8a63c2.FPKM.txt.gz",1
"d751b729-f6cf-4fdf-b55d-f82830f0b26c.FPKM.txt.gz",1
"7c9551e0-06bb-4846-b407-a95931200318.FPKM.txt.gz",1
"99d1feac-dbcb-4f01-8e41-8f6101d06515.FPKM.txt.gz",2
"b375ca9f-6408-496f-83c9-469c74ccc7a2.FPKM.txt.gz",1
"d8454c9a-0054-49b0-adfd-7b4ce451ef77.FPKM.txt.gz",1
"add93641-2f11-4373-a079-b8116e7dd3cc.FPKM.txt.gz",1
"fa0419a3-7d4d-40fe-aceb-3d70965387e3.FPKM.txt.gz",1
"ae32fcc8-a1b7-47c8-b1c5-1e5cdbcf3725.FPKM.txt.gz",1
"8a2863d8-26a3-443e-a36f-5c149de57136.FPKM.txt.gz",1
"eb514a1a-536a-4ce7-ad6b-ec2267452d7a.FPKM.txt.gz",1
"258b03ca-d1a3-4102-a953-476df48c3ae7.FPKM.txt.gz",1
"97f3c6a3-a3b8-4f59-9242-8845fa1c90a8.FPKM.txt.gz",1
"f69a97ec-c6c0-4450-83f1-3280f31ad447.FPKM.txt.gz",1
"394df3ed-9071-4731-8499-d83624d2a7fa.FPKM.txt.gz",1
"e9889edc-cfbf-4213-9629-fde30511bd63.FPKM.txt.gz",1
"29b681e1-b036-4b63-9113-59bb58618c8a.FPKM.txt.gz",1
"43dc7dbc-8b13-48cf-8e06-ed102da87d57.FPKM.txt.gz",1
"97fbdeeb-5066-44c3-93ad-b05917236933.FPKM.txt.gz",1
"1b5c1647-d213-43f4-961c-ef74b269a152.FPKM.txt.gz",1
"245ad8f3-c93e-40ac-8ff0-92e7a5dacc20.FPKM.txt.gz",1
"ae95b302-bd9d-4d3b-a791-2f788bf53d24.FPKM.txt.gz",1
"cea0635c-ac68-4712-937e-56ba8abca332.FPKM.txt.gz",1
"9fc18ac7-7fce-4840-b2c5-5daac7e422cf.FPKM.txt.gz",1
"029d304b-56ee-403e-ad39-0c2ce07d5a09.FPKM.txt.gz",1
"5f02561f-c7c7-4cea-997e-cfdf2ae02128.FPKM.txt.gz",1
"8dda6766-08f1-4f38-944f-30da042d3370.FPKM.txt.gz",1
"0056ef0b-ecb9-443e-a694-1c0797a21e5c.FPKM.txt.gz",1
"0b4a2460-8f70-4f60-85b3-95d0012d38c8.FPKM.txt.gz",1
"01667231-844e-4f98-905c-c0ecafee35b5.FPKM.txt.gz",1
"6b34f95d-8875-4a62-b90e-9cf9d92c8055.FPKM.txt.gz",1
"80af6fa2-c963-4ab7-9965-8b1678f49376.FPKM.txt.gz",1
"ce69433a-55bd-4160-b1fa-85178fe0fce4.FPKM.txt.gz",1
"80980cc8-30b5-4668-a7ea-e3cca5a44e2f.FPKM.txt.gz",1
"44624e0b-ad12-4670-b427-02db7dc87267.FPKM.txt.gz",1
"db126604-3a46-470e-871a-d219267f4f10.FPKM.txt.gz",1
"68ebb9b3-4081-4e5d-8340-551e3d622970.FPKM.txt.gz",1
"4001b986-adbc-4d49-9107-29488ddc6b61.FPKM.txt.gz",1
"83fea6d3-5ae6-48e7-9d09-113dcb39e22b.FPKM.txt.gz",1
"5be2bd1d-24ac-47c5-9e20-33dea602ed65.FPKM.txt.gz",1
"feb99183-103f-4ca1-b61a-b88227826952.FPKM.txt.gz",1
"fdbe22dd-cc5e-465a-9bb4-5336ac42af75.FPKM.txt.gz",1
"b4661ac5-95c7-450e-8797-b2dbe04ad1ee.FPKM.txt.gz",1
