"","MMgrey60","MMsalmon","MMyellow","MMbrown","MMblue","MMmidnightblue","MMcyan","MMgreen","MMmagenta","MMred","MMblack","MMpurple","MMgreenyellow","MMlightcyan","MMturquoise","MMpink","MMtan","MMgrey"
"ENSG00000225492",-0.0616923693727458,0.0918256735659409,-0.0485737839239826,0.048698314501638,-0.0897637304452803,-0.133855613551073,0.00414862869946333,-0.11476270495443,-0.0232905874544755,-0.0185859933168532,0.0913699634947627,-0.0186376009535996,-0.0204592906334738,0.0904791782804418,-0.0357587619342364,0.109364257867318,0.129358514665035,0.391121501872531
"ENSG00000225527",0.00634863118997839,0.00689981604883205,0.104151272399052,-0.0143290561942646,-0.00322306305894934,-0.000763003151779093,-0.0112503823479244,0.0212243565744874,0.0457453105866368,0.0497182685109725,0.0673932866209626,0.095746934467174,0.078464220820654,0.225344857741762,0.918679087497225,-0.0310030079990878,0.0389429133353078,-0.065141679105615
"ENSG00000225573",-0.00945604140074343,-0.00125088828996168,0.0749349022342185,-0.0323837468555491,-0.025323101140373,-0.00460380025614369,0.00446776381487906,0.011084774011457,-0.0409359725390056,-0.00510785204447394,-0.0222533762905782,-0.0331527474488642,0.0126830056865445,-0.0413494150821813,-0.0583188312790527,-0.0431831436888127,0.0728985692028785,0.078718086224818
"ENSG00000225602",0.0187532016472441,0.00464937535998339,0.0934389890911899,0.00899707537933617,-0.00792057719552474,-0.00505062316809791,0.00683843070736985,0.0478398849518324,0.0387615350857283,0.00938405271820837,0.0545891985308819,0.0751142637689253,0.107411966581107,0.238894751973972,0.986412136934476,-0.036935581405259,-0.00294671565460115,-0.0452869520086681
"ENSG00000225614",0.211722195836658,-0.0345990463247191,-0.0734172647119204,-0.0550149210984476,-0.0465956416270397,-0.157987396463422,-0.0310673178048599,0.772954175058046,0.0618015506622529,-0.0202967295523801,-0.0350892408521933,-0.0178090541721474,-0.0528704120105149,-0.0370288846372804,-0.00481011556500591,0.00929644531581942,0.00546608161235303,0.114746967332229
"ENSG00000225630",0.012974807593364,-0.0239410753922899,0.112030840916543,-0.0616722267046113,-0.00303196750250813,0.0386553938525582,-0.0695292197424094,-0.0988078645101548,-0.066163702145569,-0.00432780783084606,-0.0336362874779543,0.00981925227513368,0.130021958751449,0.00825447328014082,0.0314494519118192,0.00283928312134309,0.047001756044248,-0.178232811402576
"ENSG00000225783",-0.0277489607426144,0.012950640448046,-0.0425343487552089,-0.0729807518224993,-0.105281324308959,-0.13570065830253,-0.0106209897779343,0.040013420550389,0.00714548073444448,0.0172900101705628,0.175042854748736,0.46023113272053,0.0876801036772079,0.0804986482496839,0.139110238043328,0.0197469346603948,0.0248797255416191,0.220237364891225
"ENSG00000225792",0.0346564210082161,0.0126949569724857,0.182401633530922,0.226812739274674,0.375416125878313,0.231616442944485,-0.0198893248153691,-0.0583460474241091,0.103594809040382,0.50406296286741,-0.00346874549494083,0.0240467949995982,0.018392197437903,-0.0125493412870612,0.0545023408121386,0.00285802922047141,-0.0365642209848508,-0.139422742640485
"ENSG00000225808",-0.0262204043364558,-0.0286578843327312,-0.0357313695987592,-0.118958273522199,-0.0990399983981858,-0.123721438431548,-0.0221160075050214,-0.0071770340358013,0.0421278793182103,0.0050382939814084,0.0789114145564982,0.122005368079874,0.0180854008045769,0.0853261903663605,0.17219557215838,-0.00312210045440148,0.109468958830607,0.393725269414021
"ENSG00000225889",-0.0312418265049888,0.0196444085478382,-0.0481727585989346,-0.0860723561578565,-0.136773975346326,-0.161044187092227,-0.0206389878636805,-0.0170281042515018,0.0247184958011082,0.0228677589422345,0.120476780790349,0.361170441359401,0.0115783112050724,0.15947695926508,0.164077949073628,0.0310689245740935,0.0962425098975998,0.392188468469929
"ENSG00000225891",0.0364692930628339,-0.00254825881837067,0.139704978525103,0.013307656938982,0.0111729777300274,0.0231444945592194,-0.0155148159152352,0.00259411796995077,0.0348502393948112,0.0436555244926959,0.0735068622782727,0.0670582589408099,0.0923514422188735,0.238881779173274,0.945154737884907,-0.00387496378177587,0.00720096361523707,-0.0918648503969492
"ENSG00000225938",0.0098284217582588,0.0102050252114718,0.388880322708363,0.519606462722465,0.878435178658166,0.613640188200518,-0.0451691071115495,-0.00603175403436858,0.0521466424521006,-0.0190547948905621,-0.0701785651268705,-0.0446457653086793,0.0101279650693411,-0.0427406784117919,-0.0191199637163797,-0.0574592966277685,-0.112729967437709,-0.400145660798761
"ENSG00000225972",-0.00832975564354565,-0.00851682910501444,0.059874931274457,-0.0485626411088139,0.0386235247279576,-0.017386450984041,-0.0272730124644995,-0.0277552007745429,-0.0263624772276137,-0.0088112660664471,-0.0185625440568628,-0.0104457259566995,1.77137655161491e-05,0.00534076119096269,-0.00354457140870073,0.0251485182727369,0.0109629687847936,-0.039417273299378
"ENSG00000225978",-0.0114532304897361,0.00168324669821611,0.0527747051405114,0.0663577126696133,0.0404408546993029,0.0267018254905728,0.133878640970799,-0.0465825086255552,-0.0569551978769197,-0.0224511075142447,-0.0148981164112321,-0.0572231300747323,-0.0299199071479778,-0.035426967994197,-0.03432756458021,-0.0204180721121324,0.00823977642008601,-0.242021684556994
"ENSG00000226084",-0.0220161507767535,0.0101560021998717,-0.203954581317276,-0.18190184920623,-0.244671053918328,-0.267943275355473,0.00547376217298247,-0.0185330258771493,0.0303095170136224,0.0937650909902582,0.105855854197452,0.155272114592994,0.0071585218875365,-0.0248176664735105,-0.118565238503443,-0.0221260981933671,0.0662285748625075,0.643235502131663
"ENSG00000226085",-0.0361251211984968,0.0159642833414339,-0.0833055065824621,-0.0365577689065494,-0.110591345069655,-0.124648884356853,-0.0123627371112187,-0.0414967834059525,-0.00895129430345556,0.0238453276576106,-0.0128900269755939,0.032209610398893,-0.0170267892352603,0.212999785643988,-0.00489854593168029,0.022396420727778,0.0308580014138832,0.260428768084131
"ENSG00000226137",0.00558077912907306,-0.0698983190004451,0.138439439609092,0.056189167538704,0.18405625624322,0.347754691548636,-0.0231408993580043,-0.120821949165219,-0.068965685172658,-0.045127023193188,-0.0370164677021027,-0.0875443982494886,-0.0282808190236701,-0.0481656142708605,0.000727554265433614,-0.00636182092898904,-0.102562015461197,-0.667123448882394
"ENSG00000226278",-0.024034194164357,0.0203729208738037,-0.0436925828547345,-0.0843948704205402,-0.0819411135347365,-0.0791661984742004,-0.00898807422421992,-0.0619731871087705,0.00085075254883793,0.0382112396566144,-0.00912773769228985,-0.0148249162289905,0.0137278641730119,0.0149835979165644,-0.0065872944311426,-0.0399970353334536,0.0458310180557133,0.178252328753385
"ENSG00000226312",0.0197404373602527,0.000786974892499039,0.119841715019651,0.0241176250485931,0.0136111929199782,0.0189741856354751,0.003265301842214,0.0331588548231121,0.0355378105047837,0.00656689118378856,0.0536535074180887,0.0649386120657812,0.102531086551149,0.228076245201394,0.961583143318052,-0.0439720533184106,-0.00809439912674897,-0.0851002234688063
"ENSG00000226318",0.0171250562125633,-0.00020618455623769,0.0801723541639558,0.0089543105886622,-0.0165333607781126,0.00446121946636888,-0.00414439019603992,0.0645732972494616,0.0275088057319991,-0.0010956452320347,0.0427024678562904,0.0804375899014583,0.0991306399044999,0.246575765775193,0.952969989767856,-0.0301180418840737,-0.00478802146711671,-0.0880858278859921
"ENSG00000226328",-0.0151673259875551,0.0898635520413985,-0.062738684967934,-0.177820569711196,-0.27634195337616,-0.287578050749167,0.0017651550530275,-0.104681794135194,-0.0142395550472937,0.0588953430390136,0.0549874211620969,0.147973607913072,0.152224157555324,0.0939967849497692,0.0142034457011982,-0.0357039906589707,0.145129729063241,0.524372979499174
"ENSG00000226332",0.00292657955287025,-0.00521851363327174,0.0385125251619496,-0.0878212947025707,-0.0351807874793837,-0.12219186202754,-0.0222505169893609,-0.06717320402583,-0.0377069549212544,0.00323430139063401,0.111378629002947,0.0898930174033593,-0.0460883298266219,0.10943268287591,0.0754879771413701,0.107935527654472,0.476342055160199,0.105067343220806
"ENSG00000226380",0.0131464860816958,-0.0116616896297354,0.0644727800293455,0.0201021047490588,-0.00226419039739212,0.0178922115901157,-0.0122550554995473,0.004552011540465,0.0100407411173376,0.0035477064242797,0.0339512024450021,0.0319775199903426,0.0756155156697018,0.178534725002782,0.759561797396266,-0.0372979628581861,-0.00966756896992465,-0.127465906600775
"ENSG00000226415",-0.0869398065860414,-0.0520085279424493,-0.219467394379678,-0.288993349345771,-0.333898829381935,-0.341411737569351,0.00467829378316216,-0.00966001464875208,0.0280253298282184,0.01317769920776,0.0173810300172845,0.0432708182657435,0.0286382485453135,0.0899559296081821,-0.098450368092802,0.0818743330207726,0.071206976439586,0.668087808008308
"ENSG00000226416",0.00397469937779431,0.00102161051592767,-0.0130672579504174,-0.061115460351221,-0.029841249107555,-0.0656980325415736,0.0303488668301528,-0.0543894298713004,-0.0187720027019088,-0.0144589124272227,0.0499467052851119,0.00887796200067471,-0.00536657351325382,0.00924934158457575,0.00140462792952532,0.0132030066897584,0.00177234620949756,-0.00283176040395421
"ENSG00000226441",0.0187948357406908,0.0239851180335711,0.0970889903085637,0.0312226599465553,0.00164111720186666,0.00413320939042931,0.00481317678781569,0.0484191719571403,0.0381465911514528,0.00820764753256557,0.047270035239696,0.0699599851317416,0.102885195927736,0.233891908270878,0.964510483109944,-0.0442212422273305,-0.00232928040118961,-0.0416642739879119
"ENSG00000226525",-0.0080176068059932,0.0383811228895926,-0.123191715508504,-0.199033662154675,-0.241453888512948,-0.160723469120349,0.0260480276949375,-0.189677280878569,-0.0395146462228922,0.052438253284089,0.00559468252331854,-0.00215663816965449,0.019050323262041,0.0103323089206277,-0.0656559233603794,-0.0586204769658829,0.122426274637316,0.316724420461012
"ENSG00000226608",-0.0707733997824087,0.0450218673610586,-0.0274536052450418,0.151449081606802,0.00447793851855039,0.0350682659129286,0.0166108525479299,-0.134571848814978,-0.00400647723157867,0.0122294203342109,-0.0733309711119759,-0.0595231370147546,0.0220145591671496,-0.0144660493383716,-0.0829029289622418,-0.0114701292560411,0.0106864270104675,0.142010400363245
"ENSG00000226648",0.0123483224969977,0.00467002109539219,0.0789681292297603,0.0104863280230991,-0.00221732427163227,-0.00724539965771588,0.00214805266298883,0.0502793846607501,0.0754198026850234,0.0281865754517557,0.0625724737215214,0.116346642354319,0.101245466705793,0.235374951622901,0.915721968420151,-0.0200627544442369,0.0295916625424419,-0.01380546837004
"ENSG00000226803",0.0194662180963956,0.00234742459271941,0.100406566150551,0.00020415795373307,-0.00425798652905128,0.000524545268562742,0.00259314329515193,0.0373869619046665,0.0376776385234841,0.031945764723703,0.0633137646079779,0.0935078728946166,0.0986174096280091,0.250129655049971,0.984588422158475,-0.0439278454108311,0.00197480145078265,-0.0653246523540941
"ENSG00000226890",0.0387370174747365,0.00202324213380794,0.0870596814526179,0.0100394408479662,-0.0125574980368947,-0.0194790942662631,0.00509554210753732,0.0452556318764477,0.0353286795417319,0.00241855839798528,0.0771714477424372,0.0720658785370176,0.101501569897396,0.240314822772507,0.969787297405709,-0.0391385532834944,-0.00510382875127154,-0.0499774832504513
"ENSG00000226950",0.0154462192898203,0.0207594417118814,-0.11784592583017,-0.222553656331291,-0.235000048239409,-0.226171504657317,0.0306221993998885,-0.160530474848092,-0.0122474082955871,0.0494116121303133,0.048924890264942,0.101127614939522,0.0208021121837143,0.0178592763434518,-0.0436133627564877,0.0346153415380274,0.249771939860148,0.441803706814925
"ENSG00000227051",0.00198949137361808,-0.0204097319887314,0.456413953107291,0.532335747257197,0.88229661404313,0.608149375240422,-0.0573263620336418,0.0874689959290721,0.0857079033770611,0.020147777813286,-0.0666779125230779,-0.0165567158182919,0.00558816507757887,-0.0176274378338003,0.020627350298741,-0.0237869418614698,-0.0819141725428265,-0.35391140361374
"ENSG00000227081",-0.0197601715381543,-0.00975040496836875,-0.0877170623218759,-0.180227634823482,-0.182454321278464,-0.164161481164251,0.0396142341391032,-0.20049237941886,-0.0631683851371715,0.0379416378448558,0.0484734649654111,0.0135424215698697,0.0391082725428646,-0.0333642176356767,-0.0967725431757104,-0.031697347580033,0.466508775243206,0.255756998266095
"ENSG00000227097",0.0410347658965492,0.0150564366510308,-0.0841065935978493,-0.0962288585498147,-0.0716490237966477,-0.0705705455222274,-0.0339433904597413,-0.0994421380052297,-0.0714374461474469,-0.0337047898310341,0.034337461377384,0.0538138428625015,0.0345909580630743,-0.0233149045006751,-0.0827995221794817,-0.00281312919786833,-0.00413964601407499,0.094604832250979
"ENSG00000227117",-0.00601703709538029,-0.0110487911505592,0.0109764539369252,0.0247714486471208,-0.0402655913235891,0.0160650433412661,0.153005734196147,-0.0687888022758695,-0.0608144253086727,-0.0237466469786833,-0.0052304307203451,-0.0316312320893461,-0.000577832542534486,-0.00321365625316166,0.0689291056647203,-0.0163095122878566,-0.0308718766334918,-0.239170631376086
"ENSG00000227176",0.0188559897990245,-0.00097879851206384,0.147620378058786,0.00716970661864301,0.0185232957992463,0.0277962585606442,-0.00762922838782127,0.0365123495879168,0.0302808862023187,-0.00180390711879387,0.0588722257733214,0.0914070719127379,0.0973185897225122,0.23442774339159,0.95074899980421,-0.0506707749746235,-0.0129378650160628,-0.09476331175281
"ENSG00000227201",-0.00687333105334664,-0.037410643860657,0.0210401149935442,0.00349543093583622,-0.00539997245701635,0.0371784105158726,0.010057567675359,-0.00860706583833428,-0.033450732407884,-0.0205684388691173,0.0181280993012768,-0.00861678116437155,0.00840390306866827,0.0333659657833661,0.220554355941591,-0.0128718328716562,-0.026397859494942,-0.251564191784636
