MEgrey60,MEsalmon,MEyellow,MEbrown,MEblue,MEmidnightblue,MEcyan,MEgreen,MEmagenta,MEred,MEblack,MEpurple,MEgreenyellow,MElightcyan,MEturquoise,MEpink,MEtan,MEgrey
,,,,,,,,,,,,,,ENSG00000258177,,,
,,,,,,,,,,,,,,ENSG00000258302,,,
,,,,,,,,,,,,,,ENSG00000258926,,,
,,,,,,,,,,,,,,ENSG00000259001,,,
,,,,,,,,,,,,,,ENSG00000259116,,,
,,,,,,,,,,,,,,ENSG00000259118,,,
,,,,,,,,,,,,,,ENSG00000259201,,,
,,,,,,,,,,,,,,ENSG00000259248,,,
,,,,,,,,,,,,,,ENSG00000259314,,,
,,,,,,,,,,,,,,ENSG00000259326,,,
,,,,,,,,,,,,,,ENSG00000259366,,,
,,,,,,,,,,,,,,ENSG00000259468,,,
,,,,,,,,,,,,,,ENSG00000259521,,,
,,,,,,,,,,,,,,ENSG00000259544,,,
,,,,,,,,,,,,,,ENSG00000259556,,,
,,,,,,,,,,,,,,ENSG00000259589,,,
,,,,,,,,,,,,,,ENSG00000259595,,,
,,,,,,,,,,,,,,ENSG00000259628,,,
,,,,,,,,,,,,,,ENSG00000259659,,,
,,,,,,,,,,,,,,ENSG00000259668,,,
,,,,,,,,,,,,,,ENSG00000259678,,,
,,,,,,,,,,,,,,ENSG00000259712,,,
,,,,,,,,,,,,,,ENSG00000259820,,,
,,,,,,,,,,,,,,ENSG00000259924,,,
,,,,,,,,,,,,,,ENSG00000260618,,,
,,,,,,,,,,,,,,ENSG00000260872,,,
,,,,,,,,,,,,,,ENSG00000261002,,,
,,,,,,,,,,,,,,ENSG00000261069,,,
,,,,,,,,,,,,,,ENSG00000261326,,,
,,,,,,,,,,,,,,ENSG00000261553,,,
,,,,,,,,,,,,,,ENSG00000261560,,,
,,,,,,,,,,,,,,ENSG00000261596,,,
,,,,,,,,,,,,,,ENSG00000261669,,,
,,,,,,,,,,,,,,ENSG00000261770,,,
,,,,,,,,,,,,,,ENSG00000261872,,,
,,,,,,,,,,,,,,ENSG00000262180,,,
,,,,,,,,,,,,,,ENSG00000262372,,,
,,,,,,,,,,,,,,ENSG00000262652,,,
