i_doc,doc,MEgrey60,MEsalmon,MEyellow,MEbrown,MEblue,MEmidnightblue,MEcyan,MEgreen,MEmagenta,MEred,MEblack,MEpurple,MEgreenyellow,MElightcyan,MEturquoise,MEpink,MEtan,MEgrey
164,2291ce95-0573-4402-8c25-ec5a824212d9.FPKM.txt.gz,-0.00291988159742338,-0.00173005798804516,-0.0030530135526624603,0.0851025385098172,0.21771939294440198,0.128786787810151,-0.007940011430769521,-0.0139324530615997,0.00988855168683398,0.00137861528912131,-0.0154114692164874,-0.00250810037986323,0.00291277809433049,-0.00645720517558136,-0.000515521721606426,-0.0096800603021344,-0.0174130496662302,-0.0686203535180488
165,153cb1b1-774c-4e65-b209-6a462b68cfc5.FPKM.txt.gz,0.00101222581833399,0.006937804532823179,-0.0241949332830653,0.12374634215152802,0.10145134538749499,0.10148158522503098,-0.0140790839260273,0.0173129714677233,0.0020031803558942397,-0.00273607231284452,-0.0150224527498757,-0.00408674940830896,-0.00424503147704948,-0.0234781209997441,-0.0037429410425691397,-0.00883649810996982,-0.0127442099102723,-0.0567354743448274
166,dc76cdde-f77f-4604-94c4-0b150b9a56b4.FPKM.txt.gz,-0.00397077358665903,-0.00616962565267143,-0.00555348621736671,-0.00526075779499993,0.00048200420861654804,-0.00991067515911683,-0.007984540889346041,0.0639597362283411,0.0164586534415753,0.00177842138014641,-0.0018904360918049101,-0.00580875585636459,-0.000288439752306619,0.00169709872399921,0.00521757770049422,-0.00311239229394299,-0.00254612148447163,-0.0478009066316212
167,01c43c5e-8c81-41f0-88f8-94710f5cf1ae.FPKM.txt.gz,0.0041685667033515604,-0.00273333807829787,-0.0192937441148934,-0.0042994432594541795,-0.0259985372151416,-0.0306685501652634,0.00479784274963976,-0.0337829586287898,-0.0071736878200509705,-0.0036277723479406603,0.0249514926495666,0.0465480836472212,-0.0068024232234380295,0.011224565930183998,-0.0061606939181982,-0.0103397682124346,0.0134811411011977,0.0748529935025446
168,9bf66417-4431-4c23-9603-63273db48d39.FPKM.txt.gz,0.00770816145431241,-0.007394708381685859,0.014331268771655001,-0.0125628179839505,0.00923939766810884,-0.0168720773288795,-0.00530282956676962,0.00232465890843265,-0.0075717266033265,0.0007397868436454621,-0.016321628347167,-0.00279154909801018,-0.00820579836883685,-0.0296073588290166,-0.0098847711900772,-9.98285212696682e-06,-0.0161965788583175,-0.0424124110446934
169,f1966e5e-98bb-438f-92aa-6fff48741313.FPKM.txt.gz,-0.0114474503007864,0.00169660215219436,-0.0210209690580992,-0.0058322506421486795,-0.021088934600057,-0.0306518761459983,-0.00683477594822127,0.0256894127446251,0.0018344031320780198,-0.00350048278872365,-0.0114851096002218,-0.00480667545212087,0.0033210017867043896,-0.00518658491331925,-0.00626451029850493,0.000718136447992888,0.00040244259766703997,0.0566983277155903
170,c5ed8e4f-a283-4605-88de-cadcac24d134.FPKM.txt.gz,-0.0021432975677092,-0.0103409299616237,-0.0163016061892915,0.0388088413723291,-0.0120209437113569,-0.0206006540323619,-0.012507152676617998,0.00200968129045264,-0.0119368775167025,-0.008163970891058909,-0.0074049884646004,-0.0152810957974704,-0.0186585236267419,-0.0239150463273658,-0.00884442909650853,-0.0046871226742594705,-0.0123294826349234,-0.0481476598934187
171,6d53bf05-58d4-4633-b2da-0dd71d89ee91.FPKM.txt.gz,-0.00419797569810784,-0.00321206717449779,-0.00351529812034264,-0.0504251580581721,-0.0252488808338399,-0.00131401360665564,-0.00290600944941591,-0.0530323282348088,-0.0106433203956431,-0.0045559501576246,0.0134945679725565,-0.018503085114262,0.00129796916361053,0.00593570034870098,-0.00177570223286215,-0.019668381825698997,-0.0029142946753843,-0.0472881206482307
172,4cdd597f-ca43-4545-b84e-e5854c8a63c2.FPKM.txt.gz,0.03129737963596,-0.0057913628196197,-0.0100879836291099,-0.0464443046070286,-0.0165051887852328,-0.0334023793603707,0.0043303755483229105,0.00827137729926741,0.00691832464922477,-0.00362715841302943,0.0131217606372273,0.0163731366728128,0.00670669596976384,-0.0122245452713839,0.00501793295676003,0.0341071448886451,0.0045457827666034395,0.0479213183592646
173,d751b729-f6cf-4fdf-b55d-f82830f0b26c.FPKM.txt.gz,0.00106776497847943,-0.00285459224975389,-0.0241800324456668,-0.00909899711347548,0.0171910141538116,-0.0269709483013091,-0.0116919129523953,0.28318318677879,-0.000740979216618602,-0.0074920660133726705,-0.00879554072796304,-0.0053340573771157,0.0032252397988486604,-0.0152058741725935,-0.0035096329979122896,-0.008739880358766909,-0.00847444238692275,-0.0265495373228997
174,7c9551e0-06bb-4846-b407-a95931200318.FPKM.txt.gz,0.00113654624844353,-0.00881201882215575,0.0555145795221955,-0.0047256552418653295,0.0285627154511008,0.0274167288414899,-0.00333150920269786,-0.0145226554156894,0.0043530703844914895,-0.00473134780320207,0.0159642903644265,-0.00342433542079525,0.0184657394054835,0.008163580628141971,0.0053710757484095395,-0.0126100392885002,-0.0160375527632935,-0.060936664341233
175,99d1feac-dbcb-4f01-8e41-8f6101d06515.FPKM.txt.gz,-3.27640338996767e-05,0.0259983494693111,-0.0166512636214107,-0.0289033536568692,-0.0242471748113499,-0.0294887712630787,-0.00657402847741334,-0.0181425098399831,-0.017560673045742,0.0294091550456271,-0.00720834117475978,-0.0013862988091883,-0.007283471699955191,0.008831837532208809,0.0182232774945322,0.0181311597296174,0.960492599461542,0.0756839055210174
176,b375ca9f-6408-496f-83c9-469c74ccc7a2.FPKM.txt.gz,0.0062054696834527604,-0.0046114935671457205,0.0177484813984592,0.139488828892348,0.0495744344365764,0.12231123543476301,-0.0102305110130726,-0.0154744326123424,0.00521559941306754,-0.00400779629177863,-0.00258210232650868,-0.0076476735728829405,0.0110773380076801,0.00291004536521901,-0.0010491128101644,-0.00812641415939192,-0.0112255196267228,-0.04262349285995701
177,d8454c9a-0054-49b0-adfd-7b4ce451ef77.FPKM.txt.gz,0.0315454790616909,0.005105265033569,-0.0197169955316915,-0.0414435261389063,-0.0175345803331559,-0.0291645380369628,-0.00642464791897404,-0.0440122155705711,-0.0177273435172788,0.000827936791433781,0.0958646339393359,0.007373043226927559,-0.0204343301065794,0.00427844394387492,-0.000626142816602669,0.0396342623483319,0.008668255240269129,0.0552424525991906
