i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
13,8df93787-af1e-4b07-afa1-f910eda02a1c.FPKM.txt.gz,0.255970313762951,0.019950033066353148,0.17716217209199794,0.002718789036666912,0.03644646924829157,0.014585935777794106,0.09780292453523404,0.0011389521640091116,0.0,0.3942244103167022
14,f9d52f9e-4f82-431a-a427-1c1259b8e765.FPKM.txt.gz,0.564369995785925,0.08744205646860514,0.026443320691108302,0.008112094395280236,0.045512010113780026,0.0,0.22987779182469448,0.025705857564264644,0.0,0.012536873156342183
15,3f52a1bb-997b-4ee0-b61b-8060e7d8666d.FPKM.txt.gz,0.5152804306303178,0.04827226949123112,0.1363952075013023,0.010852578572668865,0.030994964403542283,0.0017364125716270186,0.20732766105226602,0.00842160097239104,0.022573363431151242,0.018145511373502343
16,9e49e3ff-f780-48db-9349-e59e2112b6de.FPKM.txt.gz,0.4197954882522832,0.03902895948794005,0.04917648895480446,0.0034345484349387247,0.1326204043400203,0.003278432596986964,0.22863164468035282,0.0033564905159628442,0.0,0.12067754273671064
17,bdc9dadb-a543-4965-b85f-8b20b14d4efe.FPKM.txt.gz,0.18071194470584417,0.010838173735275984,0.29581075380471816,0.0007787909270856995,0.02083265729954246,0.0074634130512379535,0.11159424992698835,0.0005191939513904663,6.489924392380829e-05,0.37138592335399295
18,bf8dd7a7-37b1-4a81-9554-d63fdf2fe4f1.FPKM.txt.gz,0.6328295702840495,0.08931172614712309,0.019027676620538964,0.004552075746540422,0.029952658412235978,0.0,0.2132192279679534,0.009832483612527313,0.0,0.0012745812090313182
19,a5e71850-834c-4c39-b4f9-92c952b2cce6.FPKM.txt.gz,0.5096862072444759,0.02063363939057613,0.11966501866612854,0.0018161638583392191,0.016849964685702754,0.00388457269700333,0.11376248612652608,0.001614367874079306,0.0,0.2120875794571688
20,2c90459c-9341-4555-bf34-0d6c179751f2.FPKM.txt.gz,0.3833467712379975,0.08590485963497764,0.017591438833101224,0.02198929854137653,0.15289892252437148,0.005497324635344133,0.31224803928754674,0.018984094407388404,0.0014659532360917686,7.329766180458844e-05
21,7dd3791f-7a65-4eea-9be2-3a0ca83ba46d.FPKM.txt.gz,0.470891391486925,0.12120633708723039,0.05506776102309601,0.02004199274670739,0.029872112998663866,0.0007635044855888528,0.23668639053254437,0.004103836610040084,0.0037220843672456576,0.05764458866195839
22,abc09f7c-a791-4b91-9efa-b6d716811004.FPKM.txt.gz,0.2752433570113128,0.028150486714022625,0.08676664035780057,0.009997369113391212,0.05398579321231255,0.04104183109707971,0.16427255985267036,0.0028939752696658773,0.0038410944488292556,0.33380689292291504
23,5e010a9a-7f65-434b-ae4c-43948461187c.FPKM.txt.gz,0.23177966101694916,0.01987994350282486,0.23866525423728813,0.001730225988700565,0.02856638418079096,0.009887005649717515,0.10187146892655367,0.0020480225988700564,7.062146892655367e-05,0.36550141242937856
24,ae59d924-06ec-428d-b470-e78ed92c5e36.FPKM.txt.gz,0.33426831771225285,0.13162755695423137,0.022165971129506738,0.00259971266333721,0.009851542724225218,0.0009577888759663406,0.12382841896421974,0.29739344598754874,0.03817472805637272,0.03913251693233906
25,6ad59e49-f417-4144-9c13-51b24f66422a.FPKM.txt.gz,0.4682619017868299,0.02692740222416594,0.057728351868049484,0.0028114457078595527,0.02517805822816444,0.0011870548544295888,0.19592652755216794,0.0056228914157191055,0.0,0.21635636636261402
26,edafd326-8c3c-4ae5-8617-e1592db868eb.FPKM.txt.gz,0.21398215733982157,0.022741281427412816,0.24642335766423357,0.0025628548256285484,0.022838605028386052,0.012392538523925386,0.09300892133008921,0.0026601784266017843,0.00016220600162206002,0.383227899432279
27,2b2b6341-1f6d-4acc-8a67-0ba8ab051ee8.FPKM.txt.gz,0.14839359114168274,0.012750608170455499,0.3199605737773677,0.0007969130106534687,0.01650448787853368,0.007507759416156363,0.05272208707323211,0.002537538797080782,2.0971395017196544e-05,0.4388054693398205
