i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
10,4ed9b51a-78a1-48c7-90bd-8ecd2e5767ad.FPKM.txt.gz,0.22681533859124287,0.11304505484543559,0.2525609645544375,0.023297978424440213,0.007252289003716798,0.06789955579729852,0.0021756867011150393,0.0,0.0021756867011150393,0.0967274045870728,0.030912881878342853,0.0,0.004623334239869459,0.0010878433505575197,0.0019943794760221194,0.0029009156014867194,0.050947330251110506,0.0002719608376393799,0.008793400417006618,9.065361254645998e-05,0.0,0.0002719608376393799,0.007614903453902638,9.065361254645998e-05,0.010062550992657057,0.08612093191913697,0.0005439216752787598,0.0016317650258362796,9.065361254645998e-05,0.0
11,20a96363-a968-445a-bd9a-96b27e403516.FPKM.txt.gz,0.1207828753912796,0.03996585196193126,0.10914724760489455,0.022449173174818985,0.0009169380592531697,0.011319442248711543,0.0011382679356246245,0.006228855092168084,6.323710753470136e-05,0.014544534732981314,0.0053751541404496155,0.0,0.00022132987637145477,0.0007272267366490656,0.00044265975274290954,0.0013279792582287285,0.1041198975558858,0.0014228349195307807,0.0012015050431593258,0.0,0.0023713915325513013,3.161855376735068e-05,0.0001580927688367534,6.323710753470136e-05,0.0025611028551554053,0.5525026085306858,0.0008220823979511177,0.0,9.485566130205204e-05,0.0
12,5f5460db-801d-4d87-ac5c-4b28ab42d8b9.FPKM.txt.gz,0.055803390380403925,0.017803552599562008,0.0809473598832022,0.0021494038445940464,0.0003649931056857815,0.09112661205288344,0.00020277394760321194,0.00012166436856192716,0.0019466298969908345,0.10961959607429637,0.14259063995457863,0.0,0.002595506529321113,0.11444561602725283,0.010098142590639955,0.005718225322410577,0.002919944845486252,0.00016221915808256956,0.00044610268472706626,0.16501743855949388,4.055478952064239e-05,0.0,4.055478952064239e-05,0.05093681563792684,0.06825371076324113,0.008962608484061968,0.05945332143726174,0.007340416903236272,0.0,0.0008922053694541325
13,314b3b08-27e7-4936-a7d9-2dce4e4d3db7.FPKM.txt.gz,0.09819865605059575,0.05443559771867412,0.12276243717883562,0.05437912925631035,0.015020610988762777,0.025749618837879046,0.00022587384945507933,0.0005646846236376983,0.0,0.011745440171664125,0.05889660624541194,0.005138630075103055,0.002371675419278333,0.00688915240837992,0.001016432322547857,0.0,0.07775707267491107,0.03613981591281269,0.0015246484838217856,0.0,0.05341916539612626,0.0,0.0,0.02015924106386583,0.0,0.3419730080749901,0.0,0.011519566322209046,0.00011293692472753966,0.0
14,47b14505-ca81-4d39-8eca-0cb773f8934e.FPKM.txt.gz,0.23377667348728443,0.0932475884244373,0.23677287342882197,0.027404267757965506,0.002557731657410114,0.046112247880736625,0.001388482899736919,0.0020461853259280912,0.0008038585209003215,0.07673194972230342,0.015565624086524408,7.307804735457468e-05,0.0029231218941829875,0.0015346389944460683,0.0038731365097924584,0.002557731657410114,0.13124817304881614,0.002411575562700965,0.008330897398421515,0.0,0.0,7.307804735457468e-05,0.0401198479976615,0.0,0.0022654194679918153,0.021777258111663256,0.0,0.000950014615609471,0.022581116632563576,0.022873428821981876
15,fddb387d-716e-48ca-9e99-483564c5384b.FPKM.txt.gz,0.10338205483836552,0.036221060492905154,0.1367225008001707,0.049237170596393896,0.017016963618905367,0.03840819374799957,0.0017070308332444255,0.000533447135388883,0.0009602048436999893,0.034567374373199615,0.040328603435399554,0.012962765389949856,0.003414061666488851,0.00016003414061666488,0.002720580390483303,0.0004267577083111064,0.0929798356982823,0.012322628827483197,0.020217646431238665,0.0,0.012642697108716527,0.0,0.0,0.014136349087805398,0.0002133788541555532,0.26426971087165263,0.0,0.0011202389843166542,0.10332871012482663,0.0
16,83053f28-d761-4d5a-acd6-855cb22e46e2.FPKM.txt.gz,0.06198403493211435,0.04632598758272498,0.10936753769529918,0.029132837552022926,0.0004775875008528348,0.01746605717404653,0.000648154465443133,0.003240772327215665,3.411339291805963e-05,0.019035273248277272,0.004059493757249096,3.411339291805963e-05,0.0004434741079347752,0.000648154465443133,0.0004434741079347752,0.0005799276796070137,0.08586340997475608,0.0013645357167223853,0.00027290714334447704,0.0003070205362625367,0.004434741079347752,0.00017056696459029816,0.00037524732209865595,0.00013645357167223852,0.00040936071501671554,0.5827590912192127,0.00010234017875417888,0.0,0.029883332196220237,0.0
17,1b3deeeb-5fde-4154-a57f-bb575ccfb2be.FPKM.txt.gz,0.28718394551909004,0.06397160037672969,0.1437368687966384,0.019633413026153734,0.006447873650655654,0.05085850901977831,0.0013765123523871623,0.005578497428095341,0.000579584148373542,0.04187495471998841,0.01970586104470043,0.0,0.0029703687604144026,0.00021734405564007825,0.0038397449829747155,0.0016663044265739333,0.03991885821922771,0.00036224009273346376,0.034412808809679056,0.0,0.0,0.0,0.0007244801854669275,7.244801854669275e-05,0.0013040643338404696,0.1730058682895023,0.0,0.00036224009273346376,0.10019560965007607,0.0
18,eb3fc2fd-468c-42b4-bffe-700011c0a918.FPKM.txt.gz,0.06409750537068701,0.017054671401639705,0.10846595642071112,0.035950721206541275,0.00017536937173922575,0.08211670831689245,0.00017536937173922575,0.0005699504581524837,0.00320049103424087,0.04642904116796002,0.05199701872068043,8.768468586961288e-05,0.0032443333771756764,0.10622999693103599,0.013810338024464028,0.007102459555438642,0.02779604542066728,0.0027620676048928055,0.0006137928010872901,0.029856635538603182,0.0011837432592397739,0.0,4.384234293480644e-05,0.006269455039677321,0.034766977947301506,0.23043535446534263,0.12289008724626244,0.0009206892016309352,0.0,0.0017536937173922575
19,b0a26c8d-9863-4352-8abe-dde66bdb8e55.FPKM.txt.gz,0.17016457798580703,0.0931601993054507,0.17031556696361166,0.010116261512909558,0.048467461875283106,0.17605314812018721,0.0016608787558508229,0.0,0.0,0.10991997584176355,0.03397252000603956,0.0,0.020383512003623736,0.009361316623886456,0.028989883738487092,0.0350294428506719,0.013739996980220444,0.0021138456892646836,0.015098897780462027,0.0,0.0,0.00030197795560924054,0.0,0.00015098897780462027,0.0037747244451155067,0.00030197795560924054,0.0004529669334138608,0.010418239468518798,0.0,0.04605163823040918
